verb,,active,passive,verb,bad,exclude,match
advise,2990,The doctor advised the patient.  ,The patient was advised by the doctor.,advise,,,True
advise,2994,The friend advised the travelers.  ,The travelers were advised by the friend.,advise,,,True
advise,2995,The coach advised the player.  ,The player was advised by the coach.,advise,,,True
advise,2989,The lawyer advised the client.  ,The client was advised by the lawyer.,advise,,,True
aggravate,3255,The rudeness aggravated the manager.,The manager was aggravated by the rudeness.,aggravate,,,True
aggravate,3249,The delay aggravated the passengers.,The passengers were aggravated by the delay.,aggravate,,,True
aggravate,3253,The reminders aggravated the feeling.,The feeling was aggravated by the reminders.,aggravate,,,True
aggravate,3254,The reports aggravated the teacher.,The teacher was aggravated by the reports.,aggravate,,,True
aggravate,3248,The comment aggravated the situation.,The situation was aggravated by the comment.,aggravate,,,True
alter,1824,The musician altered the song.,The song was altered by the musician.,alter,,,True
alter,1818,The chef altered the recipe.,The recipe was altered by the chef.,alter,,,True
alter,1822,The contractor altered the blueprints.,The blueprints were altered by the contractor.,alter,,,True
alter,1823,The designer altered the plans.,The plans were altered by the designer.,alter,,,True
alter,1817,The artist altered the painting.,The painting was altered by the artist.,alter,,,True
amaze,3264,The results amazed the team.,The team was amazed by the results.,amaze,,,True
amaze,3258,The news amazed the entire town.,The entire town was amazed by the news.,amaze,,,True
amaze,3262,The technology amazed the investors.,The investors were amazed by the technology.,amaze,,,True
amaze,3263,The discovery amazed the researchers.,The researchers were amazed by the discovery.,amaze,,,True
amaze,3257,The magician amazed the children.,The children were amazed by the magician.,amaze,,,True
amuse,3273,The jester amused the king.,The king was amused by the jester.,amuse,,,True
amuse,3267,The magician amused the guests.,The guests were amused by the magician.,amuse,,,True
amuse,3271,The book amused the readers.,The readers were amused by the book.,amuse,,,True
amuse,3272,The song amused the listeners.,The listeners were amused by the song.,amuse,,,True
amuse,3266,The movie amused the audience.,The audience was amused by the movie.,amuse,,,True
anger,3282,The rumor angered the fans.,The fans were angered by the rumor.,anger,,,True
anger,3276,The decision angered the players.,The players were angered by the decision.,anger,,,True
anger,3280,The noise angered the neighbors.,The neighbors were angered by the noise.,anger,,,True
anger,3281,The change angered the employees.,The employees were angered by the change.,anger,,,True
anger,3275,The comment angered the teacher.,The teacher was angered by the comment.,anger,,,True
announce,1892,The principal announced the schedule.,The schedule was announced by the principal.,announce,,,True
announce,1886,The manager announced the decision.,The decision was announced by the manager.,announce,,,True
announce,1890,The director announced the film's release.,The film's release was announced by the director.,announce,,,True
announce,1891,The coach announced the roster.,The roster was announced by the coach.,announce,,,True
announce,612,The mayor announced a new policy.,A new policy was announced by the mayor.,announce,,,True
annoy,3291,The questions annoyed the speaker.,The speaker was annoyed by the questions.,annoy,,,True
annoy,3285,The heat wave annoyed the residents.,The residents were annoyed by the heat wave.,annoy,,,True
annoy,3289,The barking dog annoyed the homeowners.,The homeowners were annoyed by the barking dog.,annoy,,,True
annoy,3290,The persistent rain annoyed the picnic-goers.,The picnic-goers were annoyed by the persistent rain.,annoy,,,True
annoy,3284,The kids annoyed the teacher.,The teacher was annoyed by the kids.,annoy,,,True
appluad,2672,The guests applauded the host.,The host was applauded by the guests.,appluad,,,True
appluad,2666,The teacher applauded the students.,The students were applauded by the teacher.,appluad,,,True
appluad,2670,The critics applauded the movie.,The movie was applauded by the critics.,appluad,,,True
appluad,2671,The orchestra applauded the conductor.,The conductor was applauded by the orchestra.,appluad,,,True
appluad,2665,The audience applauded the speaker.,The speaker was applauded by the audience.,appluad,,,True
appreciate,3806,The student appreciated the guidance.  ,The guidance was appreciated by the student.,appreciate,,,True
appreciate,3800,The manager appreciated the report.  ,The report was appreciated by the manager.,appreciate,,,True
appreciate,3804,The author appreciated the review.  ,The review was appreciated by the author.,appreciate,,,True
appreciate,3805,The volunteer appreciated the recognition.   ,The recognition was appreciated by the volunteer.,appreciate,,,True
appreciate,3799,The teacher appreciated the effort.  ,The effort was appreciated by the teacher.,appreciate,,,True
arrange,1347,The librarian arranged the books.,The books were arranged by the librarian.,arrange,,,True
arrange,1341,The gardener arranged the flowers.,The flowers were arranged by the gardener.,arrange,,,True
arrange,1345,The programmer arranged the code.,The code was arranged by the programmer.,arrange,,,True
arrange,1346,The chef arranged the ingredients.,The ingredients were arranged by the chef.,arrange,,,True
arrange,1340,The office arranged the documents.,The documents were arranged by the office.,arrange,,,True
assassinate,2730,The agent assassinated the scientist.,The scientist was assassinated by the agent.,assassinate,,,True
assassinate,2725,A rival gang assassinated the politician.,The politician was assassinated by a rival gang.,assassinate,,,True
assassinate,2724,The spy assassinated the informant.,The informant was assassinated by the spy.,assassinate,,,True
assassinate,2723,The enemy assassinated the leader.,The leader was assassinated by the enemy.,assassinate,,,True
assassinate,2728,The faction assassinated the rival.,The rival was assassinated by the faction.,assassinate,,,True
assert,4044,The director asserted the vision.,The vision was asserted by the director.,assert,,,True
assert,4038,The scientist asserted the hypothesis.,The hypothesis was asserted by the scientist.,assert,,,True
assert,4037,The lawyer asserted the case.,The case was asserted by the lawyer.,assert,,,True
assert,4043,The manager asserted the deadlines.,The deadlines were asserted by the manager.,assert,,,True
assert,1097,The politician asserted their position.,Their position was asserted by the politician.,assert,,,True
astonish,3300,The event astonished the locals.,The locals were astonished by the event.,astonish,,,True
astonish,3294,The performance astonished the critics.,The critics were astonished by the performance.,astonish,,,True
astonish,3298,The story astonished the readers.,The readers were astonished by the story.,astonish,,,True
astonish,3299,The skill amazed the coaches.,The coaches were amazed by the skill.,astonish,,,True
astonish,3293,The news astonished the reporters.,The reporters were astonished by the news.,astonish,,,True
avoid,2693,The musician avoided the criticism.,The criticism was avoided by the musician.,avoid,,,True
avoid,2687,The team avoided the penalties.,The penalties were avoided by the team.,avoid,,,True
avoid,2691,The athlete avoided the injury.,The injury was avoided by the athlete.,avoid,,,True
avoid,2692,The manager avoided the confrontation.,The confrontation was avoided by the manager.,avoid,,,True
avoid,2686,The student avoided the questions.,The questions were avoided by the student.,avoid,STOPPED HERE,,True
bake,2122,The team baked several loaves.,Several loaves were baked by the team.,bake,,,True
bake,679,The bakery baked fresh bread.,Fresh bread was baked by the bakery.,bake,,,True
bake,683,Emily baked a batch of brownies.,A batch of brownies was baked by Emily.,bake,,,True
bake,684,The restaurant baked a special dish.,A special dish was baked by the restaurant.,bake,,,True
bake,678,Sarah baked cookies yesterday.,Cookies were baked by Sarah yesterday.,bake,,,True
banish,2740,The ruler banished the rebel.,The rebel was banished by the ruler.,banish,,,True
banish,2734,The villagers banished the stranger.,The stranger was banished by the villagers.,banish,,,True
banish,2738,The army banished the invaders.,The invaders were banished by the army.,banish,,,True
banish,2739,The tribe banished the outcast.,The outcast was banished by the tribe.,banish,,,True
banish,2733,The council banished the sorcerer.,The sorcerer was banished by the council.,banish,,,True
bark,553,The puppy barked a warning.,A warning was barked by the puppy.,bark,,,True
beat,491,The chef beat the eggs.,The eggs were beaten by the chef.,beat,,,True
beat,485,A teacher beat the drum.,The drum was beaten by a teacher.,beat,,,True
beat,489,The artist beat the canvas.,The canvas was beaten by the artist.,beat,,,True
beat,490,The horse beat the other racers.,The other racers were beaten by the horse.,beat,,,True
beat,484,The boxer beat his opponent.,His opponent was beaten by the boxer.,beat,,,True
begin,706,The child began the exercise.  ,The exercise was begun by the child.,begin,,,True
begin,700,The students began the project.  ,The project was begun by the students.,begin,,,True
begin,704,The doctor began the examination.  ,The examination was begun by the doctor.,begin,,,True
begin,705,The writer began a novel.  ,A novel was begun by the writer.,begin,,,True
begin,699,The chef began the cooking.  ,The cooking was begun by the chef.,begin,,,True
belch,1248,The cat belched a hairball onto the rug.,A hairball was belched by the cat onto the rug.,belch,,,True
believe,3815,The team believed the coach.  ,The coach was believed by the team.,believe,,,True
believe,3809,The scientists believed the theory.  ,The theory was believed by the scientists.,believe,,,True
believe,3813,The friend believed the secret.  ,The secret was believed by the friend.,believe,,,True
believe,3814,The experts believed the data.  ,The data was believed by the experts.,believe,,,True
believe,3808,The teacher believed the student.  ,The student was believed by the teacher.,believe,,,True
bend,2112,The magician bent the card.  ,The card was bent by the magician.,bend,,,True
bend,2106,The artist bent the wire.  ,The wire was bent by the artist.,bend,,,True
bend,2105,A child bent the spoon.  ,The spoon was bent by a child.,bend,,,True
bend,2111,The wind bent the grass.  ,The grass was bent by the wind.,bend,,,True
bend,2104,The blacksmith bent the metal.  ,The metal was bent by the blacksmith.,bend,,,True
bite,794,The soldier bit the metal.,The metal was bitten by the soldier.,bite,,,True
bite,789,The snake bit the rabbit.,The rabbit was bitten by the snake.,bite,,,True
bite,788,A child bit the cookie.,The cookie was bitten by a child.,bite,,,True
bite,793,The wolf bit the deer.,The deer was bitten by the wolf.,bite,,,True
bite,787,The dog bit the bone.,The bone was bitten by the dog.,bite,,,True
bleed,1251,The artist bled ink onto the paper.,Ink was bled onto the paper by the artist.,bleed,,,True
bleed,1250,The flower bled bright color.,Bright color was bled by the flower.,bleed,,,True
bleed,1253,The tree bled sap during spring.,Sap was bled by the tree during spring.,bleed,,,True
bleed,1249,The cut bled red liquid.,Red liquid was bled by the cut.,bleed,,,True
bleed,1252,The painting bled vibrant hues.,Vibrant hues were bled by the painting.,bleed,,,True
block,1640,The protesters blocked traffic.,Traffic was blocked by the protesters.,block,,,True
block,1634,The volunteers blocked the entrance.,The entrance was blocked by the volunteers.,block,,,True
block,1638,The team blocked the attempt.,The attempt was blocked by the team.,block,,,True
block,1639,The screen blocked the sunlight.,The sunlight was blocked by the screen.,block,,,True
block,1633,The fence blocked the view.,The view was blocked by the fence.,block,,,True
boil,2130,The mother boiled the corn.,The corn was boiled by the mother.,boil,,,True
boil,2124,The scientist boiled the water.,The water was boiled by the scientist.,boil,,,True
boil,2128,The factory boiled the sugar.,The sugar was boiled by the factory.,boil,,,True
boil,2129,The student boiled the rice.,The rice was boiled by the student.,boil,,,True
boil,2123,The chef boiled the potatoes.,The potatoes were boiled by the chef.,boil,,,True
border,4117,The ivy bordered the old wall.,The old wall was bordered by the ivy.,border,,,True
border,4111,The red paint bordered the canvas.,The canvas was bordered by the red paint.,border,,,True
border,4115,The flowers bordered the walkway.,The walkway was bordered by the flowers.,border,,,True
border,4116,The bricks bordered the flowerbed.,The flowerbed was bordered by the bricks.,border,,,True
border,4110,The river bordered the town.,The town was bordered by the river.,border,,,True
borrow,1574,Maria borrowed the sweater.,The sweater was borrowed by Maria.,borrow,,,True
borrow,1570,The neighbor borrowed my ladder.,My ladder was borrowed by the neighbor.,borrow,,,True
borrow,1569,The student borrowed a book.,A book was borrowed by the student.,borrow,,,True
borrow,370,John borrowed some money.,Some money was borrowed by John.,borrow,,,True
borrow,1572,The child borrowed a toy.,A toy was borrowed by the child.,borrow,,,True
bother,3309,The remark bothered the host.,The host was bothered by the remark.,bother,,,True
bother,3303,The teacher bothered the student.,The student was bothered by the teacher.,bother,,,True
bother,3307,The comment bothered the author.,The author was bothered by the comment.,bother,,,True
bother,3308,The incident bothered the community.,The community was bothered by the incident.,bother,,,True
bother,3302,The loud noise bothered the neighbors.,The neighbors were bothered by the loud noise.,bother,,,True
bounce,1527,The player bounced the basketball.,The basketball was bounced by the player.,bounce,,,True
bounce,1526,The child bounced the toy.,The toy was bounced by the child.,bounce,,,True
bounce,1530,The girl bounced the hula hoop.,The hula hoop was bounced by the girl.,bounce,,,True
bounce,351,The dog bounced a ball.,A ball was bounced by the dog.,bounce,,,True
bounce,1528,The athlete bounced the trampoline.,The trampoline was bounced by the athlete.,bounce,,,True
break,664,The team broke the pattern.,The pattern was broken by the team.,break,,,True
break,659,The athlete broke the record.,The record was broken by the athlete.,break,,,True
break,657,The storm broke the window.,The window was broken by the storm.,break,,,True
break,663,The dog broke the leash.,The leash was broken by the dog.,break,,,True
break,656,The child broke the toy.,The toy was broken by the child.,break,,,True
bring,1541,The artist brought the paintings.,The paintings were brought by the artist.,bring,,,True
bring,1535,The teacher brought the books.,The books were brought by the teacher.,bring,,,True
bring,1539,The neighbor brought flowers.,Flowers were brought by the neighbor.,bring,,,True
bring,1540,The student brought a laptop.,A laptop was brought by the student.,bring,,,True
bring,1534,A friend brought a gift.,A gift was brought by a friend.,bring,,,True
build,424,The students built a model.  ,A model was built by the students.,build,,,True
build,418,The contractor built a bridge.  ,A bridge was built by the contractor.,build,,,True
build,422,The engineer built a wall.  ,A wall was built by the engineer.,build,,,True
build,423,The company built an office.  ,An office was built by the company.,build,,,True
build,417,The children built a sandcastle.  ,A sandcastle was built by the children.,build,,,True
burn,2159,The candle burned the wick.,The wick was burned by the candle.,burn,,,True
burn,2155,The artist burned the canvas.,The canvas was burned by the artist.,burn,,,True
burn,2154,The sun burned the grass.,The grass was burned by the sun.,burn,,,True
burn,2153,The fire burned the wood.,The wood was burned by the fire.,burn,,,True
burn,2157,The heat burned the hand.,The hand was burned by the heat.,burn,,,True
butter,1453,The mother buttered the crackers.,The crackers were buttered by the mother.,butter,,,True
butter,1449,The waiter buttered the scone.,The scone was buttered by the waiter.,butter,,,True
butter,1448,The child buttered the bread.,The bread was buttered by the child.,butter,,,True
butter,1447,The chef buttered the toast.,The toast was buttered by the chef.,butter,,,True
butter,1451,The baker buttered the croissant.,The croissant was buttered by the baker.,butter,,,True
button,1671,The grandmother buttoned the cardigan.,The cardigan was buttoned by the grandmother.,button,,,True
button,1667,The soldier buttoned the uniform.,The uniform was buttoned by the soldier.,button,,,True
button,1666,The child buttoned the pants.,The pants were buttoned by the child.,button,,,True
button,1665,The tailor buttoned the jacket.,The jacket was buttoned by the tailor.,button,,,True
button,1669,The woman buttoned the blouse.,The blouse was buttoned by the woman.,button,,,True
buy,1561,The gardener bought new seeds.,New seeds were bought by the gardener.,buy,,,True
buy,366,The family bought a car.,A car was bought by the family.,buy,,,True
buy,1559,The artist bought new paint.,New paint was bought by the artist.,buy,,,True
buy,1560,The teacher bought several books.,Several books were bought by the teacher.,buy,,,True
buy,365,The chef bought fresh ingredients.,Fresh ingredients were bought by the chef.,buy,,,True
call,2958,Lucy called the police.,The police were called by Lucy.,call,,,True
call,2953,The teacher called the students.,The students were called by the teacher.,call,,,True
call,874,The artist called the muse.,The muse was called by the artist.,call,,,True
call,2957,Sam called the mechanic.,The mechanic was called by Sam.,call,,,True
call,873,The manager called a meeting.,A meeting was called by the manager.,call,,,True
calm,3318,The scenery calmed the weary traveler.  ,The weary traveler was calmed by the scenery.,calm,,,True
calm,3312,The dog calmed the frightened child.  ,The frightened child was calmed by the dog.,calm,,,True
calm,3316,The therapist calmed the patient.  ,The patient was calmed by the therapist.,calm,,,True
calm,3317,The rain calmed the tense atmosphere.  ,The tense atmosphere was calmed by the rain.,calm,,,True
calm,3311,The mother calmed the baby.  ,The baby was calmed by the mother.,calm,,,True
cap,4144,The engineer capped the project.,The project was capped by the engineer.,cap,,,True
cap,4138,The company capped the expenses.,The expenses were capped by the company.,cap,,,True
cap,4142,The gardener capped the fertilizer.,The fertilizer was capped by the gardener.,cap,,,True
cap,4143,The author capped the manuscript.,The manuscript was capped by the author.,cap,,,True
cap,4137,The technician capped the pipe.,The pipe was capped by the technician.,cap,,,True
capture,2212,The author captured the essence of the story.,The essence of the story was captured by the author.,capture,,,True
capture,2206,The photographer captured the sunset.,The sunset was captured by the photographer.,capture,,,True
capture,2210,The scientist captured the data.,The data was captured by the scientist.,capture,,,True
capture,2211,The fisherman captured the largest fish.,The largest fish was captured by the fisherman.,capture,,,True
capture,709,The artist captured her inspiration.,Her inspiration was captured by the artist.,capture,,,True
carry,2396,A friend carried the groceries.,The groceries were carried by a friend.,carry,,,True
carry,2390,The delivery driver carried the package.,The package was carried by the delivery driver.,carry,,,True
carry,2394,The soldier carried the flag.,The flag was carried by the soldier.,carry,,,True
carry,2395,The teacher carried the books.,The books were carried by the teacher.,carry,,,True
carry,2389,The child carried the backpack.,The backpack was carried by the child.,carry,,,True
"carry (i.e., hold a certain number of people)",1172,The jeep carried four friends on an adventure.  ,Four friends on an adventure were carried by the jeep.,"carry (i.e., hold a certain number of people)",,,True
"carry (i.e., hold a certain number of people)",1166,The elevator carried several workers.  ,Several workers were carried by the elevator.,"carry (i.e., hold a certain number of people)",,,True
"carry (i.e., hold a certain number of people)",1170,The ferry carried cars and bicycles.  ,Cars and bicycles were carried by the ferry.,"carry (i.e., hold a certain number of people)",,,True
"carry (i.e., hold a certain number of people)",1171,The gondola carried sightseers up the mountain.  ,Sightseers were carried up the mountain by the gondola.,"carry (i.e., hold a certain number of people)",,,True
"carry (i.e., hold a certain number of people)",1165,The truck carried heavy cargo.  ,Heavy cargo was carried by the truck.,"carry (i.e., hold a certain number of people)",,,True
carve,1641,The sculptor carved the marble.,The marble was carved by the sculptor.,carve,,,True
carve,385,The woodworker carved a design.,A design was carved by the woodworker.,carve,,,True
carve,389,The carpenter carved a chair.,A chair was carved by the carpenter.,carve,,,True
carve,390,The historian carved inscriptions.,Inscriptions were carved by the historian.,carve,,,True
carve,384,An artist carved a statue.,A statue was carved by an artist.,carve,,,True
catch,2436,The player caught the pass.,The pass was caught by the player.,catch,,,True
catch,750,The dog caught a frisbee.,A frisbee was caught by the dog.,catch,,,True
catch,749,The fisherman caught three fish.,Three fish were caught by the fisherman.,catch,,,True
catch,748,The cat caught a mouse.,A mouse was caught by the cat.,catch,,,True
catch,2434,The trainer caught the error.,The error was caught by the trainer.,catch,,,True
chant,1826,The fans chanted the team's name.,The team's name was chanted by the fans.,chant,,,True
chant,500,The children chanted a rhyme.,A rhyme was chanted by the children.,chant,,,True
chant,499,The protesters chanted slogans.,Slogans were chanted by the protesters.,chant,,,True
chant,498,The choir chanted a hymn.,A hymn was chanted by the choir.,chant,,,True
chant,502,The priests chanted prayers.,Prayers were chanted by the priests.,chant,,,True
chase,3158,The athlete chased the record.,The record was chased by the athlete.,chase,,,True
chase,3152,The group chased the thief.,The thief was chased by the group.,chase,,,True
chase,3156,The fox chased the rabbit.,The rabbit was chased by the fox.,chase,,,True
chase,3157,The car chased the ambulance.,The ambulance was chased by the car.,chase,,,True
chase,3151,A girl chased the butterfly.,The butterfly was chased by a girl.,chase,,,True
chew,1924,The athlete chewed the energy bar.  ,The energy bar was chewed by the athlete.,chew,,,True
chew,632,The rabbit chewed some carrots.  ,Some carrots were chewed by the rabbit.,chew,,,True
chew,1922,The toddler chewed the cracker.  ,The cracker was chewed by the toddler.,chew,,,True
chew,1923,The parrot chewed the toy.  ,The toy was chewed by the parrot.,chew,,,True
chew,631,The student chewed a pencil.  ,A pencil was chewed by the student.,chew,,,True
chip,2041,The sculptor chipped the marble.,The marble was chipped by the sculptor.,chip,,,True
chip,2037,The mason chipped the stone.,The stone was chipped by the mason.,chip,,,True
chip,2036,The child chipped the paint.,The paint was chipped by the child.,chip,,,True
chip,2035,The artist chipped the wood.,The wood was chipped by the artist.,chip,,,True
chip,2039,The athlete chipped the golf ball.,The golf ball was chipped by the athlete.,chip,,,True
choose,757,The group chose an impressive location.,An impressive location was chosen by the group.,choose,,,True
choose,753,The student chose a difficult topic.,A difficult topic was chosen by the student.,choose,,,True
choose,752,The team chose a new captain.,A new captain was chosen by the team.,choose,,,True
choose,751,The committee chose the best candidate.,The best candidate was chosen by the committee.,choose,,,True
choose,755,The judge chose the winner.,The winner was chosen by the judge.,choose,,,True
chop,1646,The butcher chopped the meat.  ,The meat was chopped by the butcher.,chop,,,True
chop,1642,A woman chopped the vegetables.  ,The vegetables were chopped by a woman.,chop,,,True
chop,392,The carpenter chopped a piece of wood.  ,A piece of wood was chopped by the carpenter.,chop,,,True
chop,391,The chef chopped some onions.  ,Some onions were chopped by the chef.,chop,,,True
chop,1644,The cook chopped the herbs.  ,The herbs were chopped by the cook.,chop,,,True
claw,2516,The dragon clawed the knight.  ,The knight was clawed by the dragon.,claw,,,True
claw,2510,The child clawed the sandcastle.  ,The sandcastle was clawed by the child.,claw,,,True
claw,2514,The tiger clawed the ground.  ,The ground was clawed by the tiger.,claw,,,True
claw,2515,The dinosaur clawed the prey.  ,The prey was clawed by the dinosaur.,claw,,,True
claw,2509,The bird clawed the window.  ,The window was clawed by the bird.,claw,,,True
clean,2345,The family cleaned the garage.,The garage was cleaned by the family.,clean,,,True
clean,2339,The team cleaned the park.,The park was cleaned by the team.,clean,,,True
clean,2343,The dog cleaned the bowl.,The bowl was cleaned by the dog.,clean,,,True
clean,2344,The chef cleaned the counter.,The counter was cleaned by the chef.,clean,,,True
clean,2338,A woman cleaned the kitchen.,The kitchen was cleaned by a woman.,clean,,,True
clear,1496,The manager cleared the clutter.,The clutter was cleared by the manager.,clear,,,True
clear,1490,The teacher cleared the assignment.,The assignment was cleared by the teacher.,clear,,,True
clear,1494,The waiter cleared the dishes.,The dishes were cleared by the waiter.,clear,,,True
clear,1495,The children cleared the playground.,The playground was cleared by the children.,clear,,,True
clear,1489,The storm cleared the sky.,The sky was cleared by the storm.,clear,,,True
coil,1420,The worker coiled the extension cord.,The extension cord was coiled by the worker.,coil,,,True
coil,1414,The artist coiled the clay.,The clay was coiled by the artist.,coil,,,True
coil,1418,The chef coiled the spaghetti.,The spaghetti was coiled by the chef.,coil,,,True
coil,1419,The engineer coiled the rope.,The rope was coiled by the engineer.,coil,,,True
coil,1413,The machine coiled the wire.,The wire was coiled by the machine.,coil,,,True
comfort,3336,The community comforted the family.,The family was comforted by the community.,comfort,,,True
comfort,3330,The dog comforted the owner.,The owner was comforted by the dog.,comfort,,,True
comfort,3334,The volunteer comforted the victim.,The victim was comforted by the volunteer.,comfort,,,True
comfort,3335,The partner comforted the friend.,The friend was comforted by the partner.,comfort,,,True
comfort,3329,The therapist comforted the patient.,The patient was comforted by the therapist.,comfort,,,True
complete,2205,The author completed the novel.  ,The novel was completed by the author.,complete,,,True
complete,2199,The artist completed the painting.  ,The painting was completed by the artist.,complete,,,True
complete,2203,The group completed the task.  ,The task was completed by the group.,complete,,,True
complete,2204,The athlete completed the marathon.  ,The marathon was completed by the athlete.,complete,,,True
complete,2198,The team completed the project.  ,The project was completed by the team.,complete,,,True
compliment,2767,The customer complimented the service.  ,The service was complimented by the customer.,compliment,,,True
compliment,2761,The manager complimented the team.  ,The team was complimented by the manager.,compliment,,,True
compliment,2765,The critic complimented the film.  ,The film was complimented by the critic.,compliment,,,True
compliment,2766,The coach complimented the athlete.  ,The athlete was complimented by the coach.,compliment,,,True
compliment,2760,A friend complimented the artwork.  ,The artwork was complimented by a friend.,compliment,,,True
compose,466,The scientist composed a research paper.,A research paper was composed by the scientist.,compose,,,True
compose,460,The student composed an essay.,An essay was composed by the student.,compose,,,True
compose,464,The director composed a film score.,A film score was composed by the director.,compose,,,True
compose,465,The writer composed a novel.,A novel was composed by the writer.,compose,,,True
compose,459,The poet composed a sonnet.,A sonnet was composed by the poet.,compose,,,True
confirm,4053,The student confirmed the assignment.,The assignment was confirmed by the student.,confirm,,,True
confirm,4047,The teacher confirmed the schedule.,The schedule was confirmed by the teacher.,confirm,,,True
confirm,4051,The customer confirmed the order.,The order was confirmed by the customer.,confirm,,,True
confirm,4052,The accountant confirmed the figures.,The figures were confirmed by the accountant.,confirm,,,True
confirm,4046,The scientist confirmed the hypothesis.,The hypothesis was confirmed by the scientist.,confirm,,,True
congratulate,2775,The crowd congratulated the performer.,The performer was congratulated by the crowd.,congratulate,,,True
congratulate,2769,A friend congratulated the winner.,The winner was congratulated by a friend.,congratulate,,,True
congratulate,2773,The reporter congratulated the athlete.,The athlete was congratulated by the reporter.,congratulate,,,True
congratulate,2774,The boss congratulated the employee.,The employee was congratulated by the boss.,congratulate,,,True
congratulate,2768,The teacher congratulated the student.,The student was congratulated by the teacher.,congratulate,,,True
consume,1987,The child consumed the entire cupcake.  ,The entire cupcake was consumed by the child.,consume,,,True
consume,648,The toddler consumed a bowl of cereal.  ,A bowl of cereal was consumed by the toddler.,consume,,,True
consume,647,The athlete consumed a protein shake.  ,A protein shake was consumed by the athlete.,consume,,,True
consume,646,The chef consumed a hearty meal.  ,A hearty meal was consumed by the chef.,consume,,,True
consume,1985,The audience consumed the performance eagerly.  ,The performance was consumed eagerly by the audience.,consume,?,,True
contain,4179,The dataset contained numerous entries.,The dataset was contained by numerous entries.,contain,,,True
contain,289,The lecture contained insightful comments.,Insightful comments were contained by the lecture.,contain,,,True
contain,1137,The bottle contained fresh juice.,Fresh juice was contained by the bottle.,contain,,,True
contain,1138,The package contained a surprise gift.,A surprise gift was contained by the package.,contain,,,True
contain,288,The film contained thrilling scenes.,Thrilling scenes were contained by the film.,contain,,,True
continue,2176,The committee continued the meeting.,The meeting was continued by the committee.,continue,,,True
continue,2175,The teacher continued the lesson.,The lesson was continued by the teacher.,continue,,,True
continue,2178,The artist continued the painting.,The painting was continued by the artist.,continue,,,True
continue,2174,The team continued the project.,The project was continued by the team.,continue,,,True
continue,2177,The children continued the game.,The game was continued by the children.,continue,,,True
cook,2134,The chef cooked the soup.  ,The soup was cooked by the chef.,cook,,,True
cook,688,The family cooked a large dinner.  ,A large dinner was cooked by the family.,cook,,,True
cook,687,The friends cooked a barbecue.  ,A barbecue was cooked by the friends.,cook,,,True
cook,686,The chef cooked a delicious meal.  ,A delicious meal was cooked by the chef.,cook,,,True
cook,2132,A student cooked the chicken.  ,The chicken was cooked by a student.,cook,,,True
copy,2618,The clerk copied the file.,The file was copied by the clerk.,copy,,,True
