active,passive,verb,bad,exclude,match
The chef dumped the ingredients.,The ingredients were dumped by the chef.,dump,,,True
The carpenter hammered the nail.  ,The nail was hammered by the carpenter.,hammer,,,True
The worker hammered the metal.  ,The metal was hammered by the worker.,hammer,,,True
A child hammered the toy.  ,The toy was hammered by a child.,hammer,,,True
The blacksmith hammered the iron.  ,The iron was hammered by the blacksmith.,hammer,,,True
The artist hammered the sculpture.  ,The sculpture was hammered by the artist.,hammer,,,True
The builder hammered the boards.  ,The boards were hammered by the builder.,hammer,,,True
A neighbor hammered the fence.  ,The fence was hammered by a neighbor.,hammer,,,True
The mechanic hammered the exhaust.  ,The exhaust was hammered by the mechanic.,hammer,,,True
The team hammered the sign.  ,The sign was hammered by the team.,hammer,,,True
The chef scooped the batter.,The batter was scooped by the chef.,scoop,,,True
A child scooped some ice cream.,The ice cream was scooped by a child.,scoop,,,False
The waiter scooped the soup.,The soup was scooped by the waiter.,scoop,,,True
The gardener scooped the dirt.,The dirt was scooped by the gardener.,scoop,,,True
The dogsitter scooped the kibble.,The kibble was scooped by the dogsitter.,scoop,,,True
The artist scooped paint from the palette.,The paint was scooped from the palette by the artist.,scoop,,,False
The boy scooped sand into a bucket.,The sand was scooped into a bucket by the boy.,scoop,,,False
The athlete scooped the ball.,The ball was scooped by the athlete.,scoop,,,True
The baker scooped dough onto the tray.,The dough was scooped onto the tray by the baker.,scoop,,,False
The worker shoveled the snow.,The snow was shoveled by the worker.,shovel,,,True
A child shoveled the dirt.,The dirt was shoveled by a child.,shovel,,,True
The gardener shoveled the mulch.,The mulch was shoveled by the gardener.,shovel,,,True
The crew shoveled the gravel.,The gravel was shoveled by the crew.,shovel,,,True
A woman shoveled the leaves.,The leaves were shoveled by a woman.,shovel,,,True
The farmer shoveled the hay.,The hay was shoveled by the farmer.,shovel,,,True
The volunteers shoveled the sand.,The sand was shoveled by the volunteers.,shovel,,,True
The contractor shoveled the concrete.,The concrete was shoveled by the contractor.,shovel,,,True
The maintenance worker shoveled the asphalt.,The asphalt was shoveled by the maintenance worker.,shovel,,,True
The waiter poured the coffee.  ,The coffee was poured by the waiter.,pour,,,True
A child poured the juice.  ,The juice was poured by a child.,pour,,,True
The chef poured the sauce.  ,The sauce was poured by the chef.,pour,,,True
The bartender poured the whiskey.  ,The whiskey was poured by the bartender.,pour,,,True
The mother poured the milk.  ,The milk was poured by the mother.,pour,,,True
The scientist poured the liquid.  ,The liquid was poured by the scientist.,pour,,,True
The teacher poured the sand.  ,The sand was poured by the teacher.,pour,,,True
The mechanic poured the oil.  ,The oil was poured by the mechanic.,pour,,,True
The artist poured the paint.  ,The paint was poured by the artist.,pour,,,True
The child spilled the milk.,The milk was spilled by the child.,spill,,,True
She spilled the coffee.,The coffee was spilled by her.,spill,x,,False
The waiter spilled the soup.,The soup was spilled by the waiter.,spill,,,True
An artist spilled the paint.,The paint was spilled by an artist.,spill,,,True
The dog spilled the water.,The water was spilled by the dog.,spill,,,True
He spilled the beans.,The beans were spilled by him.,spill,x,,False
The teacher spilled the ink.,The ink was spilled by the teacher.,spill,,,True
The worker spilled the oil.,The oil was spilled by the worker.,spill,,,True
The wind spilled the leaves.,The leaves were spilled by the wind.,spill,x,,True
The gardener coiled the hose.,The hose was coiled by the gardener.,coil,,,True
The machine coiled the wire.,The wire was coiled by the machine.,coil,,,True
The artist coiled the clay.,The clay was coiled by the artist.,coil,,,True
The child coiled the ribbon.,The ribbon was coiled by the child.,coil,,,True
The electrician coiled the cable.,The cable was coiled by the electrician.,coil,,,True
The snake coiled the branch.,The branch was coiled by the snake.,coil,,,True
The chef coiled the spaghetti.,The spaghetti was coiled by the chef.,coil,,,True
The engineer coiled the rope.,The rope was coiled by the engineer.,coil,,,True
The worker coiled the extension cord.,The extension cord was coiled by the worker.,coil,,,True
The mechanic twisted the bolt.  ,The bolt was twisted by the mechanic.,twist,,,True
She twisted the fabric.  ,The fabric was twisted by her.,twist,x,,False
The athlete twisted the ribbon.  ,The ribbon was twisted by the athlete.,twist,,,True
The artist twisted the wire.  ,The wire was twisted by the artist.,twist,,,True
A child twisted the bottle cap.  ,The bottle cap was twisted by a child.,twist,,,True
The chef twisted the pasta.  ,The pasta was twisted by the chef.,twist,,,True
The magician twisted the balloon.  ,The balloon was twisted by the magician.,twist,,,True
The engineer twisted the knob.  ,The knob was twisted by the engineer.,twist,,,True
A dancer twisted the torso.  ,The torso was twisted by a dancer.,twist,x,,True
The chef filled the bowl.,The bowl was filled by the chef.,fill,,,True
The farmer filled the silo.,The silo was filled by the farmer.,fill,,,True
The artist filled the canvas.,The canvas was filled by the artist.,fill,,,True
The teacher filled the cup.,The cup was filled by the teacher.,fill,,,True
The worker filled the box.,The box was filled by the worker.,fill,,,True
The child filled the pool.,The pool was filled by the child.,fill,,,True
The engineer filled the tank.,The tank was filled by the engineer.,fill,,,True
The volunteer filled the shelf.,The shelf was filled by the volunteer.,fill,,,True
The contractor filled the bucket.,The bucket was filled by the contractor.,fill,,,True
The dog stained the carpet.,The carpet was stained by the dog.,stain,,,True
A child stained the shirt.,The shirt was stained by a child.,stain,,,True
The artist stained the canvas.,The canvas was stained by the artist.,stain,,,True
A toddler stained the table.,The table was stained by a toddler.,stain,,,True
The rain stained the fence.,The fence was stained by the rain.,stain,,,True
A friend stained the couch.,The couch was stained by a friend.,stain,,,True
The drink stained the floor.,The floor was stained by the drink.,stain,,,True
A worker stained the deck.,The deck was stained by a worker.,stain,,,True
The juice stained the napkin.,The napkin was stained by the juice.,stain,,,True
The chef buttered the toast.,The toast was buttered by the chef.,butter,,,True
The child buttered the bread.,The bread was buttered by the child.,butter,,,True
The waiter buttered the scone.,The scone was buttered by the waiter.,butter,,,True
She buttered the pancakes.,The pancakes were buttered by her.,butter,x,,False
A woman buttered the muffin.,The muffin was buttered by a woman.,butter,,,True
The baker buttered the croissant.,The croissant was buttered by the baker.,butter,,,True
They buttered the corn.,The corn was buttered by them.,butter,x,,False
The student buttered the bagel.,The bagel was buttered by the student.,butter,,,True
The mother buttered the crackers.,The crackers were buttered by the mother.,butter,,,True
The worker polished the table.,The table was polished by the worker.,polish,,,True
The student polished the shoes.,The shoes were polished by the student.,polish,,,True
The homeowner polished the silverware.,The silverware was polished by the homeowner.,polish,,,True
The artist polished the sculpture.,The sculpture was polished by the artist.,polish,,,True
The technician polished the car.,The car was polished by the technician.,polish,,,True
The maid polished the floors.,The floors were polished by the maid.,polish,,,True
The jeweler polished the ring.,The ring was polished by the jeweler.,polish,,,True
The player polished the trophy.,The trophy was polished by the player.,polish,,,True
The chef polished the knife.,The knife was polished by the chef.,polish,,,True
The thief pocketed the wallet.,The wallet was pocketed by the thief.,pocket,,,True
The child pocketed a toy.,The toy was pocketed by the child.,pocket,,,False
The salesperson pocketed the cash.,The cash was pocketed by the salesperson.,pocket,,,True
The traveler pocketed the ticket.,The ticket was pocketed by the traveler.,pocket,,,True
The artist pocketed a brush.,A brush was pocketed by the artist.,pocket,,,True
The teacher pocketed the exam papers.,The exam papers were pocketed by the teacher.,pocket,,,True
The student pocketed a pen.,The pen was pocketed by the student.,pocket,,,False
The poker player pocketed the chips.,The chips were pocketed by the poker player.,pocket,,,True
The gardener pocketed the seeds.,The seeds were pocketed by the gardener.,pocket,,,True
The chef potted the basil.,The basil was potted by the chef.,pot,,,True
An artist potted the clay.,The clay was potted by an artist.,pot,,,True
The gardener potted the flowers.,The flowers were potted by the gardener.,pot,,,True
The boy potted the goldfish.,The goldfish was potted by the boy.,pot,x,,True
The woman potted the herbs.,The herbs were potted by the woman.,pot,,,True
The student potted the seedlings.,The seedlings were potted by the student.,pot,,,True
A child potted the cactus.,The cactus was potted by a child.,pot,,,True
The scientist potted the sample.,The sample was potted by the scientist.,pot,,,True
The vendor potted the plants.,The plants were potted by the vendor.,pot,,,True
The technician deleted the files.  ,The files were deleted by the technician.,delete,,,True
The manager deleted the email.  ,The email was deleted by the manager.,delete,,,True
A student deleted the assignment.  ,The assignment was deleted by a student.,delete,,,True
The assistant deleted the document.  ,The document was deleted by the assistant.,delete,,,True
The user deleted the photos.  ,The photos were deleted by the user.,delete,,,True
The editor deleted the comment.  ,The comment was deleted by the editor.,delete,,,True
A programmer deleted the code.  ,The code was deleted by a programmer.,delete,HERE,,True
The teacher deleted the question.  ,The question was deleted by the teacher.,delete,,,True
An employee deleted the record.  ,The record was deleted by an employee.,delete,,,True
The worker cleared the table.,The table was cleared by the worker.,clear,,,True
The storm cleared the sky.,The sky was cleared by the storm.,clear,,,True
The teacher cleared the assignment.,The assignment was cleared by the teacher.,clear,,,True
The team cleared the obstacles.,The obstacles were cleared by the team.,clear,,,True
The gardener cleared the weeds.,The weeds were cleared by the gardener.,clear,,,True
The librarian cleared the shelves.,The shelves were cleared by the librarian.,clear,,,True
The waiter cleared the dishes.,The dishes were cleared by the waiter.,clear,,,True
The children cleared the playground.,The playground was cleared by the children.,clear,,,True
The manager cleared the clutter.,The clutter was cleared by the manager.,clear,,,True
The worker emptied the bucket.  ,The bucket was emptied by the worker.,empty,,,True
The cat emptied the litter box.  ,The litter box was emptied by the cat.,empty,x,,True
The staff emptied the trash can.  ,The trash can was emptied by the staff.,empty,,,True
The child emptied the backpack.  ,The backpack was emptied by the child.,empty,,,True
The team emptied the room.  ,The room was emptied by the team.,empty,,,True
The technician emptied the water tank.  ,The water tank was emptied by the technician.,empty,,,True
The volunteer emptied the donation box.  ,The donation box was emptied by the volunteer.,empty,,,True
The gardener emptied the wheelbarrow.  ,The wheelbarrow was emptied by the gardener.,empty,,,True
The chef emptied the pot.  ,The pot was emptied by the chef.,empty,,,True
The chef rinsed the vegetables.,The vegetables were rinsed by the chef.,rinse,,,True
The child rinsed the toy.,The toy was rinsed by the child.,rinse,,,True
The gardener rinsed the pot.,The pot was rinsed by the gardener.,rinse,,,True
The student rinsed the paintbrush.,The paintbrush was rinsed by the student.,rinse,,,True
The photographer rinsed the negatives.,The negatives were rinsed by the photographer.,rinse,,,True
The teacher rinsed the chalkboard.,The chalkboard was rinsed by the teacher.,rinse,,,True
The mother rinsed the fruits.,The fruits were rinsed by the mother.,rinse,,,True
The athlete rinsed the sweat.,The sweat was rinsed by the athlete.,rinse,x,,True
The engineer rinsed the parts.,The parts were rinsed by the engineer.,rinse,,,True
The janitor swept the floor.,The floor was swept by the janitor.,sweep,,,True
The child swept the porch.,The porch was swept by the child.,sweep,,,True
The woman swept the kitchen.,The kitchen was swept by the woman.,sweep,,,True
The gardener swept the leaves.,The leaves were swept by the gardener.,sweep,,,True
The crew swept the yard.,The yard was swept by the crew.,sweep,,,True
The dog swept the crumbs.,The crumbs were swept by the dog.,sweep,,,True
The employee swept the office.,The office was swept by the employee.,sweep,,,True
The student swept the classroom.,The classroom was swept by the student.,sweep,,,True
The family swept the driveway.,The driveway was swept by the family.,sweep,,,True
The thief stole a diamond.  ,The diamond was stolen by the thief.,steal,,,False
The child stole a cookie.  ,The cookie was stolen by the child.,steal,,,False
A robber stole a car.  ,The car was stolen by a robber.,steal,,,False
The artist stole inspiration.  ,Inspiration was stolen by the artist.,steal,x,,False
She stole the show.  ,The show was stolen by her.,steal,x,,False
A boy stole my pencil.  ,My pencil was stolen by a boy.,steal,,,False
The hacker stole confidential data.  ,Confidential data was stolen by the hacker.,steal,,,False
The crow stole a shiny object.  ,The shiny object was stolen by the crow.,steal,,,False
He stole a glance at her.  ,A glance was stolen at her by him.,steal,x,,False
The teacher took the book.,The book was taken by the teacher.,take,,,False
The child took a toy.,The toy was taken by the child.,take,,,False
The artist took the canvas.,The canvas was taken by the artist.,take,,,False
The gardener took the flowers.,The flowers were taken by the gardener.,take,,,False
The chef took the ingredients.,The ingredients were taken by the chef.,take,,,False
The runner took the gold medal.,The gold medal was taken by the runner.,take,x,,False
The student took the exam.,The exam was taken by the student.,take,?,,False
The traveler took the train.,The train was taken by the traveler.,take,?,,False
The dog took the bone.,The bone was taken by the dog.,take,,,False
The teacher posted the grades.,The grades were posted by the teacher.,post,,,True
A student posted an assignment.,The assignment was posted by a student.,post,,,False
The company posted an update.,The update was posted by the company.,post,,,False
She posted a letter.,The letter was posted by her.,post,x,,False
The manager posted a notice.,The notice was posted by the manager.,post,,,False
He posted a photo.,The photo was posted by him.,post,x,,False
The group posted a comment.,The comment was posted by the group.,post,,,False
They posted the event online.,The event was posted online by them.,post,x,,False
The artist posted a video.,The video was posted by the artist.,post,,,False
The teacher sent an email.,The email was sent by the teacher.,send,,,False
Sarah sent a postcard.,The postcard was sent by Sarah.,send,,,False
The company sent a package.,The package was sent by the company.,send,,,False
The chef sent a dish to the table.,The dish was sent to the table by the chef.,send,,,False
I sent a letter to my friend.,The letter was sent to my friend by me.,send,x,,False
The manager sent an invitation.,The invitation was sent by the manager.,send,,,False
David sent a text message.,The text message was sent by David.,send,,,False
The artist sent a painting to the gallery.,The painting was sent to the gallery by the artist.,send,,,False
The parent sent a reminder note.,The reminder note was sent by the parent.,send,,,False
The ball bounced off the wall.,The wall was bounced off by the ball.,bounce,x,,True
The child bounced the toy.,The toy was bounced by the child.,bounce,,,True
The player bounced the basketball.,The basketball was bounced by the player.,bounce,,,True
The dog bounced a ball.,The ball was bounced by the dog.,bounce,,,False
The athlete bounced the trampoline.,The trampoline was bounced by the athlete.,bounce,,,True
The rabbit bounced the stone.,The stone was bounced by the rabbit.,bounce,x,,True
The girl bounced the hula hoop.,The hula hoop was bounced by the girl.,bounce,,,True
The baby bounced the blanket.,The blanket was bounced by the baby.,bounce,x,,True
The cat bounced the yarn.,The yarn was bounced by the cat.,bounce,x,,True
The chef brought the ingredients.,The ingredients were brought by the chef.,bring,,,True
A friend brought a gift.,A gift was brought by a friend.,bring,,,True
The teacher brought the books.,The books were brought by the teacher.,bring,,,True
The waiter brought the menu.,The menu was brought by the waiter.,bring,,,True
The sister brought a dessert.,A dessert was brought by the sister.,bring,,,True
The courier brought the package.,The package was brought by the courier.,bring,,,True
The neighbor brought flowers.,Flowers were brought by the neighbor.,bring,,,True
The student brought a laptop.,A laptop was brought by the student.,bring,,,True
The artist brought the paintings.,The paintings were brought by the artist.,bring,,,True
The girl drove the car.,The car was driven by the girl.,drive,,,False
A family drove the truck.,The truck was driven by a family.,drive,,,False
The coach drove the players.,The players were driven by the coach.,drive,,,False
John drove a taxi.,The taxi was driven by John.,drive,,,False
The tour guide drove the bus.,The bus was driven by the tour guide.,drive,,,False
The mechanic drove the van.,The van was driven by the mechanic.,drive,,,False
The couple drove the convertible.,The convertible was driven by the couple.,drive,,,False
The teacher drove the school bus.,The school bus was driven by the teacher.,drive,,,False
Sarah drove the sports car.,The sports car was driven by Sarah.,drive,,,False
The team rowed the boat.,The boat was rowed by the team.,row,,,True
The children rowed the canoe.,The canoe was rowed by the children.,row,,,True
An expert rowed the dragon boat.,The dragon boat was rowed by an expert.,row,,,True
The coach rowed the longboat.,The longboat was rowed by the coach.,row,,,True
The athlete rowed the single scull.,The single scull was rowed by the athlete.,row,,,True
The instructor rowed the touring kayak.,The touring kayak was rowed by the instructor.,row,,,True
The family rowed the fishing skiff.,The fishing skiff was rowed by the family.,row,,,True
The crew rowed the eight-oared shell.,The eight-oared shell was rowed by the crew.,row,,,True
The tourists rowed the inflatable raft.,The inflatable raft was rowed by the tourists.,row,,,True
The farmer sold fresh tomatoes.,The fresh tomatoes were sold by the farmer.,sell,,,False
A child sold lemonade.,Lemonade was sold by a child.,sell,,,True
The artist sold a painting.,The painting was sold by the artist.,sell,,,False
The store sold a new bicycle.,The new bicycle was sold by the store.,sell,,,False
The vendor sold hot dogs.,Hot dogs were sold by the vendor.,sell,,,True
The company sold the products.,The products were sold by the company.,sell,,,True
The neighbor sold cookies.,Cookies were sold by the neighbor.,sell,,,True
The auctioneer sold an antique vase.,An antique vase was sold by the auctioneer.,sell,,,True
The shopkeeper sold winter jackets.,Winter jackets were sold by the shopkeeper.,sell,,,True
The woman bought a dress.,A dress was bought by the woman.,buy,,,True
The child bought a toy.,A toy was bought by the child.,buy,,,True
The artist bought new paint.,New paint was bought by the artist.,buy,,,True
The teacher bought several books.,Several books were bought by the teacher.,buy,,,True
The couple bought a house.,The house was bought by the couple.,buy,,,False
The chef bought fresh ingredients.,The fresh ingredients were bought by the chef.,buy,,,False
The family bought a car.,The car was bought by the family.,buy,,,False
The student bought a laptop.,The laptop was bought by the student.,buy,,,False
The gardener bought new seeds.,New seeds were bought by the gardener.,buy,,,True
The employee earned a promotion.,The promotion was earned by the employee.,earn,,,False
The student earned a scholarship.,The scholarship was earned by the student.,earn,,,False
The contractor earned a large profit.,A large profit was earned by the contractor.,earn,,,True
The athlete earned a medal.,A medal was earned by the athlete.,earn,,,True
The company earned significant revenue.,Significant revenue was earned by the company.,earn,,,True
The artist earned recognition.,Recognition was earned by the artist.,earn,,,True
The author earned acclaim.,Acclaim was earned by the author.,earn,,,True
The musician earned a reward.,A reward was earned by the musician.,earn,,,True
The chef earned respect.,Respect was earned by the chef.,earn,,,True
The student borrowed a book.,A book was borrowed by the student.,borrow,,,True
She borrowed a pen.,The pen was borrowed by her.,borrow,x,,False
The neighbor borrowed my ladder.,My ladder was borrowed by the neighbor.,borrow,,,True
John borrowed some money.,The money was borrowed by John.,borrow,,,False
The friend borrowed the car.,The car was borrowed by the friend.,borrow,,,True
The child borrowed a toy.,A toy was borrowed by the child.,borrow,,,True
The teacher borrowed a projector.,A projector was borrowed by the teacher.,borrow,,,True
Maria borrowed the sweater.,The sweater was borrowed by Maria.,borrow,,,True
He borrowed a camera.,The camera was borrowed by him.,borrow,x,,False
The police seized the stolen car.,The stolen car was seized by the police.,seize,,,True
The army seized the enemy territory.,The enemy territory was seized by the army.,seize,,,True
The authorities seized the counterfeit goods.,The counterfeit goods were seized by the authorities.,seize,,,True
A collector seized the rare painting.,The rare painting was seized by a collector.,seize,,,True
The manager seized the opportunity.,The opportunity was seized by the manager.,seize,,,True
The child seized the toy from the table.,The toy was seized from the table by the child.,seize,,,True
The team seized the championship trophy.,The championship trophy was seized by the team.,seize,,,True
A thief seized the wallet.,The wallet was seized by a thief.,seize,,,True
The inspector seized the documents.,The documents were seized by the inspector.,seize,,,True
The student learned the lesson.,The lesson was learned by the student.,learn,,,True
The teacher learned new methods.,The new methods were learned by the teacher.,learn,,,False
The child learned the song.,The song was learned by the child.,learn,,,True
The athlete learned the skills.,The skills were learned by the athlete.,learn,,,True
The researcher learned the data.,The data was learned by the researcher.,learn,,,True
The musician learned the notes.,The notes were learned by the musician.,learn,,,True
The group learned the dance.,The dance was learned by the group.,learn,,,True
The chef learned the recipe.,The recipe was learned by the chef.,learn,,,True
The artist learned the technique.,The technique was learned by the artist.,learn,,,True
The student memorized the poem.,The poem was memorized by the student.,memorize,,,True
The artist memorized the song.,The song was memorized by the artist.,memorize,,,True
The child memorized the multiplication table.,The multiplication table was memorized by the child.,memorize,,,True
She memorized her lines for the play.,The lines for the play were memorized by her.,memorize,x,,False
The scientist memorized the formula.,The formula was memorized by the scientist.,memorize,,,True
The athlete memorized the routine.,The routine was memorized by the athlete.,memorize,,,True
The teacher memorized the lesson plan.,The lesson plan was memorized by the teacher.,memorize,,,True
The musician memorized the notes.,The notes were memorized by the musician.,memorize,,,True
The scholar memorized the dates.,The dates were memorized by the scholar.,memorize,,,True
The student studied the textbook.,The textbook was studied by the student.,study,,,True
The researcher studied the data.,The data was studied by the researcher.,study,,,True
She studied the map.,The map was studied by her.,study,x,,False
The child studied the poem.,The poem was studied by the child.,study,,,True
The team studied the strategies.,The strategies were studied by the team.,study,,,True
The professor studied the subject.,The subject was studied by the professor.,study,,,True
They studied the art history.,The art history was studied by them.,study,x,,False
The analyst studied the reports.,The reports were studied by the analyst.,study,,,True
The group studied the theories.,The theories were studied by the group.,study,,,True
The child gripped the toy.,The toy was gripped by the child.,grip,,,True
The athlete gripped the bat.,The bat was gripped by the athlete.,grip,,,True
The teacher gripped the marker.,The marker was gripped by the teacher.,grip,,,True
The soldier griped the weapon.,The weapon was griped by the soldier.,grip,,,True
The climber gripped the ledge.,The ledge was gripped by the climber.,grip,,,True
The artist gripped the brush.,The brush was gripped by the artist.,grip,,,True
The mechanic gripped the wrench.,The wrench was gripped by the mechanic.,grip,,,True
The dancer gripped the partner.,The partner was gripped by the dancer.,grip,x,,True
The driver gripped the steering wheel.,The steering wheel was gripped by the driver.,grip,,,True
The gardener kept the flowers.,The flowers were kept by the gardener.,keep,,,True
The teacher kept the students.,The students were kept by the teacher.,keep,,,True
The chef kept the recipe.,The recipe was kept by the chef.,keep,,,True
The company kept the information.,The information was kept by the company.,keep,,,True
The dog kept the ball.,The ball was kept by the dog.,keep,,,True
The artist kept the paints.,The paints were kept by the artist.,keep,,,True
The parent kept the promise.,The promise was kept by the parent.,keep,,,True
The librarian kept the books.,The books were kept by the librarian.,keep,,,True
The coach kept the team focused.,The team was kept focused by the coach.,keep,x,,True
The company stored additional supplies.,Additional supplies were stored by the company.,store,,,True
The farmer stored the grain.,The grain was stored by the farmer.,store,,,True
The technician stored the data.,The data was stored by the technician.,store,,,True
The chef stored the ingredients.,The ingredients were stored by the chef.,store,,,True
The family stored their belongings.,The belongings were stored by the family.,store,,,False
The museum stored the artifacts.,The artifacts were stored by the museum.,store,,,True
The librarian stored old books.,The old books were stored by the librarian.,store,,,False
The scientist stored the samples.,The samples were stored by the scientist.,store,,,True
The warehouse stored the furniture.,The furniture was stored by the warehouse.,store,,,True
The goalie blocked the shot.,The shot was blocked by the goalie.,block,,,True
The fence blocked the view.,The view was blocked by the fence.,block,,,True
The volunteers blocked the entrance.,The entrance was blocked by the volunteers.,block,,,True
The car blocked the driveway.,The driveway was blocked by the car.,block,,,True
A tree blocked the road.,The road was blocked by a tree.,block,,,True
The guard blocked access to the building.,Access to the building was blocked by the guard.,block,,,True
The team blocked the attempt.,The attempt was blocked by the team.,block,,,True
The screen blocked the sunlight.,The sunlight was blocked by the screen.,block,,,True
The protesters blocked traffic.,Traffic was blocked by the protesters.,block,,,True
The artist saw a painting.  ,The painting was seen by the artist.,saw,,,False
The child saw a dog.  ,The dog was seen by the child.,saw,,,False
The teacher saw the student.  ,The student was seen by the teacher.,saw,,,False
The photographer saw the sunset.  ,The sunset was seen by the photographer.,saw,,,False
The detective saw a clue.  ,The clue was seen by the detective.,saw,,,False
The traveler saw a waterfall.  ,The waterfall was seen by the traveler.,saw,,,False
The librarian saw the book.  ,The book was seen by the librarian.,saw,,,False
The chef saw the recipe.  ,The recipe was seen by the chef.,saw,,,False
The doctor saw a patient.  ,The patient was seen by the doctor.,saw,,,False
The chef carved a turkey.,The turkey was carved by the chef.,carve,,,False
An artist carved a statue.,The statue was carved by an artist.,carve,,,False
The woodworker carved a design.,The design was carved by the woodworker.,carve,,,False
The child carved a pumpkin.,The pumpkin was carved by the child.,carve,,,False
The sculptor carved the marble.,The marble was carved by the sculptor.,carve,,,True
A student carved a name.,Output: A name was carved by a student.,carve,,,False
The knight carved a symbol.,The symbol was carved by the knight.,carve,,,False
The carpenter carved a chair.,The chair was carved by the carpenter.,carve,,,False
The historian carved inscriptions.,The inscriptions were carved by the historian.,carve,,,False
The chef chopped some onions.  ,The onions were chopped by the chef.,chop,,,False
A woman chopped the vegetables.  ,The vegetables were chopped by a woman.,chop,,,True
The carpenter chopped a piece of wood.  ,The piece of wood was chopped by the carpenter.,chop,,,False
The child chopped the carrots.  ,The carrots were chopped by the child.,chop,,,True
The cook chopped the herbs.  ,The herbs were chopped by the cook.,chop,,,True
The gardener chopped the branches.  ,The branches were chopped by the gardener.,chop,,,True
The butcher chopped the meat.  ,The meat was chopped by the butcher.,chop,,,True
The student chopped the paper.  ,The paper was chopped by the student.,chop,x,,True
The artist chopped the canvas.  ,The canvas was chopped by the artist.,chop,x,,True
The chef mashed the potatoes.  ,The potatoes were mashed by the chef.,mash,,,True
The child mashed the bananas.  ,The bananas were mashed by the child.,mash,,,True
The cook mashed the carrots.  ,The carrots were mashed by the cook.,mash,,,True
A farmer mashed the grains.  ,The grains were mashed by a farmer.,mash,,,True
The baker mashed the berries.  ,The berries were mashed by the baker.,mash,,,True
An artist mashed the colors.  ,The colors were mashed by an artist.,mash,x,,True
The scientist mashed the samples.  ,The samples were mashed by the scientist.,mash,,,True
The toddler mashed the avocado.  ,The avocado was mashed by the toddler.,mash,,,True
The restaurant mashed the sweet potatoes.  ,The sweet potatoes were mashed by the restaurant.,mash,,,True
The chef sliced the bread.,The bread was sliced by the chef.,slice,,,True
She sliced the tomatoes.,The tomatoes were sliced by her.,slice,x,,False
The waiter sliced the cake.,The cake was sliced by the waiter.,slice,,,True
They sliced the roast beef.,The roast beef was sliced by them.,slice,x,,False
The student sliced the paper.,The paper was sliced by the student.,slice,,,True
The gardener sliced the fruit.,The fruit was sliced by the gardener.,slice,,,True
A parent sliced the apple.,The apple was sliced by a parent.,slice,,,True
