active,passive,verb
A neighbor dumped the leaves.,The leaves were dumped by a neighbor.,dump
The farmer dumped the feed.,The feed was dumped by the farmer.,dump
The gardener dumped the soil.,The soil was dumped by the gardener.,dump
The chef dumped the ingredients.,The ingredients were dumped by the chef.,dump
The carpenter hammered the nail.  ,The nail was hammered by the carpenter.,hammer
The worker hammered the metal.  ,The metal was hammered by the worker.,hammer
A child hammered the toy.  ,The toy was hammered by a child.,hammer
The blacksmith hammered the iron.  ,The iron was hammered by the blacksmith.,hammer
The artist hammered the sculpture.  ,The sculpture was hammered by the artist.,hammer
The builder hammered the boards.  ,The boards were hammered by the builder.,hammer
A neighbor hammered the fence.  ,The fence was hammered by a neighbor.,hammer
The mechanic hammered the exhaust.  ,The exhaust was hammered by the mechanic.,hammer
The team hammered the sign.  ,The sign was hammered by the team.,hammer
The chef scooped the batter.,The batter was scooped by the chef.,scoop
A child scooped some ice cream.,The ice cream was scooped by a child.,scoop
The waiter scooped the soup.,The soup was scooped by the waiter.,scoop
The gardener scooped dirt.,The dirt was scooped by the gardener.,scoop
The puppy scooped the kibble.,The kibble was scooped by the puppy.,scoop
The artist scooped paint from the palette.,The paint was scooped from the palette by the artist.,scoop
The boy scooped sand into a bucket.,The sand was scooped into a bucket by the boy.,scoop
The athlete scooped the ball.,The ball was scooped by the athlete.,scoop
The baker scooped dough onto the tray.,The dough was scooped onto the tray by the baker.,scoop
The worker shoveled the snow.,The snow was shoveled by the worker.,shovel
A child shoveled the dirt.,The dirt was shoveled by a child.,shovel
The gardener shoveled the mulch.,The mulch was shoveled by the gardener.,shovel
The crew shoveled the gravel.,The gravel was shoveled by the crew.,shovel
A woman shoveled the leaves.,The leaves were shoveled by a woman.,shovel
The farmer shoveled the hay.,The hay was shoveled by the farmer.,shovel
The volunteers shoveled the sand.,The sand was shoveled by the volunteers.,shovel
The contractor shoveled the concrete.,The concrete was shoveled by the contractor.,shovel
The maintenance worker shoveled the asphalt.,The asphalt was shoveled by the maintenance worker.,shovel
The waiter poured the coffee.  ,The coffee was poured by the waiter.,pour
A child poured the juice.  ,The juice was poured by a child.,pour
The chef poured the sauce.  ,The sauce was poured by the chef.,pour
The bartender poured the whiskey.  ,The whiskey was poured by the bartender.,pour
The mother poured the milk.  ,The milk was poured by the mother.,pour
The scientist poured the liquid.  ,The liquid was poured by the scientist.,pour
The teacher poured the sand.  ,The sand was poured by the teacher.,pour
The mechanic poured the oil.  ,The oil was poured by the mechanic.,pour
The artist poured the paint.  ,The paint was poured by the artist.,pour
The child spilled the milk.,The milk was spilled by the child.,spill
She spilled the coffee.,The coffee was spilled by her.,spill
The waiter spilled the soup.,The soup was spilled by the waiter.,spill
An artist spilled the paint.,The paint was spilled by an artist.,spill
The dog spilled the water.,The water was spilled by the dog.,spill
He spilled the beans.,The beans were spilled by him.,spill
The teacher spilled the ink.,The ink was spilled by the teacher.,spill
The worker spilled the oil.,The oil was spilled by the worker.,spill
The wind spilled the leaves.,The leaves were spilled by the wind.,spill
The gardener coiled the hose.,The hose was coiled by the gardener.,coil
The machine coiled the wire.,The wire was coiled by the machine.,coil
The artist coiled the clay.,The clay was coiled by the artist.,coil
The child coiled the ribbon.,The ribbon was coiled by the child.,coil
The electrician coiled the cable.,The cable was coiled by the electrician.,coil
The snake coiled the branch.,The branch was coiled by the snake.,coil
The chef coiled the spaghetti.,The spaghetti was coiled by the chef.,coil
The engineer coiled the rope.,The rope was coiled by the engineer.,coil
The worker coiled the extension cord.,The extension cord was coiled by the worker.,coil
The mechanic twisted the bolt.  ,The bolt was twisted by the mechanic.,twist
She twisted the fabric.  ,The fabric was twisted by her.,twist
The athlete twisted the ribbon.  ,The ribbon was twisted by the athlete.,twist
The artist twisted the wire.  ,The wire was twisted by the artist.,twist
A child twisted the cap.  ,The cap was twisted by a child.,twist
The chef twisted the pasta.  ,The pasta was twisted by the chef.,twist
The magician twisted the balloon.  ,The balloon was twisted by the magician.,twist
The engineer twisted the knob.  ,The knob was twisted by the engineer.,twist
A dancer twisted the torso.  ,The torso was twisted by a dancer.,twist
The chef filled the bowl.,The bowl was filled by the chef.,fill
The farmer filled the silo.,The silo was filled by the farmer.,fill
The artist filled the canvas.,The canvas was filled by the artist.,fill
The teacher filled the cup.,The cup was filled by the teacher.,fill
The worker filled the box.,The box was filled by the worker.,fill
The child filled the pool.,The pool was filled by the child.,fill
The engineer filled the tank.,The tank was filled by the engineer.,fill
The volunteer filled the shelf.,The shelf was filled by the volunteer.,fill
The contractor filled the bucket.,The bucket was filled by the contractor.,fill
The dog stained the carpet.,The carpet was stained by the dog.,stain
A child stained the shirt.,The shirt was stained by a child.,stain
The artist stained the canvas.,The canvas was stained by the artist.,stain
A toddler stained the table.,The table was stained by a toddler.,stain
The rain stained the fence.,The fence was stained by the rain.,stain
A friend stained the couch.,The couch was stained by a friend.,stain
The drink stained the floor.,The floor was stained by the drink.,stain
A worker stained the deck.,The deck was stained by a worker.,stain
The juice stained the napkin.,The napkin was stained by the juice.,stain
The chef buttered the toast.,The toast was buttered by the chef.,butter
The child buttered the bread.,The bread was buttered by the child.,butter
The waiter buttered the scone.,The scone was buttered by the waiter.,butter
She buttered the pancakes.,The pancakes were buttered by her.,butter
A woman buttered the muffin.,The muffin was buttered by a woman.,butter
The baker buttered the croissant.,The croissant was buttered by the baker.,butter
They buttered the corn.,The corn was buttered by them.,butter
The student buttered the bagel.,The bagel was buttered by the student.,butter
The mother buttered the crackers.,The crackers were buttered by the mother.,butter
The worker polished the table.,The table was polished by the worker.,polish
The student polished the shoes.,The shoes were polished by the student.,polish
The homeowner polished the silverware.,The silverware was polished by the homeowner.,polish
The artist polished the sculpture.,The sculpture was polished by the artist.,polish
The technician polished the car.,The car was polished by the technician.,polish
The maid polished the floors.,The floors were polished by the maid.,polish
The jeweler polished the ring.,The ring was polished by the jeweler.,polish
The player polished the trophy.,The trophy was polished by the player.,polish
The chef polished the knife.,The knife was polished by the chef.,polish
The thief pocketed the wallet.,The wallet was pocketed by the thief.,pocket
The child pocketed a toy.,The toy was pocketed by the child.,pocket
The salesperson pocketed the cash.,The cash was pocketed by the salesperson.,pocket
The traveler pocketed the ticket.,The ticket was pocketed by the traveler.,pocket
The artist pocketed a brush.,Output: A brush was pocketed by the artist.,pocket
The teacher pocketed the exam papers.,The exam papers were pocketed by the teacher.,pocket
The student pocketed a pen.,The pen was pocketed by the student.,pocket
The poker player pocketed the chips.,The chips were pocketed by the poker player.,pocket
The gardener pocketed the seeds.,The seeds were pocketed by the gardener.,pocket
The chef potted the basil.,The basil was potted by the chef.,pot
An artist potted the clay.,The clay was potted by an artist.,pot
The gardener potted the flowers.,The flowers were potted by the gardener.,pot
The boy potted the goldfish.,The goldfish was potted by the boy.,pot
The woman potted the herbs.,The herbs were potted by the woman.,pot
The student potted the seedlings.,The seedlings were potted by the student.,pot
A child potted the cactus.,The cactus was potted by a child.,pot
The scientist potted the sample.,The sample was potted by the scientist.,pot
The vendor potted the plants.,The plants were potted by the vendor.,pot
The technician deleted the files.  ,The files were deleted by the technician.,delete
The manager deleted the email.  ,The email was deleted by the manager.,delete
A student deleted the assignment.  ,The assignment was deleted by a student.,delete
The assistant deleted the document.  ,The document was deleted by the assistant.,delete
The user deleted the photos.  ,The photos were deleted by the user.,delete
The editor deleted the comment.  ,The comment was deleted by the editor.,delete
A programmer deleted the code.  ,The code was deleted by a programmer.,delete
The teacher deleted the question.  ,The question was deleted by the teacher.,delete
An employee deleted the record.  ,The record was deleted by an employee.,delete
The worker cleared the table.,The table was cleared by the worker.,clear
The storm cleared the sky.,The sky was cleared by the storm.,clear
The teacher cleared the assignment.,The assignment was cleared by the teacher.,clear
The team cleared the obstacles.,The obstacles were cleared by the team.,clear
The gardener cleared the weeds.,The weeds were cleared by the gardener.,clear
The librarian cleared the shelves.,The shelves were cleared by the librarian.,clear
The chef cleared the dishes.,The dishes were cleared by the chef.,clear
The children cleared the playground.,The playground was cleared by the children.,clear
The manager cleared the clutter.,The clutter was cleared by the manager.,clear
The worker emptied the bucket.  ,The bucket was emptied by the worker.,empty
The cat emptied the litter box.  ,The litter box was emptied by the cat.,empty
The staff emptied the trash can.  ,The trash can was emptied by the staff.,empty
The child emptied the backpack.  ,The backpack was emptied by the child.,empty
The team emptied the room.  ,The room was emptied by the team.,empty
The technician emptied the water tank.  ,The water tank was emptied by the technician.,empty
The volunteer emptied the donation box.  ,The donation box was emptied by the volunteer.,empty
The gardener emptied the wheelbarrow.  ,The wheelbarrow was emptied by the gardener.,empty
The chef emptied the pot.  ,The pot was emptied by the chef.,empty
The chef rinsed the vegetables.,The vegetables were rinsed by the chef.,rinse
The child rinsed the toy.,The toy was rinsed by the child.,rinse
The gardener rinsed the dirt.,The dirt was rinsed by the gardener.,rinse
The student rinsed the paintbrush.,The paintbrush was rinsed by the student.,rinse
The photographer rinsed the negatives.,The negatives were rinsed by the photographer.,rinse
The teacher rinsed the chalkboard.,The chalkboard was rinsed by the teacher.,rinse
The mother rinsed the fruits.,The fruits were rinsed by the mother.,rinse
The athlete rinsed the sweat.,The sweat was rinsed by the athlete.,rinse
The engineer rinsed the parts.,The parts were rinsed by the engineer.,rinse
The janitor swept the floor.,The floor was swept by the janitor.,sweep
The child swept the porch.,The porch was swept by the child.,sweep
The woman swept the kitchen.,The kitchen was swept by the woman.,sweep
The gardener swept the leaves.,The leaves were swept by the gardener.,sweep
The crew swept the yard.,The yard was swept by the crew.,sweep
The dog swept the crumbs.,Output: The crumbs were swept by the dog.,sweep
The employee swept the office.,The office was swept by the employee.,sweep
The student swept the classroom.,The classroom was swept by the student.,sweep
The family swept the driveway.,The driveway was swept by the family.,sweep
The thief stole a diamond.  ,The diamond was stolen by the thief.,steal
The child stole a cookie.  ,The cookie was stolen by the child.,steal
A robber stole a car.  ,The car was stolen by a robber.,steal
The artist stole inspiration.  ,Output: Inspiration was stolen by the artist.,steal
She stole the show.  ,The show was stolen by her.,steal
A boy stole my pencil.  ,The pencil was stolen by a boy.,steal
The hacker stole confidential data.  ,The confidential data was stolen by the hacker.,steal
The crow stole a shiny object.  ,The shiny object was stolen by the crow.,steal
He stole a glance at her.  ,A glance was stolen at her by him.,steal
The teacher took the book.,The book was taken by the teacher.,take
The child took a toy.,The toy was taken by the child.,take
The artist took the canvas.,The canvas was taken by the artist.,take
The gardener took the flowers.,The flowers were taken by the gardener.,take
The chef took the ingredients.,The ingredients were taken by the chef.,take
The runner took the gold medal.,The gold medal was taken by the runner.,take
The student took the exam.,The exam was taken by the student.,take
The traveler took the train.,The train was taken by the traveler.,take
The dog took the bone.,The bone was taken by the dog.,take
The teacher posted the grades.,The grades were posted by the teacher.,post
A student posted an assignment.,The assignment was posted by a student.,post
The company posted an update.,The update was posted by the company.,post
She posted a letter.,The letter was posted by her.,post
The manager posted a notice.,The notice was posted by the manager.,post
He posted a photo.,The photo was posted by him.,post
The group posted a comment.,The comment was posted by the group.,post
They posted the event online.,The event was posted online by them.,post
The artist posted a video.,The video was posted by the artist.,post
The teacher sent an email.,The email was sent by the teacher.,send
Sarah sent a postcard.,The postcard was sent by Sarah.,send
The company sent a package.,The package was sent by the company.,send
The chef sent a dish to the table.,The dish was sent to the table by the chef.,send
I sent a letter to my friend.,The letter was sent to my friend by me.,send
The manager sent an invitation.,The invitation was sent by the manager.,send
David sent a text message.,The text message was sent by David.,send
The artist sent a painting to the gallery.,The painting was sent to the gallery by the artist.,send
The parent sent a reminder note.,The reminder note was sent by the parent.,send
The ball bounced off the wall.,The wall was bounced off by the ball.,bounce
The child bounced the toy.,The toy was bounced by the child.,bounce
The player bounced the basketball.,The basketball was bounced by the player.,bounce
The dog bounced a ball.,The ball was bounced by the dog.,bounce
The athlete bounced the trampoline.,The trampoline was bounced by the athlete.,bounce
The rabbit bounced the stone.,The stone was bounced by the rabbit.,bounce
The girl bounced the hula hoop.,The hula hoop was bounced by the girl.,bounce
The baby bounced the blanket.,The blanket was bounced by the baby.,bounce
The cat bounced the yarn.,The yarn was bounced by the cat.,bounce
The chef brought the ingredients.,The ingredients were brought by the chef.,bring
A friend brought a gift.,A gift was brought by a friend.,bring
The teacher brought the books.,The books were brought by the teacher.,bring
The waiter brought the menu.,The menu was brought by the waiter.,bring
The sister brought a dessert.,The dessert was brought by the sister.,bring
The courier brought the package.,The package was brought by the courier.,bring
The neighbor brought flowers.,The flowers were brought by the neighbor.,bring
The student brought a laptop.,The laptop was brought by the student.,bring
The artist brought her paintings.,The paintings were brought by the artist.,bring
The girl drove the car.,The car was driven by the girl.,drive
A family drove their truck.,The truck was driven by a family.,drive
The coach drove the players.,The players were driven by the coach.,drive
John drove a taxi.,The taxi was driven by John.,drive
The tour guide drove the bus.,The bus was driven by the tour guide.,drive
The mechanic drove the van.,The van was driven by the mechanic.,drive
The couple drove the convertible.,The convertible was driven by the couple.,drive
The teacher drove the school bus.,The school bus was driven by the teacher.,drive
Sarah drove the sports car.,The sports car was driven by Sarah.,drive
The team rowed the boat.,The boat was rowed by the team.,row
The children rowed the canoe.,The canoe was rowed by the children.,row
An expert rowed the dragon boat.,The dragon boat was rowed by an expert.,row
The coach rowed the longboat.,The longboat was rowed by the coach.,row
The athlete rowed the single scull.,The single scull was rowed by the athlete.,row
The instructor rowed the touring kayak.,The touring kayak was rowed by the instructor.,row
The family rowed the fishing skiff.,The fishing skiff was rowed by the family.,row
The crew rowed the eight-oared shell.,The eight-oared shell was rowed by the crew.,row
The tourists rowed the inflatable raft.,The inflatable raft was rowed by the tourists.,row
The farmer sold fresh tomatoes.,The fresh tomatoes were sold by the farmer.,sell
A child sold lemonade.,Output: Lemonade was sold by a child.,sell
The artist sold a painting.,The painting was sold by the artist.,sell
The store sold a new bicycle.,The new bicycle was sold by the store.,sell
The vendor sold hot dogs.,The hot dogs were sold by the vendor.,sell
The company sold its products.,The products were sold by the company.,sell
The neighbor sold cookies.,The cookies were sold by the neighbor.,sell
The auctioneer sold an antique vase.,The antique vase was sold by the auctioneer.,sell
The shopkeeper sold winter jackets.,The winter jackets were sold by the shopkeeper.,sell
The woman bought a dress.,The dress was bought by the woman.,buy
The child bought a toy.,The toy was bought by the child.,buy
The artist bought new paint.,The new paint was bought by the artist.,buy
The teacher bought several books.,The sentence in passive voice would be: Several books were bought by the teacher.,buy
The couple bought a house.,The house was bought by the couple.,buy
The chef bought fresh ingredients.,The fresh ingredients were bought by the chef.,buy
The family bought a car.,The car was bought by the family.,buy
The student bought a laptop.,The laptop was bought by the student.,buy
The gardener bought new seeds.,The new seeds were bought by the gardener.,buy
The employee earned a promotion.,The promotion was earned by the employee.,earn
The student earned a scholarship.,The scholarship was earned by the student.,earn
The contractor earned a large profit.,The large profit was earned by the contractor.,earn
The athlete earned a medal.,The medal was earned by the athlete.,earn
The company earned significant revenue.,The significant revenue was earned by the company.,earn
The artist earned recognition.,The recognition was earned by the artist.,earn
The author earned acclaim.,The acclaim was earned by the author.,earn
The musician earned a reward.,The reward was earned by the musician.,earn
The chef earned respect.,The respect was earned by the chef.,earn
The student borrowed a book.,The book was borrowed by the student.,borrow
She borrowed a pen.,The pen was borrowed by her.,borrow
The neighbor borrowed my ladder.,The ladder was borrowed by the neighbor.,borrow
John borrowed some money.,The money was borrowed by John.,borrow
The friend borrowed the car.,The car was borrowed by the friend.,borrow
The child borrowed a toy.,The toy was borrowed by the child.,borrow
The teacher borrowed a projector.,The projector was borrowed by the teacher.,borrow
Maria borrowed the sweater.,The sweater was borrowed by Maria.,borrow
He borrowed a camera.,The camera was borrowed by him.,borrow
The police seized the stolen car.,The stolen car was seized by the police.,seize
The army seized the enemy territory.,The enemy territory was seized by the army.,seize
The authorities seized the counterfeit goods.,The counterfeit goods were seized by the authorities.,seize
A collector seized the rare painting.,The rare painting was seized by a collector.,seize
The manager seized the opportunity.,The opportunity was seized by the manager.,seize
The child seized the toy from the table.,The toy was seized by the child from the table.,seize
The team seized the championship trophy.,The championship trophy was seized by the team.,seize
A thief seized the wallet from the victim.,The wallet was seized by a thief from the victim.,seize
The inspector seized the documents.,The documents were seized by the inspector.,seize
The student learned the lesson.,The lesson was learned by the student.,learn
The teacher learned new methods.,The new methods were learned by the teacher.,learn
The child learned the song.,The song was learned by the child.,learn
The athlete learned the skills.,The skills were learned by the athlete.,learn
The researcher learned the data.,The data was learned by the researcher.,learn
The musician learned the notes.,The notes were learned by the musician.,learn
The group learned the dance.,The dance was learned by the group.,learn
The chef learned the recipe.,The recipe was learned by the chef.,learn
The artist learned the technique.,The technique was learned by the artist.,learn
The student memorized the poem.,The poem was memorized by the student.,memorize
The artist memorized the song.,The song was memorized by the artist.,memorize
The child memorized the multiplication table.,The multiplication table was memorized by the child.,memorize
She memorized her lines for the play.,The lines for the play were memorized by her.,memorize
The scientist memorized the formula.,The formula was memorized by the scientist.,memorize
The athlete memorized the routine.,The routine was memorized by the athlete.,memorize
The teacher memorized the lesson plan.,The lesson plan was memorized by the teacher.,memorize
The musician memorized the notes.,The notes were memorized by the musician.,memorize
The scholar memorized the dates.,The dates were memorized by the scholar.,memorize
The student studied the textbook.,The textbook was studied by the student.,study
The researcher studied the data.,The data was studied by the researcher.,study
She studied the map.,The map was studied by her.,study
The child studied the poem.,The poem was studied by the child.,study
The team studied the strategies.,The strategies were studied by the team.,study
The professor studied the subject.,The subject was studied by the professor.,study
They studied the art history.,The art history was studied by them.,study
The analyst studied the reports.,The reports were studied by the analyst.,study
The group studied the theories.,The theories were studied by the group.,study
The child gripped the toy.,The toy was gripped by the child.,grip
The athlete gripped the bat.,The bat was gripped by the athlete.,grip
The teacher gripped the marker.,The marker was gripped by the teacher.,grip
The soldier griped the weapon.,The weapon was griped by the soldier.,grip
The climber gripped the ledge.,The ledge was gripped by the climber.,grip
The artist gripped the brush.,The brush was gripped by the artist.,grip
The mechanic gripped the wrench.,The wrench was gripped by the mechanic.,grip
The dancer gripped the partner.,The partner was gripped by the dancer.,grip
The driver gripped the steering wheel.,The steering wheel was gripped by the driver.,grip
The gardener kept the flowers.,The flowers were kept by the gardener.,keep
The teacher kept the students.,The students were kept by the teacher.,keep
The chef kept the recipe.,The recipe was kept by the chef.,keep
The company kept the information.,The information was kept by the company.,keep
The dog kept the ball.,The ball was kept by the dog.,keep
The artist kept the paints.,The paints were kept by the artist.,keep
The parent kept the promise.,The promise was kept by the parent.,keep
The librarian kept the books.,The books were kept by the librarian.,keep
The coach kept the team focused.,The team was kept focused by the coach.,keep
The company stored additional supplies.,The additional supplies were stored by the company.,store
The farmer stored the grain.,The grain was stored by the farmer.,store
The technician stored the data.,The data was stored by the technician.,store
The chef stored the ingredients.,The ingredients were stored by the chef.,store
The family stored their belongings.,The belongings were stored by the family.,store
The museum stored the artifacts.,The artifacts were stored by the museum.,store
The librarian stored old books.,The old books were stored by the librarian.,store
The scientist stored the samples.,The samples were stored by the scientist.,store
The warehouse stored the furniture.,The furniture was stored by the warehouse.,store
The goalie blocked the shot.,The shot was blocked by the goalie.,block
The fence blocked the view.,The view was blocked by the fence.,block
The volunteers blocked the entrance.,The entrance was blocked by the volunteers.,block
The car blocked the driveway.,The driveway was blocked by the car.,block
A tree blocked the road.,The road was blocked by a tree.,block
The guard blocked access to the building.,Access to the building was blocked by the guard.,block
The team blocked the attempt.,The attempt was blocked by the team.,block
The screen blocked the sunlight.,The sunlight was blocked by the screen.,block
The protesters blocked traffic.,Traffic was blocked by the protesters.,block
The artist saw a painting.  ,The painting was seen by the artist.,saw
The child saw a dog.  ,The dog was seen by the child.,saw
The teacher saw the student.  ,The student was seen by the teacher.,saw
The photographer saw the sunset.  ,The sunset was seen by the photographer.,saw
The detective saw a clue.  ,The clue was seen by the detective.,saw
The traveler saw a waterfall.  ,The waterfall was seen by the traveler.,saw
The librarian saw the book.  ,The book was seen by the librarian.,saw
The chef saw the recipe.  ,The recipe was seen by the chef.,saw
The doctor saw a patient.  ,The patient was seen by the doctor.,saw
The chef carved a turkey.,The turkey was carved by the chef.,carve
An artist carved a statue.,The statue was carved by an artist.,carve
The woodworker carved a design.,The design was carved by the woodworker.,carve
The child carved a pumpkin.,The pumpkin was carved by the child.,carve
The sculptor carved the marble.,The marble was carved by the sculptor.,carve
A student carved a name.,Output: A name was carved by a student.,carve
The knight carved a symbol.,The symbol was carved by the knight.,carve
The carpenter carved a chair.,The chair was carved by the carpenter.,carve
The historian carved inscriptions.,The inscriptions were carved by the historian.,carve
The chef chopped some onions.  ,The onions were chopped by the chef.,chop
A woman chopped the vegetables.  ,The vegetables were chopped by a woman.,chop
The carpenter chopped a piece of wood.  ,The piece of wood was chopped by the carpenter.,chop
The child chopped the carrots.  ,The carrots were chopped by the child.,chop
The cook chopped the herbs.  ,The herbs were chopped by the cook.,chop
The gardener chopped the branches.  ,The branches were chopped by the gardener.,chop
The butcher chopped the meat.  ,The meat was chopped by the butcher.,chop
The student chopped the paper.  ,The paper was chopped by the student.,chop
The artist chopped the canvas.  ,The canvas was chopped by the artist.,chop
The chef mashed the potatoes.  ,The potatoes were mashed by the chef.,mash
The child mashed the bananas.  ,The bananas were mashed by the child.,mash
The cook mashed the carrots.  ,The carrots were mashed by the cook.,mash
A farmer mashed the grains.  ,The grains were mashed by a farmer.,mash
The baker mashed the berries.  ,The berries were mashed by the baker.,mash
An artist mashed the colors.  ,The colors were mashed by an artist.,mash
The scientist mashed the samples.  ,The samples were mashed by the scientist.,mash
The toddler mashed the avocado.  ,The avocado was mashed by the toddler.,mash
The restaurant mashed the sweet potatoes.  ,The sweet potatoes were mashed by the restaurant.,mash
The chef sliced the bread.,The bread was sliced by the chef.,slice
She sliced the tomatoes.,The tomatoes were sliced by her.,slice
The waiter sliced the cake.,The cake was sliced by the waiter.,slice
They sliced the roast beef.,The roast beef was sliced by them.,slice
The student sliced the paper.,The paper was sliced by the student.,slice
The gardener sliced the fruit.,The fruit was sliced by the gardener.,slice
A parent sliced the apple.,The apple was sliced by a parent.,slice
The butcher sliced the meat.,The meat was sliced by the butcher.,slice
The artist sliced the canvas.,The canvas was sliced by the artist.,slice
The tailor buttoned the jacket.,The jacket was buttoned by the tailor.,button
She buttoned the shirt.,The shirt was buttoned by her.,button
He buttoned the coat.,The coat was buttoned by him.,button
The child buttoned the pants.,The pants were buttoned by the child.,button
The soldier buttoned the uniform.,The uniform was buttoned by the soldier.,button
The seamstress buttoned the dress.,The dress was buttoned by the seamstress.,button
The woman buttoned the blouse.,The blouse was buttoned by the woman.,button
The designer buttoned the sweater.,The sweater was buttoned by the designer.,button
The grandmother buttoned the cardigan.,The cardigan was buttoned by the grandmother.,button
The artisan laced the shoes.,The shoes were laced by the artisan.,lace
The girl laced the ribbon.,The ribbon was laced by the girl.,lace
The tailor laced the corset.,The corset was laced by the tailor.,lace
The athlete laced the sneakers.,The sneakers were laced by the athlete.,lace
The child laced the beads.,The beads were laced by the child.,lace
The designer laced the fabric.,The fabric was laced by the designer.,lace
The musician laced the guitar strings.,The guitar strings were laced by the musician.,lace
The programmer laced the code.,The code was laced by the programmer.,lace
The artist laced the canvas.,The canvas was laced by the artist.,lace
The woman locked the door.,The door was locked by the woman.,lock
A thief locked the car.,The car was locked by a thief.,lock
The manager locked the office.,The office was locked by the manager.,lock
The gardener locked the shed.,The shed was locked by the gardener.,lock
The teacher locked the classroom.,The classroom was locked by the teacher.,lock
The child locked the toy box.,The toy box was locked by the child.,lock
The detective locked the evidence.,The evidence was locked by the detective.,lock
The technician locked the cabinet.,The cabinet was locked by the technician.,lock
The artist locked the studio.,The studio was locked by the artist.,lock
The artist sealed the envelope.  ,The envelope was sealed by the artist.,seal
The workers sealed the containers.  ,The containers were sealed by the workers.,seal
The chef sealed the dish.  ,The dish was sealed by the chef.,seal
The contractor sealed the windows.  ,The windows were sealed by the contractor.,seal
The team sealed the victory.  ,The victory was sealed by the team.,seal
The technician sealed the wires.  ,The wires were sealed by the technician.,seal
The diver sealed the access point.  ,The access point was sealed by the diver.,seal
The company sealed the deal.  ,The deal was sealed by the company.,seal
The scientist sealed the samples.  ,The samples were sealed by the scientist.,seal
The teacher stapled the papers.,The papers were stapled by the teacher.,staple
A student stapled the assignment.,The assignment was stapled by a student.,staple
The assistant stapled the documents.,The documents were stapled by the assistant.,staple
The clerk stapled the receipts.,The receipts were stapled by the clerk.,staple
The manager stapled the reports.,The reports were stapled by the manager.,staple
An employee stapled the brochures.,The brochures were stapled by an employee.,staple
The librarian stapled the pages.,The pages were stapled by the librarian.,staple
The reporter stapled the articles.,The articles were stapled by the reporter.,staple
The volunteer stapled the flyers.,The flyers were stapled by the volunteer.,staple
The teacher tied the shoelaces.  ,The shoelaces were tied by the teacher.,tie
The gardener tied the vines.  ,The vines were tied by the gardener.,tie
The athlete tied the ribbon.  ,The ribbon was tied by the athlete.,tie
The child tied the belt.  ,The belt was tied by the child.,tie
The sailor tied the rope.  ,The rope was tied by the sailor.,tie
The artist tied the canvas.  ,The canvas was tied by the artist.,tie
The coach tied the swimmer's cap.  ,The swimmer's cap was tied by the coach.,tie
The mechanic tied the wires.  ,The wires were tied by the mechanic.,tie
The performer tied the scarf.  ,The scarf was tied by the performer.,tie
The child zipped the jacket.,The jacket was zipped by the child.,zip
The tailor zipped the dress.,The dress was zipped by the tailor.,zip
The traveler zipped the suitcase.,The suitcase was zipped by the traveler.,zip
A student zipped the backpack.,The backpack was zipped by a student.,zip
The mechanic zipped the cover.,The cover was zipped by the mechanic.,zip
