active,passive,verb,bad,exclude
The fireworks distracted the children.,The children were distracted by the fireworks.,distract,,
The smell distracted the chef.,The chef was distracted by the smell.,distract,,
The sudden movement distracted the dog.,The dog was distracted by the sudden movement.,distract,,
The teacher reassured the students.,The students were reassured by the teacher.,reassure,,
The friend reassured the worried parent.,The worried parent was reassured by the friend.,reassure,,
The manager reassured the team members.,The team members were reassured by the manager.,reassure,,
The doctor reassured the patient.,The patient was reassured by the doctor.,reassure,,
The coach reassured the players.,The players were reassured by the coach.,reassure,,
The parent reassured the child.,The child was reassured by the parent.,reassure,,
The counselor reassured the client.,The client was reassured by the counselor.,reassure,,
The leader reassured the community.,The community was reassured by the leader.,reassure,,
The partner reassured the spouse.,The spouse was reassured by the partner.,reassure,,
The expert reassured the audience.,The audience was reassured by the expert.,reassure,,
The killer strangled the victim.,The victim was strangled by the killer.,strangle,,
The snake strangled the rabbit.,The rabbit was strangled by the snake.,strangle,,
The hunter strangled the bird.,The bird was strangled by the hunter.,strangle,,
The criminal strangled his accomplice.,The accomplice was strangled by the criminal.,strangle,,
The rope strangled the tree branch.,The tree branch was strangled by the rope.,strangle,,
The assassin strangled the informant.,The informant was strangled by the assassin.,strangle,,
The wind strangled the sound of the music.,The sound of the music was strangled by the wind.,strangle,,
The vine strangled the old statue.,The old statue was strangled by the vine.,strangle,,
The anger strangled her words.,The words were strangled by the anger.,strangle,,
The fall hurt the child.  ,The child was hurt by the fall.,hurt,,
The storm hurt the crops.  ,The crops were hurt by the storm.,hurt,,
The criticism hurt the artist.  ,The artist was hurt by the criticism.,hurt,,
The accident hurt the driver.  ,The driver was hurt by the accident.,hurt,,
The news hurt the family.  ,The family was hurt by the news.,hurt,,
The icy road hurt the tires.  ,The tires were hurt by the icy road.,hurt,,
The heat hurt the plants.  ,The plants were hurt by the heat.,hurt,,
The villain murdered the hero.,The hero was murdered by the villain.,murder,,
The killer murdered the victim.,The victim was murdered by the killer.,murder,,
A man murdered a child.,A child was murdered by a man.,murder,,
The assassin murdered the spy.,The spy was murdered by the assassin.,murder,,
The knight murdered the thief.,The thief was murdered by the knight.,murder,,
The cat shadowed the bird.,The bird was shadowed by the cat.,shadow,,
The detective shadowed the suspect.,The suspect was shadowed by the detective.,shadow,,
The child shadowed his mother.,The mother was shadowed by the child.,shadow,,
The artist shadowed the model.,The model was shadowed by the artist.,shadow,,
The student shadowed the teacher.,The teacher was shadowed by the student.,shadow,,
The athlete shadowed the opponent.,The opponent was shadowed by the athlete.,shadow,,
The child annoyed the teacher.,The teacher was annoyed by the child.,annoy,,
The noise annoyed the neighbors.,The neighbors were annoyed by the noise.,annoy,,
The movie annoyed the audience.,The audience was annoyed by the movie.,annoy,,
The delay annoyed the passengers.,The passengers were annoyed by the delay.,annoy,,
The comment annoyed his friend.,The friend's comment was annoyed by him.,annoy,,
The weather annoyed the hikers.,The hikers were annoyed by the weather.,annoy,,
The quiz annoyed the students.,The students were annoyed by the quiz.,annoy,,
The decision annoyed the employees.,The employees were annoyed by the decision.,annoy,,
The traffic annoyed the drivers.,The drivers were annoyed by the traffic.,annoy,,
The artist puzzled together the pieces.,The pieces were puzzled together by the artist.,puzzle,,
The game puzzled the players.,The players were puzzled by the game.,puzzle,,
The puzzle puzzled the audience.,The audience was puzzled by the puzzle.,puzzle,,
The dog tailed the cat.,The cat was tailed by the dog.,tail,,
The bird tailed the airplane.,The airplane was tailed by the bird.,tail,,
The child tailed the mother.,Output: The mother was tailed by the child.,tail,,
The detective tailed the suspect.,The suspect was tailed by the detective.,tail,,
The car tailed the truck.,The truck was tailed by the car.,tail,,
The horse tailed the rider.,The rider was tailed by the horse.,tail,,
The runner tailed the leader.,The leader was tailed by the runner.,tail,,
The fish tailed the lure.,The lure was tailed by the fish.,tail,,
The fox tailed the rabbit.,The rabbit was tailed by the fox.,tail,,
The student tailed the teacher.,The teacher was tailed by the student.,tail,,
The hunter killed a deer.,The deer was killed by the hunter.,kill,,
The farmer killed the chicken.,The chicken was killed by the farmer.,kill,,
The cat killed a mouse.,The mouse was killed by the cat.,kill,,
The dog killed the rabbit.,The rabbit was killed by the dog.,kill,,
The soldier killed an enemy.,The enemy was killed by the soldier.,kill,,
The chef killed the fish.,The fish was killed by the chef.,kill,,
The child killed the spider.,The spider was killed by the child.,kill,,
The gardener killed the weeds.,The weeds were killed by the gardener.,kill,,
The detective killed the rumor.,The rumor was killed by the detective.,kill,,
The magician killed the illusion.,The illusion was killed by the magician.,kill,,
The dog chased the cat.,The cat was chased by the dog.,chase,,
The hunter chased the deer.,The deer was chased by the hunter.,chase,,
The kids chased the ball.,The ball was chased by the kids.,chase,,
A girl chased the butterfly.,The butterfly was chased by a girl.,chase,,
The police chased the robber.,The robber was chased by the police.,chase,,
The horse chased the rider.,The rider was chased by the horse.,chase,,
The cat chased the mouse.,The mouse was chased by the cat.,chase,,
The fox chased the rabbit.,The rabbit was chased by the fox.,chase,,
The coach chased the players.,The players were chased by the coach.,chase,,
The bird chased the insect.,The insect was chased by the bird.,chase,,
The fireworks dazzled the crowd.  ,The crowd was dazzled by the fireworks.,dazzle,,
The performance dazzled the audience.  ,The audience was dazzled by the performance.,dazzle,,
The sunlight dazzled the children.  ,The children were dazzled by the sunlight.,dazzle,,
The painting dazzled the art critics.  ,The art critics were dazzled by the painting.,dazzle,,
The diamond dazzled the onlookers.  ,The onlookers were dazzled by the diamond.,dazzle,,
The magician dazzled the spectators.  ,The spectators were dazzled by the magician.,dazzle,,
The display dazzled the shoppers.  ,The shoppers were dazzled by the display.,dazzle,,
The show dazzled the judges.  ,The judges were dazzled by the show.,dazzle,,
The clown entertained the children.,The children were entertained by the clown.,entertain,,
The magician entertained the audience.,The audience was entertained by the magician.,entertain,,
The comedian entertained the guests.,The guests were entertained by the comedian.,entertain,,
The teacher entertained the students.,The students were entertained by the teacher.,entertain,,
The band entertained the crowd.,The crowd was entertained by the band.,entertain,,
The actress entertained the viewers.,The viewers were entertained by the actress.,entertain,,
The juggler entertained the spectators.,The spectators were entertained by the juggler.,entertain,,
The storyteller entertained the group.,The group was entertained by the storyteller.,entertain,,
The musician entertained the fans.,The fans were entertained by the musician.,entertain,,
The dancer entertained the party.,The party was entertained by the dancer.,entertain,,
The teacher told a story.,The story was told by the teacher.,tell,,
The mother told a secret.,The secret was told by the mother.,tell,,
The detective told the truth.,The truth was told by the detective.,tell,,
The friend told a joke.,The joke was told by the friend.,tell,,
The father told a tale.,The tale was told by the father.,tell,,
The manager enraged the employees.  ,The employees were enraged by the manager.,enrage,,
The news article enraged the readers.  ,The readers were enraged by the news article.,enrage,,
The loud noise enraged the neighbors.  ,The neighbors were enraged by the loud noise.,enrage,,
The criticism enraged the artist.  ,The artist was enraged by the criticism.,enrage,,
The delay enraged the customers.  ,The customers were enraged by the delay.,enrage,,
The decision enraged the supporters.  ,The supporters were enraged by the decision.,enrage,,
The comment enraged the speaker.  ,The speaker was enraged by the comment.,enrage,,
The joke enraged the audience.  ,The audience was enraged by the joke.,enrage,,
The change enraged the fans.  ,The fans were enraged by the change.,enrage,,
The rumor enraged the community.  ,The community was enraged by the rumor.,enrage,,
The farmer fed the chickens.  ,The chickens were fed by the farmer.,feed,,
The mother fed the baby.  ,The baby was fed by the mother.,feed,,
The zookeeper fed the lions.  ,The lions were fed by the zookeeper.,feed,,
The volunteer fed the homeless people.  ,The homeless people were fed by the volunteer.,feed,,
The parent fed the ducks.  ,The ducks were fed by the parent.,feed,,
The friend fed the cat.  ,The cat was fed by the friend.,feed,,
The loud music irritated the neighbors.,The neighbors were irritated by the loud music.,irritate,,
The delay irritated the passengers.,The passengers were irritated by the delay.,irritate,,
The remark irritated the teacher.,The teacher was irritated by the remark.,irritate,,
The heat irritated the skin.,The skin was irritated by the heat.,irritate,,
The traffic jam irritated the driver.,The driver was irritated by the traffic jam.,irritate,,
The stain irritated the homeowner.,The homeowner was irritated by the stain.,irritate,,
The smell irritated the customer.,The customer was irritated by the smell.,irritate,,
The noise irritated the baby.,The baby was irritated by the noise.,irritate,,
The comment irritated the friend.,The friend was irritated by the comment.,irritate,,
The bad weather irritated the campers.,The campers were irritated by the bad weather.,irritate,,
The manager inspected the equipment.,The equipment was inspected by the manager.,inspect,,
A technician inspected the machinery.,The machinery was inspected by a technician.,inspect,,
The teacher inspected the students' assignments.,The students' assignments were inspected by the teacher.,inspect,,
The appraiser inspected the property.,The property was inspected by the appraiser.,inspect,,
The curator inspected the artwork.,The artwork was inspected by the curator.,inspect,,
The officer inspected the vehicle.,The vehicle was inspected by the officer.,inspect,,
A doctor inspected the patient's chart.,The patient's chart was inspected by a doctor.,inspect,,
The parent inspected the playground.,The playground was inspected by the parent.,inspect,,
The surveyor inspected the construction site.,The construction site was inspected by the surveyor.,inspect,,
The news depressed the community.,The community was depressed by the news.,depress,,
The movie depressed the audience.,The audience was depressed by the movie.,depress,,
The weather depressed the workers.,The workers were depressed by the weather.,depress,,
The report depressed the investors.,The investors were depressed by the report.,depress,,
The comments depressed the volunteers.,The volunteers were depressed by the comments.,depress,,
The results depressed the team.,The team was depressed by the results.,depress,,
The situation depressed the children.,The children were depressed by the situation.,depress,,
The song depressed the listeners.,The listeners were depressed by the song.,depress,,
The tragedy depressed the town.,The town was depressed by the tragedy.,depress,,
The conversation depressed the participants.,The participants were depressed by the conversation.,depress,,
The child tripped the runner.,The runner was tripped by the child.,trip,,
The dog tripped the walker.,The walker was tripped by the dog.,trip,,
The girl tripped her friend.,The friend was tripped by the girl.,trip,,
The clown tripped the audience.,The audience was tripped by the clown.,trip,,
The gust of wind tripped the cyclist.,The cyclist was tripped by the gust of wind.,trip,,
The player tripped the opponent.,The opponent was tripped by the player.,trip,,
The rope tripped the hiker.,The hiker was tripped by the rope.,trip,,
The cat tripped the unsuspecting human.,The unsuspecting human was tripped by the cat.,trip,,
The tree branch tripped the jogger.,The jogger was tripped by the tree branch.,trip,,
The obstacle tripped the skateboarder.,The skateboarder was tripped by the obstacle.,trip,,
The hiker trailed a group of birds.,The group of birds was trailed by the hiker.,trail,,
The investigator trailed a suspect.,The suspect was trailed by the investigator.,trail,,
The runner trailed the marathon leader.,The marathon leader was trailed by the runner.,trail,,
The detective trailed the suspect.,The suspect was trailed by the detective.,trail,,
The baby sucked its thumb.,The thumb was sucked by the baby.,suck,,
The vacuum sucked the dirt.,The dirt was sucked by the vacuum.,suck,,
The child sucked the candy.,The candy was sucked by the child.,suck,,
The toddler sucked the lollipop.,The lollipop was sucked by the toddler.,suck,,
The player sucked the energy drink.,The energy drink was sucked by the player.,suck,,
The dinner served eight guests.,The dinner was served to eight guests.,"serve (i.e., be enough food for)",,
The buffet served several options.,The buffet was served several options.,"serve (i.e., be enough food for)",,
The potluck served various dishes.,The various dishes were served by the potluck.,"serve (i.e., be enough food for)",,
The event served a large crowd.,The large crowd was served by the event.,"serve (i.e., be enough food for)",,
The food truck served hungry customers.,The hungry customers were served by the food truck.,"serve (i.e., be enough food for)",,
The dog tracked the scent.,The scent was tracked by the dog.,track,,
The scientist tracked the migration.,The migration was tracked by the scientist.,track,,
The hiker tracked the group.,The group was tracked by the hiker.,track,,
The detective tracked the suspect.,The suspect was tracked by the detective.,track,,
The biologist tracked the population.,The population was tracked by the biologist.,track,,
The researcher tracked the data.,The data was tracked by the researcher.,track,,
The park ranger tracked the wildlife.,The wildlife was tracked by the park ranger.,track,,
The photographer tracked the movement.,The movement was tracked by the photographer.,track,,
The teacher tracked the attendance.,The attendance was tracked by the teacher.,track,,
The chef popped the popcorn.  ,The popcorn was popped by the chef.,pop,,
The child popped the bubble.  ,The bubble was popped by the child.,pop,,
The performer popped the confetti.,The confetti was popped by the performer.,pop,,
The winners popped the champagne.  ,The champagne was popped by the winners.,pop,,
The mechanic popped the hood of the car.  ,The hood of the car was popped by the mechanic.,pop,,
The child teased the puppy.  ,The puppy was teased by the child.,tease,,
The students teased the teacher.  ,The teacher was teased by the students.,tease,,
The big brother teased his sister.  ,The sister was teased by the big brother.,tease,,
The friends teased each other.  ,The friends were teased by each other.,tease,,
The comedian teased the audience.  ,The audience was teased by the comedian.,tease,,
The players teased their coach.  ,The coach was teased by the players.,tease,,
The neighbor teased the cat.  ,The cat was teased by the neighbor.,tease,,
The girl teased the boy.  ,The boy was teased by the girl.,tease,,
The siblings teased their parents.  ,The parents were teased by the siblings.,tease,,
The group teased their leader.  ,The leader was teased by the group.,tease,,
The lawyer married his college sweetheart.  ,The college sweetheart was married by the lawyer.,marry,,
The princess married a handsome prince.  ,The handsome prince was married to by the princess.,marry,,
The woman married her childhood friend.  ,The childhood friend was married by the woman.,marry,,
The artist married an actress.  ,The actress was married by the artist.,marry,,
The scientist married a researcher.  ,A researcher was married by the scientist.,marry,,
The farmer married a woman from the city.  ,The woman from the city was married by the farmer.,marry,,
The historian married a fellow scholar.  ,The fellow scholar was married by the historian.,marry,,
The child bounced the ball.  ,The ball was bounced by the child.,bounce,,
The player bounced the basketball.  ,The basketball was bounced by the player.,bounce,,
The dog bounced the toy.  ,The toy was bounced by the dog.,bounce,,
The boy bounced the rubber duck.  ,The rubber duck was bounced by the boy.,bounce,,
The athlete bounced the medicine ball.  ,The medicine ball was bounced by the athlete.,bounce,,
The toddler bounced the beach ball.  ,The beach ball was bounced by the toddler.,bounce,,
The team bounced the volleyball.  ,The volleyball was bounced by the team.,bounce,,
The artist bounced the ball of yarn.  ,The ball of yarn was bounced by the artist.,bounce,,
The magician bounced the giant balloon.  ,The giant balloon was bounced by the magician.,bounce,,
The artist pleased the audience.  ,The audience was pleased by the artist.,please,,
The teacher pleased the students.  ,The students were pleased by the teacher.,please,,
The gift pleased the child.  ,The child was pleased by the gift.,please,,
The performance pleased the crowd.  ,The crowd was pleased by the performance.,please,,
The meal pleased the guests.  ,The guests were pleased by the meal.,please,,
The news pleased the family.  ,The family was pleased by the news.,please,,
The song pleased the listeners.  ,The listeners were pleased by the song.,please,,
The presentation pleased the committee.  ,The committee was pleased by the presentation.,please,,
The flowers pleased the gardener.  ,The gardener was pleased by the flowers.,please,,
The movie pleased the critics.  ,The critics were pleased by the movie.,please,,
The teacher advised the student.,The student was advised by the teacher.,advise,,
The coach advised the team.,The team was advised by the coach.,advise,,
A friend advised the traveler.,The traveler was advised by a friend.,advise,,
The doctor advised the patient.,The patient was advised by the doctor.,advise,,
The mentor advised the apprentice.,The apprentice was advised by the mentor.,advise,,
The parent advised the child.,The child was advised by the parent.,advise,,
The lawyer advised the client.,The client was advised by the lawyer.,advise,,
The manager advised the employee.,The employee was advised by the manager.,advise,,
The expert advised the committee.,The committee was advised by the expert.,advise,,
The professor advised the researcher.,The researcher was advised by the professor.,advise,,
The news angered the crowd.  ,The crowd was angered by the news.,anger,,
The manager angered the employee.  ,The employee was angered by the manager.,anger,,
The comment angered the teacher.  ,The teacher was angered by the comment.,anger,,
The delay angered the customers.  ,The customers were angered by the delay.,anger,,
The decision angered the committee.  ,The committee was angered by the decision.,anger,,
The feedback angered the author.  ,The author was angered by the feedback.,anger,,
The incident angered the neighbors.  ,The neighbors were angered by the incident.,anger,,
The joke angered the audience.  ,The audience was angered by the joke.,anger,,
The report angered the officials.  ,The officials were angered by the report.,anger,,
The protest angered the police.  ,The police were angered by the protest.,anger,,
The detective investigated the crime scene.,The crime scene was investigated by the detective.,investigate,,
A team investigated the suspicious activity.,The suspicious activity was investigated by a team.,investigate,,
The analyst investigated the data anomalies.,The data anomalies were investigated by the analyst.,investigate,,
The scientists investigated the unusual phenomenon.,The unusual phenomenon was investigated by the scientists.,investigate,,
The journalist investigated the corruption scandal.,The corruption scandal was investigated by the journalist.,investigate,,
The committee investigated the complaints.,The complaints were investigated by the committee.,investigate,,
The police investigated the missing persons case.,The missing persons case was investigated by the police.,investigate,,
An expert investigated the historical documents.,The historical documents were investigated by an expert.,investigate,,
The auditors investigated the financial records.,The financial records were investigated by the auditors.,investigate,,
The professor investigated the theoretical model.,The theoretical model was investigated by the professor.,investigate,,
Heavy rain drowned the crops.  ,The crops were drowned by heavy rain.,drown,,
A child drowned the kitten.  ,The kitten was drowned by a child.,drown,,
The flood drowned the village.  ,The village was drowned by the flood.,drown,,
A wave drowned the swimmer.  ,The swimmer was drowned by a wave.,drown,,
The tide drowned the lighthouse.  ,The lighthouse was drowned by the tide.,drown,,
The mother hugged her child.,The child was hugged by the mother.,hug,,
The friend hugged the dog.,The dog was hugged by the friend.,hug,,
The teacher hugged the student.,The student was hugged by the teacher.,hug,,
The girl hugged her teddy bear.,The teddy bear was hugged by the girl.,hug,,
The athlete hugged the coach.,The coach was hugged by the athlete.,hug,,
The sister hugged the brother.,The brother was hugged by the sister.,hug,,
The grandmother hugged the granddaughter.,The granddaughter was hugged by the grandmother.,hug,,
The actor hugged the fan.,The fan was hugged by the actor.,hug,,
The waiter hugged the chef.,The chef was hugged by the waiter.,hug,,
The neighbor hugged the homeowner.,The homeowner was hugged by the neighbor.,hug,,
The announcement surprised the crowd.,The crowd was surprised by the announcement.,surprise,,
The gift surprised the children.,The children were surprised by the gift.,surprise,,
The news surprised the employee.,The employee was surprised by the news.,surprise,,
The magic trick surprised the audience.,The audience was surprised by the magic trick.,surprise,,
The party surprised the guest.,The guest was surprised by the party.,surprise,,
The performance surprised the critics.,The critics were surprised by the performance.,surprise,,
The outcome surprised the team.,The team was surprised by the outcome.,surprise,,
The result surprised the teacher.,The teacher was surprised by the result.,surprise,,
The sudden change surprised everyone.,The sudden change was surprising to everyone.,surprise,,
The visit surprised the family.,The family was surprised by the visit.,surprise,,
The chef knifed the vegetables.  ,The vegetables were knifed by the chef.,knife,,
The butcher knifed the meat.  ,The meat was knifed by the butcher.,knife,,
The gardener knifed the weeds.  ,The weeds were knifed by the gardener.,knife,,
The team knifed the competition.  ,The competition was knifed by the team.,knife,,
The writer knifed the paper.  ,The paper was knifed by the writer.,knife,,
The cook knifed the onions.  ,The onions were knifed by the cook.,knife,,
The soldier knifed the enemy.  ,The enemy was knifed by the soldier.,knife,,
The child knifed the orange.  ,The orange was knifed by the child.,knife,,
The mechanic knifed the packaging.  ,The packaging was knifed by the mechanic.,knife,,
The cat fought the dog.,The dog was fought by the cat.,fight,,
The knight fought the dragon.,The dragon was fought by the knight.,fight,,
The children fought their fears.,The fears were fought by the children.,fight,,
The soldier fought the enemy.,The enemy was fought by the soldier.,fight,,
The boxer fought his opponent.,The opponent was fought by the boxer.,fight,,
The teams fought their rivals.,The rivals were fought by the teams.,fight,,
The rebels fought the government.,The government was fought by the rebels.,fight,,
The athletes fought each other.,The athletes were fought by each other.,fight,,
The warriors fought the invaders.,The invaders were fought by the warriors.,fight,,
The champions fought for victory.,The victory was fought for by the champions.,fight,,
The tailor dressed the mannequin.,The mannequin was dressed by the tailor.,dress,,
The mother dressed the child.,The child was dressed by the mother.,dress,,
The actress dressed the doll.,The doll was dressed by the actress.,dress,,
The designer dressed the models.,The models were dressed by the designer.,dress,,
The chef dressed the salad.,The salad was dressed by the chef.,dress,,
The artist dressed the canvas.,The canvas was dressed by the artist.,dress,,
The nurse dressed the wound.,The wound was dressed by the nurse.,dress,,
The costume designer dressed the performer.,The performer was dressed by the costume designer.,dress,,
The stylist dressed the celebrity.,The celebrity was dressed by the stylist.,dress,,
The mannequin was dressed by the assistant.,The assistant dressed the mannequin.,dress,,
The teacher recognized the student.,The student was recognized by the teacher.,recognize,,
A detective recognized the suspect.,The suspect was recognized by a detective.,recognize,,
The manager recognized the effort.,The effort was recognized by the manager.,recognize,,
The audience recognized the performer.,The performer was recognized by the audience.,recognize,,
The scientist recognized the pattern.,The pattern was recognized by the scientist.,recognize,,
The witness recognized the location.,The location was recognized by the witness.,recognize,,
The friend recognized an old photo.,The old photo was recognized by the friend.,recognize,,
The app recognized the voice.,The voice was recognized by the app.,recognize,,
The loud noise aggravated the situation.,The situation was aggravated by the loud noise.,aggravate,,
The delays aggravated the passengers' frustration.,The passengers' frustration was aggravated by the delays.,aggravate,,
The heat aggravated his condition.,The condition was aggravated by the heat.,aggravate,,
An insult aggravated her feelings.,The feelings were aggravated by an insult.,aggravate,,
The argument aggravated the tension in the room.,The tension in the room was aggravated by the argument.,aggravate,,
The comments aggravated the discussion.,The discussion was aggravated by the comments.,aggravate,,
Poor service aggravated the customers.,The customers were aggravated by poor service.,aggravate,,
The weather aggravated their plans.,The plans were aggravated by the weather.,aggravate,,
The traffic aggravated the commute.,The commute was aggravated by the traffic.,aggravate,,
The news aggravated the already anxious crowd.,The already anxious crowd was aggravated by the news.,aggravate,,
The teacher guided the students.,The students were guided by the teacher.,guide,,
A mentor guided the writer.,The writer was guided by a mentor.,guide,,
The tour guide guided the group.,The group was guided by the tour guide.,guide,,
The coach guided the team.,The team was guided by the coach.,guide,,
An expert guided the project.,The project was guided by an expert.,guide,,
The parent guided the child.,The child was guided by the parent.,guide,,
The documentary guided the audience.,The audience was guided by the documentary.,guide,,
The map guided the travelers.,The travelers were guided by the map.,guide,,
The instructor guided the class.,The class was guided by the instructor.,guide,,
The leader guided the initiative.,The initiative was guided by the leader.,guide,,
The woman divorced the man.,The man was divorced by the woman.,divorce,,
The researcher divorced the scientist.,The scientist was divorced by the researcher.,divorce,,
A chef divorced an artist.,An artist was divorced by a chef.,divorce,,
The man divorced the woman.,The woman was divorced by the man.,divorce,,
The husband divorced the wife.,The wife was divorced by the husband.,divorce,,
The child embraced the puppy.,The puppy was embraced by the child.,embrace,,
A woman embraced her friend.,Output: Her friend was embraced by a woman.,embrace,,
