active,passive,verb,bad,exclude,match,content_match,parse_match,Vtypefull,Vtype,VtypeNEW,Verb,Vno,Passivizable,Participle,CoreSet,CountTot,CountTrans,CountInt,CountPass,CountPeri,CountOther,A_cause_B_change,A_enable,A_doingsomething_B,A_responsible,A_physical_contact,B_state_change,B_responsible,A_deliberately_V_B,B_affected,B_adversely_affected,FACA,FACB,FACC
she kneaded the bread for an hour.,the bread was kneaded by her for an hour.,knead,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,knead,V076,Y,REG,N,158,,,0,,,7.3,7.0,7.7,7.4,8.1,7.1,3.2,7.8,7.1,4.9,0.81997,-0.60497,-0.52995
the lake froze solid.,the lake was frozen solid.,freeze,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,freeze,V078,Y,PART,N,1905,272.0,715.0,9,1.0,877.0,7.6,8.1,7.7,7.2,6.0,8.2,3.3,7.3,7.6,6.0,1.03298,-0.55175,0.1312
i froze the berries.,the berries were frozen by me.,freeze,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,freeze,V078,Y,PART,N,1905,272.0,715.0,9,1.0,877.0,7.6,8.1,7.7,7.2,6.0,8.2,3.3,7.3,7.6,6.0,1.03298,-0.55175,0.1312
she froze a cake.,the cake was frozen by her.,freeze,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,freeze,V078,Y,PART,N,1905,272.0,715.0,9,1.0,877.0,7.6,8.1,7.7,7.2,6.0,8.2,3.3,7.3,7.6,6.0,1.03298,-0.55175,0.1312
the audience chanted for an encore.,the encore was chanted for by the audience.,chant,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,chant,V081,Y,REG,N,480,,,0,,,4.6,5.3,6.3,7.4,1.5,3.1,3.1,7.6,4.2,2.9,-1.00828,0.49505,-1.34954
the monks chanted in unison.,the monks were chanted in unison.,chant,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,chant,V081,Y,REG,N,480,,,0,,,4.6,5.3,6.3,7.4,1.5,3.1,3.1,7.6,4.2,2.9,-1.00828,0.49505,-1.34954
the teacher hummed a lesson.,the lesson was hummed by the teacher.,hum,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,hum,V083,Y,REG,N,405,,,0,,,4.2,6.4,5.3,7.0,1.5,4.5,3.3,6.7,4.3,3.2,-0.9976,0.08599,-0.9133
the teacher asked a question.,the question was asked by the teacher.,ask,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,ask,V088,Y,REG,N,56621,,,247,,,4.3,6.6,6.6,7.4,1.7,3.5,3.8,8.4,5.3,3.1,-0.62773,1.40348,-0.95748
she asked her friend.,the friend was asked by her.,ask,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,ask,V088,Y,REG,N,56621,,,247,,,4.3,6.6,6.6,7.4,1.7,3.5,3.8,8.4,5.3,3.1,-0.62773,1.40348,-0.95748
the child asked for help.,the help was asked for by the child.,ask,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,ask,V088,Y,REG,N,56621,,,247,,,4.3,6.6,6.6,7.4,1.7,3.5,3.8,8.4,5.3,3.1,-0.62773,1.40348,-0.95748
he asked the audience a puzzle.,the puzzle was asked to the audience by him.,ask,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,ask,V088,Y,REG,N,56621,,,247,,,4.3,6.6,6.6,7.4,1.7,3.5,3.8,8.4,5.3,3.1,-0.62773,1.40348,-0.95748
they asked the waiter for recommendations.,the waiter was asked for recommendations by them.,ask,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,ask,V088,Y,REG,N,56621,,,247,,,4.3,6.6,6.6,7.4,1.7,3.5,3.8,8.4,5.3,3.1,-0.62773,1.40348,-0.95748
a neighbor's dog barked all night.,the dog was barked at by a neighbor all night.,bark,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bark,V093,Y,REG,N,747,,,0,,,5.1,6.3,5.0,7.1,1.9,5.0,4.0,5.6,4.2,5.0,-0.92361,-0.21823,0.1482
the guard dog barked loudly.,the guard dog was loudly barked at.,bark,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bark,V093,Y,REG,N,747,,,0,,,5.1,6.3,5.0,7.1,1.9,5.0,4.0,5.6,4.2,5.0,-0.92361,-0.21823,0.1482
the dog barked at a squirrel.,the squirrel was barked at by the dog.,bark,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bark,V093,Y,REG,N,747,,,0,,,5.1,6.3,5.0,7.1,1.9,5.0,4.0,5.6,4.2,5.0,-0.92361,-0.21823,0.1482
the dog barked during the thunderstorm.,the thunderstorm was barked at by the dog.,bark,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bark,V093,Y,REG,N,747,,,0,,,5.1,6.3,5.0,7.1,1.9,5.0,4.0,5.6,4.2,5.0,-0.92361,-0.21823,0.1482
the large dog barked fiercely.,the large dog was barked at fiercely.,bark,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,bark,V093,Y,REG,N,747,,,0,,,5.1,6.3,5.0,7.1,1.9,5.0,4.0,5.6,4.2,5.0,-0.92361,-0.21823,0.1482
the puppy growled softly in its sleep.,the puppy was growled at softly in its sleep.,growl,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,growl,V094,Y,REG,N,536,,,0,,,4.8,6.6,6.0,5.8,2.0,4.5,3.1,6.1,4.7,4.9,-0.84279,-0.83225,-0.02546
the crowd growled in frustration.,the frustration was growled at by the crowd.,growl,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,growl,V094,Y,REG,N,536,,,0,,,4.8,6.6,6.0,5.8,2.0,4.5,3.1,6.1,4.7,4.9,-0.84279,-0.83225,-0.02546
the crowd roared during the concert.,the concert was roared at by the crowd.,roar,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,roar,V097,Y,REG,N,949,,,0,,,5.0,6.3,6.2,6.8,1.4,4.8,2.5,6.3,5.1,4.8,-0.63293,-0.77058,-0.69787
the engine roared with power.,the engine was roared with power.,roar,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,roar,V097,Y,REG,N,949,,,0,,,5.0,6.3,6.2,6.8,1.4,4.8,2.5,6.3,5.1,4.8,-0.63293,-0.77058,-0.69787
the dragon roared with fury.,the dragon was roared at with fury.,roar,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,roar,V097,Y,REG,N,949,,,0,,,5.0,6.3,6.2,6.8,1.4,4.8,2.5,6.3,5.1,4.8,-0.63293,-0.77058,-0.69787
the audience roared with laughter.,the laughter was roared by the audience.,roar,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,roar,V097,Y,REG,N,949,,,0,,,5.0,6.3,6.2,6.8,1.4,4.8,2.5,6.3,5.1,4.8,-0.63293,-0.77058,-0.69787
the child screamed a loud noise.,the loud noise was screamed by the child.,scream,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,scream,V098,Y,REG,N,2619,,,0,,,6.1,7.4,6.0,7.2,1.7,3.6,3.4444,7.6,5.5,5.0,-0.34173,0.61445,-0.5673
the horror movie screamed terror.,the terror was screamed by the horror movie.,scream,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,scream,V098,Y,REG,N,2619,,,0,,,6.1,7.4,6.0,7.2,1.7,3.6,3.4444,7.6,5.5,5.0,-0.34173,0.61445,-0.5673
the dog screamed in pain.,the pain was screamed by the dog.,scream,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,scream,V098,Y,REG,N,2619,,,0,,,6.1,7.4,6.0,7.2,1.7,3.6,3.4444,7.6,5.5,5.0,-0.34173,0.61445,-0.5673
the athlete sucked air after the race.,the air was sucked by the athlete after the race.,suck,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,suck,V114,Y,REG,N,1455,,,0,,,7.3,7.5,7.3,7.1,8.5,6.7,3.6,7.3,6.4,4.9,0.638,-0.61455,-0.39341
the student consumed a large textbook.,the large textbook was consumed by the student.,consume,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,consume,V118,Y,REG,N,1864,,,51,,,7.1,7.2,8.3,7.6,7.5,8.0,3.9,7.7,7.2,5.3,0.95552,-0.06985,0.06753
the mother cooked a birthday cake.,the birthday cake was cooked by the mother.,cook,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,cook,V139,Y,REG,N,3488,859.0,829.0,9,0.0,1665.0,7.9,7.5,8.0,8.0,6.7,7.6,2.8,7.7,7.1,6.0,1.11172,-0.51441,-0.70819
someone cooked the rice.,output: the rice was cooked by someone.,cook,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,cook,V139,Y,REG,N,3488,859.0,829.0,9,0.0,1665.0,7.9,7.5,8.0,8.0,6.7,7.6,2.8,7.7,7.1,6.0,1.11172,-0.51441,-0.70819
she burned the toast.,the toast was burned by her.,burn,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,burn,V143,Y,IRR,N,4984,1303.0,1274.0,32,1.0,2054.0,8.5,8.1,8.5,7.5,7.5,7.9,2.8,8.4,8.5,8.6,1.70276,-0.61647,0.22084
he burned the photographs.,the photographs were burned by him.,burn,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,burn,V143,Y,IRR,N,4984,1303.0,1274.0,32,1.0,2054.0,8.5,8.1,8.5,7.5,7.5,7.9,2.8,8.4,8.5,8.6,1.70276,-0.61647,0.22084
the balloon popped suddenly.,the balloon was popped suddenly.,pop,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,pop,V145,Y,REG,N,1876,,,0,,,6.5,6.5,6.5,6.6,6.0,6.4,3.1,6.2,6.6,5.9,0.12662,-1.45607,0.23781
the tire popped unexpectedly.,the tire was popped unexpectedly.,pop,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,pop,V145,Y,REG,N,1876,,,0,,,6.5,6.5,6.5,6.6,6.0,6.4,3.1,6.2,6.6,5.9,0.12662,-1.45607,0.23781
the soda can popped open.,the soda can was popped open.,pop,x,,FALSE,FALSE,FALSE,Basic AP (non-reversible),Basic,(a) Agent-Patient,pop,V145,Y,REG,N,1876,,,0,,,6.5,6.5,6.5,6.6,6.0,6.4,3.1,6.2,6.6,5.9,0.12662,-1.45607,0.23781
