Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
"carry (i.e., hold a certain number of people)",V445,1a,(e) Non-Passivizable,500 tonnes was carried by the bridge,The bridge carried 500 tonnes,-30.142723083496094,-25.490901947021484,-4.651821136474609
"carry (i.e., hold a certain number of people)",V445,1b,(e) Non-Passivizable,500 tonnes was carried by the bridge,The bridge carried 500 tonnes,-30.142723083496094,-25.490901947021484,-4.651821136474609
seat,V450,2a,(e) Non-Passivizable,60 people were seated by the bus,The bus seated 60 people,-27.750274658203125,-22.220918655395508,-5.529356002807617
seat,V450,2b,(e) Non-Passivizable,60 people were seated by the bus,The bus seated 60 people,-27.750274658203125,-22.220918655395508,-5.529356002807617
weigh,V441,2a,(e) Non-Passivizable,7 pounds was weighed by the baby,The baby weighed 7 pounds,-29.8526668548584,-26.0671443939209,-3.7855224609375
weigh,V441,2b,(e) Non-Passivizable,7 pounds was weighed by the baby,The baby weighed 7 pounds,-29.8526668548584,-26.0671443939209,-3.7855224609375
register,V439,1a,(e) Non-Passivizable,80Kg was registered by the scales,The scales registered 80kg,-26.53179931640625,-24.589527130126953,-1.9422721862792969
register,V439,1b,(e) Non-Passivizable,80Kg was registered by the scales,The scales registered 80kg,-26.53179931640625,-24.589527130126953,-1.9422721862792969
be,V459,2a,(e) Non-Passivizable,A father was been by Bob,Bob was a father,-18.43585968017578,-30.820974349975586,12.385114669799805
be,V459,2b,(e) Non-Passivizable,A father was been by Bob,Bob was a father,-18.43585968017578,-30.820974349975586,12.385114669799805
be,V459,1a,(e) Non-Passivizable,A father was been by Homer,Homer was a father,-18.43585968017578,-30.820974349975586,12.385114669799805
lack,V456,2a,(e) Non-Passivizable,A garden was lacked by the cottate,The cottage lacked a garden,-26.110435485839844,-33.9514045715332,7.840969085693359
lack,V456,2b,(e) Non-Passivizable,A garden was lacked by the cottate,The cottage lacked a garden,-26.110435485839844,-33.9514045715332,7.840969085693359
"carry (i.e., hold a certain number of people)",V445,2a,(e) Non-Passivizable,A heavy fine was carried by the crime,The crime carried a heavy fine,-29.200471878051758,-31.58095359802246,2.380481719970703
"carry (i.e., hold a certain number of people)",V445,2b,(e) Non-Passivizable,A heavy fine was carried by the crime,The crime carried a heavy fine,-29.200471878051758,-31.58095359802246,2.380481719970703
be,V459,1b,(e) Non-Passivizable,A mother was been by Marge,Marge was a mother,-18.228490829467773,-30.98012351989746,12.751632690429688
weigh,V441,1a,(e) Non-Passivizable,A tonne was weighed by the horse,The horse weighed a tonne,-28.995254516601562,-31.581403732299805,2.586149215698242
weigh,V441,1b,(e) Non-Passivizable,A tonne was weighed by the horse,The horse weighed a tonne,-28.995254516601562,-31.581403732299805,2.586149215698242
"take (i.e., carry on for a certiain length of time)",V444,1a,(e) Non-Passivizable,An afternoon was taken by the lesson,The lesson took an afternoon,-24.98019790649414,-27.038536071777344,2.058338165283203
"take (i.e., carry on for a certiain length of time)",V444,1b,(e) Non-Passivizable,An afternoon was taken by the lesson,The lesson took an afternoon,-24.98019790649414,-27.038536071777344,2.058338165283203
last,V443,1a,(e) Non-Passivizable,An hour was lasted by the film,The film lasted an hour,-25.425474166870117,-30.43781089782715,5.012336730957031
last,V443,1b,(e) Non-Passivizable,An hour was lasted by the film,The film lasted an hour,-25.425474166870117,-30.43781089782715,5.012336730957031
"take (i.e., carry on for a certiain length of time)",V444,2a,(e) Non-Passivizable,An hour was taken by the meal,The meal took an hour,-23.305639266967773,-27.391016006469727,4.085376739501953
"take (i.e., carry on for a certiain length of time)",V444,2b,(e) Non-Passivizable,An hour was taken by the meal,The meal took an hour,-23.305639266967773,-27.391016006469727,4.085376739501953
spew,V470,2a,(e) Non-Passivizable,Ash was spewed by the volcano,The volcano spewed ash,-26.920269012451172,-26.4453182220459,-0.47495079040527344
spew,V470,2b,(e) Non-Passivizable,Ash was spewed by the volcano,The volcano spewed ash,-26.920269012451172,-26.4453182220459,-0.47495079040527344
gush,V465,1a,(e) Non-Passivizable,Blood was gushed by the wound,The wound gushed blood,-26.218061447143555,-28.26783561706543,2.049774169921875
gush,V465,1b,(e) Non-Passivizable,Blood was gushed by the wound,The wound gushed blood,-26.218061447143555,-28.26783561706543,2.049774169921875
stream,V474,1a,(e) Non-Passivizable,Blood was streamed by the cut,The cut streamed blood,-25.142847061157227,-26.2912654876709,1.1484184265136719
stream,V474,1b,(e) Non-Passivizable,Blood was streamed by the cut,The cut streamed blood,-25.142847061157227,-26.2912654876709,1.1484184265136719
sweat,V475,2a,(e) Non-Passivizable,Blood was sweated by the workman,The workman sweated blood,-26.945402145385742,-28.78522300720215,1.8398208618164062
sweat,V475,2b,(e) Non-Passivizable,Blood was sweated by the workman,The workman sweated blood,-26.945402145385742,-28.78522300720215,1.8398208618164062
abandon,V286,2b,(a) Agent-Patient,Wendy was abandonned by Bob,Bob abandonned Wendy,-23.283809661865234,-29.7276611328125,6.443851470947266
accept,V401,2b,(d) Other Passivizable,The present was accepted by Bob,Bob accepted the present,-19.756227493286133,-29.56700325012207,9.810775756835938
accompany,V296,2b,(a) Agent-Patient,Wendy was accompanied by Bob,Bob accompanied Wendy,-22.437740325927734,-23.369930267333984,0.93218994140625
admire,V346,2b,(c) Experiencer-Theme,Wendy was admired by Bob,Bob admired Wendy,-22.156875610351562,-27.1644287109375,5.0075531005859375
adore,V347,2a,(c) Experiencer-Theme,Wendy was adored by Bob,Bob adored Wendy,-22.456661224365234,-28.900514602661133,6.443853378295898
advise,V268,2b,(a) Agent-Patient,Wendy was advised by Bob,Bob advised Wendy,-21.868940353393555,-25.502601623535156,3.6336612701416016
aggravate,V302,2a,(b) Theme-Experiencer,Wendy was aggravated by Bob,Bob aggravated Wendy,-22.288822174072266,-27.113204956054688,4.824382781982422
agree with,V247,2a,(a) Agent-Patient,Wendy was agreed with by Bob,Bob agreed with Wendy,-22.659469604492188,-27.734224319458008,5.07475471496582
alter,V080,2b,(a) Agent-Patient,The plan was altered by Bob,Bob altered the plan,-19.285314559936523,-28.776233673095703,9.49091911315918
amaze,V303,2b,(b) Theme-Experiencer,Wendy was amazed by Bob,Bob amazed Wendy,-22.54262924194336,-25.503442764282227,2.960813522338867
amuse,V304,2a,(b) Theme-Experiencer,Wendy was amused by Bob,Bob amused Wendy,-22.34988021850586,-25.64507293701172,3.2951927185058594
anger,V305,2b,(b) Theme-Experiencer,Wendy was angered by Bob,Bob angered Wendy,-22.329730987548828,-24.88406753540039,2.5543365478515625
announce,V103,2a,(a) Agent-Patient,The date was announced by Bob,Bob announced the date,-19.874509811401367,-28.616209030151367,8.74169921875
annoy,V306,2a,(b) Theme-Experiencer,Wendy was annoyed by Bob,Bob annoyed Wendy,-22.17559242248535,-25.069934844970703,2.8943424224853516
appluad,V220,2a,(a) Agent-Patient,Wendy was appluaded by Bob,Bob appluaded Wendy,-23.283809661865234,-29.7276611328125,6.443851470947266
appreciate,V370,2b,(c) Experiencer-Theme,Wendy was appreciated by Bob,Bob appreciated Wendy,-22.10369873046875,-27.252513885498047,5.148815155029297
argue with,V248,2b,(a) Agent-Patient,Wendy was argued with by Bob,Bob argued with Wendy,-24.048892974853516,-29.945402145385742,5.896509170532227
arrange,V001,2b,(a) Agent-Patient,The display was arranged by Bob,Bob arranged the display,-21.05296516418457,-28.96934700012207,7.9163818359375
ask,V088,2b,(a) Agent-Patient,The question was asked by Bob,Bob asked the question,-18.868999481201172,-27.357934951782227,8.488935470581055
assassinate,V228,2a,(a) Agent-Patient,Wendy was assassinated by Bob,Bob assassinated Wendy,-22.482566833496094,-24.39959144592285,1.9170246124267578
assert,V412,2b,(d) Other Passivizable,The argument was asserted by Bob,Bob asserted the argument,-21.709314346313477,-31.960819244384766,10.251504898071289
astonish,V307,2b,(b) Theme-Experiencer,Wendy was astonished by Bob,Bob astonished Wendy,-22.511404037475586,-25.24452018737793,2.7331161499023438
eat,V156,2b,(a) Agent-Patient,Wendy was eaten by Bob,Bob ate Wendy,-21.862590789794922,-25.210521697998047,3.347930908203125
avoid,V223,2b,(a) Agent-Patient,Wendy was avoided by Bob,Bob avoided Wendy,-21.856916427612305,-25.73488998413086,3.8779735565185547
bake,V137,2b,(a) Agent-Patient,The bread was baked by Bob,Bob baked the bread,-23.160614013671875,-32.99988555908203,9.839271545410156
banish,V229,2a,(a) Agent-Patient,Wendy was banished by Bob,Bob banished Wendy,-22.44217872619629,-27.939109802246094,5.496931076049805
bark,V093,2a,(a) Agent-Patient,The reply was barked by Bob,Bob barked the reply,-22.436689376831055,-33.16816329956055,10.731473922729492
beat,V077,2a,(a) Agent-Patient,The batter was beaten by Bob,Bob beat the batter,-20.24662208557129,-30.10093879699707,9.854316711425781
begin,V147,2a,(a) Agent-Patient,The story was begun by Bob,Bob began the story,-19.047204971313477,-29.867780685424805,10.820575714111328
believe,V371,2b,(c) Experiencer-Theme,Wendy was believed by Bob,Bob believed Wendy,-21.778413772583008,-25.392820358276367,3.6144065856933594
bend,V135,2a,(a) Agent-Patient,The branch was bent by Bob,Bob bent the branch,-21.843812942504883,-31.79178237915039,9.947969436645508
bite,V198,2b,(a) Agent-Patient,Wendy was bitten by Bob,Bob bit Wendy,-21.880645751953125,-25.114398956298828,3.233753204345703
block,V043,2a,(a) Agent-Patient,The pipe was blocked by Bob,Bob blocked the pipe,-20.542633056640625,-29.3811092376709,8.838476181030273
boil,V138,2a,(a) Agent-Patient,The water was boiled by Bob,Bob boiled the water,-21.18335723876953,-30.984636306762695,9.801279067993164
borrow,V035,2b,(a) Agent-Patient,The game was borrowed by Bob,Bob borrowed the game,-19.7683162689209,-30.614212036132812,10.845895767211914
bother,V308,2b,(b) Theme-Experiencer,Wendy was bothered by Bob,Bob bothered Wendy,-22.28385353088379,-25.04123306274414,2.7573795318603516
buy,V033,2b,(a) Agent-Patient,The book was bought by Bob,Bob bought the book,-18.904293060302734,-28.030305862426758,9.126012802124023
bounce,V028,2b,(a) Agent-Patient,The football was bounced by Bob,Bob bounced the football,-22.475744247436523,-32.37270736694336,9.896963119506836
break,V125,2b,(a) Agent-Patient,The plate was broken by Bob,Bob broke the plate,-19.8133487701416,-30.421958923339844,10.608610153198242
bring,V029,2a,(a) Agent-Patient,The food was brought by Bob,Bob brought the food,-19.684017181396484,-27.734594345092773,8.050577163696289
build,V068,2a,(a) Agent-Patient,The castle was built by Bob,Bob built the castle,-19.392059326171875,-28.04997444152832,8.657915115356445
burn,V143,2b,(a) Agent-Patient,The toast was burnt by Bob,Bob burnt the toast,-22.794471740722656,-32.272647857666016,9.47817611694336
butter,V015,2a,(a) Agent-Patient,The toast was buttered by Bob,Bob buttered the toast,-24.525630950927734,-34.9397087097168,10.414077758789062
button,V049,2a,(a) Agent-Patient,The coat was buttoned by Bob,Bob buttoned the coat,-24.614620208740234,-33.93540573120117,9.320785522460938
call,V262,2b,(a) Agent-Patient,Wendy was called by Bob,Bob called Wendy,-20.859848022460938,-24.991966247558594,4.132118225097656
calm,V309,2a,(b) Theme-Experiencer,Wendy was calmed by Bob,Bob calmed Wendy,-22.70095443725586,-29.144805908203125,6.443851470947266
capture,V154,2a,(a) Agent-Patient,Wendy was captured by Bob,Bob captured Wendy,-21.616374969482422,-23.879444122314453,2.2630691528320312
carry,V179,2a,(a) Agent-Patient,Wendy was carried by Bob,Bob carried Wendy,-21.818023681640625,-24.584205627441406,2.7661819458007812
carve,V045,2a,(a) Agent-Patient,The wood was carved by Bob,Bob carved the wood,-22.17902183532715,-30.064495086669922,7.885473251342773
catch,V184,2a,(a) Agent-Patient,Wendy was caught by Bob,Bob caught Wendy,-21.63869285583496,-24.61200714111328,2.9733142852783203
chant,V081,2a,(a) Agent-Patient,The prayer was chanted by Bob,Bob chanted the prayer,-23.06752586364746,-31.707664489746094,8.640138626098633
chase,V289,2a,(a) Agent-Patient,Wendy was chased by Bob,Bob chased Wendy,-22.264053344726562,-27.199350357055664,4.935297012329102
chat to,V265,2b,(a) Agent-Patient,Wendy was chatted to by Bob,Bob chatted to Wendy,-25.011655807495117,-31.230632781982422,6.218976974487305
cheer up,V310,2b,(b) Theme-Experiencer,Wendy was cheered up by Bob,Bob cheered up Wendy,-26.262250900268555,-31.059253692626953,4.797002792358398
chew,V109,2a,(a) Agent-Patient,The gum was chewed by Bob,Bob chewed the gum,-24.364601135253906,-34.534915924072266,10.17031478881836
chip,V126,2a,(a) Agent-Patient,The bowl was chipped by Bob,Bob chipped the bowl,-22.42432403564453,-33.58674621582031,11.162422180175781
chop,V046,2b,(a) Agent-Patient,The onion was chopped by Bob,Bob chopped the onion,-22.553749084472656,-33.81283187866211,11.259082794189453
choose,V185,2b,(a) Agent-Patient,Wendy was chosen by Bob,Bob chose Wendy,-21.770511627197266,-24.56058120727539,2.790069580078125
claw,V199,2a,(a) Agent-Patient,Wendy was clawed by Bob,Bob clawed Wendy,-23.290185928344727,-29.734037399291992,6.443851470947266
clean,V173,2a,(a) Agent-Patient,Wendy was cleaned by Bob,Bob cleaned Wendy,-22.247047424316406,-27.534473419189453,5.287425994873047
clear,V020,2b,(a) Agent-Patient,The room was cleared by Bob,Bob cleared the room,-19.674724578857422,-28.199604034423828,8.524879455566406
coil,V011,2b,(a) Agent-Patient,The leash was coiled by Bob,Bob coiled the leash,-24.459840774536133,-32.74116516113281,8.28132438659668
comfort,V311,2b,(b) Theme-Experiencer,Wendy was comforted by Bob,Bob comforted Wendy,-22.480283737182617,-25.772663116455078,3.292379379272461
commence,V148,2b,(a) Agent-Patient,The argument was commenced by Bob,Bob commenced the argument,-22.559837341308594,-32.23306655883789,9.673229217529297
complete,V153,2b,(a) Agent-Patient,The race was completed by Bob,Bob completed the race,-19.722124099731445,-27.835317611694336,8.11319351196289
compliment,V233,2b,(a) Agent-Patient,Wendy was complimented by Bob,Bob complimented Wendy,-22.462390899658203,-26.99297332763672,4.530582427978516
compose,V073,2a,(a) Agent-Patient,The song was composed by Bob,Bob composed the song,-20.740962982177734,-28.214502334594727,7.473539352416992
confirm,V413,2a,(d) Other Passivizable,The allegation was confirmed by Bob,Bob confirmed the allegation,-20.327688217163086,-30.191083908081055,9.863395690917969
congratulate,V234,2a,(a) Agent-Patient,Wendy was congratulated by Bob,Bob congratulated Wendy,-22.47625732421875,-27.0712947845459,4.595037460327148
consume,V118,2a,(a) Agent-Patient,The snack was consumed by Bob,Bob consumed the snack,-22.622961044311523,-30.300031661987305,7.677070617675781
continue,V149,2a,(a) Agent-Patient,The conversation was continued by Bob,Bob continued the conversation,-19.475215911865234,-30.431053161621094,10.95583724975586
converse with,V266,2a,(a) Agent-Patient,Wendy was conversed with by Bob,Bob conversed with Wendy,-26.409698486328125,-32.78098678588867,6.371288299560547
cook,V139,2b,(a) Agent-Patient,The pizza was cooked by Bob,Bob cooked the pizza,-22.221824645996094,-30.657516479492188,8.435691833496094
cooperate with,V249,2a,(a) Agent-Patient,Wendy was cooperated with by Bob,Bob cooperated with Wendy,-23.773530960083008,-30.144821166992188,6.37129020690918
copy,V212,2b,(a) Agent-Patient,Wendy was copied by Bob,Bob copied Wendy,-22.115726470947266,-25.594995498657227,3.479269027709961
court,V253,2a,(a) Agent-Patient,Wendy was courted by Bob,Bob courted Wendy,-22.43889045715332,-26.992677688598633,4.5537872314453125
cover,V168,2a,(a) Agent-Patient,Wendy was covered by Bob,Bob covered Wendy,-21.739421844482422,-24.075054168701172,2.33563232421875
crack,V127,2b,(a) Agent-Patient,The mirror was cracked by Bob,Bob cracked the mirror,-19.6123104095459,-32.81395721435547,13.20164680480957
crease,V134,2b,(a) Agent-Patient,The T-shirt was creased by Bob,Bob creased the T-shirt,-26.536846160888672,-36.058929443359375,9.522083282470703
create,V410,2b,(d) Other Passivizable,The theory was created by Bob,Bob created the theory,-19.901132583618164,-27.061809539794922,7.160676956176758
criticize,V241,2b,(a) Agent-Patient,Wendy was criticized by Bob,Bob criticized Wendy,-21.881153106689453,-24.67475128173828,2.793598175048828
crush,V157,2a,(a) Agent-Patient,Wendy was crushed by Bob,Bob crushed Wendy,-22.03165054321289,-24.647586822509766,2.615936279296875
cuddle,V254,2b,(a) Agent-Patient,Wendy was cuddled by Bob,Bob cuddled Wendy,-23.283809661865234,-29.7276611328125,6.443851470947266
cut,V210,2b,(a) Agent-Patient,Wendy was cut by Bob,Bob cut Wendy,-21.46337127685547,-25.275577545166016,3.812206268310547
dangle,V004,2a,(a) Agent-Patient,The string was dangled by Bob,Bob dangled the string,-23.328702926635742,-33.4346809387207,10.105978012084961
date,V255,2a,(a) Agent-Patient,Wendy was dated by Bob,Bob dated Wendy,-21.822612762451172,-26.238313674926758,4.415700912475586
dazzle,V312,2a,(b) Theme-Experiencer,Wendy was dazzled by Bob,Bob dazzled Wendy,-22.865278244018555,-25.83193588256836,2.9666576385498047
decorate,V067,2b,(a) Agent-Patient,The hall was decorated by Bob,Bob decorated the hall,-21.726011276245117,-31.441858291625977,9.71584701538086
delete,V019,2a,(a) Agent-Patient,The file was deleted by Bob,Bob deleted the file,-20.872356414794922,-30.388456344604492,9.51609992980957
demolish,V120,2b,(a) Agent-Patient,The stadium was demolished by Bob,Bob demolished the stadium,-20.907310485839844,-29.5748291015625,8.667518615722656
demonstrate,V414,2b,(d) Other Passivizable,The reasoning was demonstrated by Bob,Bob demonstrated the reasoning,-21.279701232910156,-29.78290367126465,8.503202438354492
depress,V313,2b,(b) Theme-Experiencer,Wendy was depressed by Bob,Bob depressed Wendy,-21.911514282226562,-27.145360946655273,5.233846664428711
desert,V287,2a,(a) Agent-Patient,Wendy was deserted by Bob,Bob deserted Wendy,-22.258380889892578,-26.946617126464844,4.688236236572266
design,V074,2b,(a) Agent-Patient,The cover was designed by Bob,Bob designed the cover,-20.208742141723633,-28.286523818969727,8.077781677246094
despise,V383,2b,(c) Experiencer-Theme,Wendy was despised by Bob,Bob despised Wendy,-22.356281280517578,-25.58823013305664,3.2319488525390625
destroy,V121,2a,(a) Agent-Patient,The city was destroyed by Bob,Bob destroyed the city,-19.379806518554688,-27.566743850708008,8.18693733215332
detect,V394,2a,(c) Experiencer-Theme,The sound was detected by Bob,Bob detected the sound,-20.96540641784668,-29.205373764038086,8.239967346191406
detest,V384,2a,(c) Experiencer-Theme,Wendy was detested by Bob,Bob detested Wendy,-23.290185928344727,-29.734037399291992,6.443851470947266
devour,V119,2b,(a) Agent-Patient,The starter was devoured by Bob,Bob devoured the starter,-22.45755958557129,-31.496877670288086,9.039318084716797
direct,V082,2b,(a) Agent-Patient,The video was directed by Bob,Bob directed the video,-18.69569206237793,-27.134653091430664,8.438961029052734
disagree with,V250,2b,(a) Agent-Patient,Wendy was disagreed with by Bob,Bob disagreed with Wendy,-22.7910213470459,-29.162311553955078,6.37129020690918
discover,V354,2b,(c) Experiencer-Theme,Wendy was discovered by Bob,Bob discovered Wendy,-21.638999938964844,-23.959758758544922,2.320758819580078
disgust,V314,2b,(b) Theme-Experiencer,Wendy was disgusted by Bob,Bob disgusted Wendy,-22.38405990600586,-25.695892333984375,3.3118324279785156
dislike,V385,2b,(c) Experiencer-Theme,Wendy was disliked by Bob,Bob disliked Wendy,-22.53197479248047,-28.975826263427734,6.443851470947266
dispatch,V275,2b,(a) Agent-Patient,Wendy was dispatched by Bob,Bob dispatched Wendy,-22.452970504760742,-28.896820068359375,6.443849563598633
distract,V315,2a,(b) Theme-Experiencer,Wendy was distracted by Bob,Bob distracted Wendy,-22.181838989257812,-26.207149505615234,4.025310516357422
distrust,V386,2a,(c) Experiencer-Theme,Wendy was distrusted by Bob,Bob distrusted Wendy,-23.290185928344727,-29.734037399291992,6.443851470947266
disturb,V316,2b,(b) Theme-Experiencer,Wendy was disturbed by Bob,Bob disturbed Wendy,-22.173721313476562,-25.70405387878418,3.530332565307617
divide,V056,2b,(a) Agent-Patient,The pudding was divided by Bob,Bob divided the pudding,-21.52565574645996,-30.410886764526367,8.885231018066406
divorce,V232,2a,(a) Agent-Patient,Wendy was divorced by Bob,Bob divorced Wendy,-22.00238609313965,-27.41409683227539,5.411710739135742
dodge,V224,2a,(a) Agent-Patient,Wendy was dodged by Bob,Bob dodged Wendy,-22.553497314453125,-28.99734878540039,6.443851470947266
drag,V180,2b,(a) Agent-Patient,Wendy was dragged by Bob,Bob dragged Wendy,-22.032878875732422,-25.997711181640625,3.964832305908203
drink,V108,2a,(a) Agent-Patient,The tea was drunk by Bob,Bob drank the tea,-20.76106071472168,-31.695693969726562,10.934633255004883
dread,V387,2b,(c) Experiencer-Theme,Wendy was dreaded by Bob,Bob dreaded Wendy,-22.502138137817383,-28.94598960876465,6.443851470947266
dress,V273,2a,(a) Agent-Patient,Wendy was dressed by Bob,Bob dressed Wendy,-22.06543731689453,-26.152259826660156,4.086822509765625
draw,V063,2b,(a) Agent-Patient,The cat was drawn by Bob,Bob drew the cat,-20.411256790161133,-28.851221084594727,8.439964294433594
drop,V158,2a,(a) Agent-Patient,Wendy was dropped by Bob,Bob dropped Wendy,-21.539939880371094,-24.81551742553711,3.2755775451660156
drive,V030,2b,(a) Agent-Patient,The car was driven by Bob,Bob drove the car,-19.543689727783203,-26.683679580688477,7.139989852905273
drown,V281,2b,(a) Agent-Patient,Wendy was drowned by Bob,Bob drowned Wendy,-22.13965606689453,-28.583505630493164,6.443849563598633
dump,V005,2b,(a) Agent-Patient,The waste was dumped by Bob,Bob dumped the waste,-22.13883399963379,-30.331972122192383,8.193138122558594
earn,V034,2a,(a) Agent-Patient,The bonus was earned by Bob,Bob earned the bonus,-20.696510314941406,-29.84234046936035,9.145830154418945
eliminate,V276,2a,(a) Agent-Patient,Wendy was eliminated by Bob,Bob eliminated Wendy,-22.017656326293945,-25.574871063232422,3.5572147369384766
elude,V225,2b,(a) Agent-Patient,Wendy was eluded by Bob,Bob eluded Wendy,-22.445785522460938,-28.889636993408203,6.443851470947266
embarass,V317,2a,(b) Theme-Experiencer,Wendy was embarassed by Bob,Bob embarassed Wendy,-23.283809661865234,-29.7276611328125,6.443851470947266
embrace,V256,2a,(a) Agent-Patient,Wendy was embraced by Bob,Bob embraced Wendy,-21.977306365966797,-25.82240104675293,3.845094680786133
empty,V021,2a,(a) Agent-Patient,The glass was emptied by Bob,Bob emptied the glass,-20.729190826416016,-30.220706939697266,9.49151611328125
encourage,V318,2b,(b) Theme-Experiencer,Wendy was encouraged by Bob,Bob encouraged Wendy,-21.88351821899414,-25.00897979736328,3.1254615783691406
end,V150,2b,(a) Agent-Patient,The discussion was ended by Bob,Bob ended the discussion,-19.39750099182129,-31.281618118286133,11.884117126464844
enrage,V319,2a,(b) Theme-Experiencer,Wendy was enraged by Bob,Bob enraged Wendy,-22.311920166015625,-25.262697219848633,2.950777053833008
entertain,V320,2b,(b) Theme-Experiencer,Wendy was entertained by Bob,Bob entertained Wendy,-22.271320343017578,-26.929243087768555,4.657922744750977
envy,V388,2b,(c) Experiencer-Theme,Wendy was envied by Bob,Bob envied Wendy,-22.95059585571289,-27.810190200805664,4.859594345092773
escort,V297,2a,(a) Agent-Patient,Wendy was escorted by Bob,Bob escorted Wendy,-22.346155166625977,-25.501197814941406,3.1550426483154297
examine,V355,2a,(c) Experiencer-Theme,Wendy was examined by Bob,Bob examined Wendy,-21.857845306396484,-25.428499221801758,3.5706539154052734
excuse,V235,2b,(a) Agent-Patient,Wendy was excused by Bob,Bob excused Wendy,-22.811147689819336,-29.2549991607666,6.443851470947266
execute,V277,2b,(a) Agent-Patient,Wendy was executed by Bob,Bob executed Wendy,-21.899555206298828,-24.94854736328125,3.048992156982422
expel,V172,2b,(a) Agent-Patient,Wendy was expelled by Bob,Bob expelled Wendy,-22.122892379760742,-26.61684799194336,4.493955612182617
explain,V415,2a,(d) Other Passivizable,The problem was explained by Bob,Bob explained the problem,-19.659561157226562,-28.46337127685547,8.803810119628906
exterminate,V122,2b,(a) Agent-Patient,The spider was exterminated by Bob,Bob exterminated the spider,-24.480751037597656,-33.790679931640625,9.309928894042969
fascinate,V321,2a,(b) Theme-Experiencer,Wendy was fascinated by Bob,Bob fascinated Wendy,-22.846269607543945,-24.87403106689453,2.027761459350586
fear,V389,2a,(c) Experiencer-Theme,Wendy was feared by Bob,Bob feared Wendy,-21.92383575439453,-27.37041473388672,5.4465789794921875
feed,V271,2a,(a) Agent-Patient,Wendy was fed by Bob,Bob fed Wendy,-21.81219482421875,-26.827119827270508,5.014925003051758
feel,V396,2a,(c) Experiencer-Theme,The heat was felt by Bob,Bob felt the heat,-19.49459457397461,-29.90044593811035,10.405851364135742
fill,V013,2a,(a) Agent-Patient,The sink was filled by Bob,Bob filled the sink,-21.121217727661133,-29.920204162597656,8.798986434936523
film,V213,2a,(a) Agent-Patient,Wendy was filmed by Bob,Bob filmed Wendy,-21.948719024658203,-25.081523895263672,3.1328048706054688
finish,V151,2a,(a) Agent-Patient,The hamburger was finished by Bob,Bob finished the hamburger,-22.12930679321289,-31.040372848510742,8.911066055297852
