Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
weigh,V441,2a,(e) Non-Passivizable,7 pounds was weighed by the baby,The baby weighed 7 pounds,-29.324481964111328,-39.813499450683594,10.489017486572266
weigh,V441,2b,(e) Non-Passivizable,7 pounds was weighed by the baby,The baby weighed 7 pounds,-29.324481964111328,-39.813499450683594,10.489017486572266
register,V439,1a,(e) Non-Passivizable,80Kg was registered by the scales,The scales registered 80kg,-43.90996170043945,-48.4927978515625,4.582836151123047
register,V439,1b,(e) Non-Passivizable,80Kg was registered by the scales,The scales registered 80kg,-43.90996170043945,-48.4927978515625,4.582836151123047
be,V459,2a,(e) Non-Passivizable,A father was been by Bob,Bob was a father,-15.393013954162598,-42.380863189697266,26.987849235534668
be,V459,2b,(e) Non-Passivizable,A father was been by Bob,Bob was a father,-15.393013954162598,-42.380863189697266,26.987849235534668
be,V459,1a,(e) Non-Passivizable,A father was been by Homer,Homer was a father,-25.037736892700195,-43.48856735229492,18.450830459594727
lack,V456,2a,(e) Non-Passivizable,A garden was lacked by the cottate,The cottage lacked a garden,-38.70001220703125,-62.47840118408203,23.77838897705078
lack,V456,2b,(e) Non-Passivizable,A garden was lacked by the cottate,The cottage lacked a garden,-38.70001220703125,-62.47840118408203,23.77838897705078
"carry (i.e., hold a certain number of people)",V445,2a,(e) Non-Passivizable,A heavy fine was carried by the crime,The crime carried a heavy fine,-33.28111267089844,-44.90809631347656,11.626983642578125
"carry (i.e., hold a certain number of people)",V445,2b,(e) Non-Passivizable,A heavy fine was carried by the crime,The crime carried a heavy fine,-33.28111267089844,-44.90809631347656,11.626983642578125
be,V459,1b,(e) Non-Passivizable,A mother was been by Marge,Marge was a mother,-28.404552459716797,-45.444435119628906,17.03988265991211
weigh,V441,1a,(e) Non-Passivizable,A tonne was weighed by the horse,The horse weighed a tonne,-32.429649353027344,-43.80921173095703,11.379562377929688
weigh,V441,1b,(e) Non-Passivizable,A tonne was weighed by the horse,The horse weighed a tonne,-32.429649353027344,-43.80921173095703,11.379562377929688
"take (i.e., carry on for a certiain length of time)",V444,1a,(e) Non-Passivizable,An afternoon was taken by the lesson,The lesson took an afternoon,-28.03757095336914,-36.262943267822266,8.225372314453125
"take (i.e., carry on for a certiain length of time)",V444,1b,(e) Non-Passivizable,An afternoon was taken by the lesson,The lesson took an afternoon,-28.03757095336914,-36.262943267822266,8.225372314453125
last,V443,1a,(e) Non-Passivizable,An hour was lasted by the film,The film lasted an hour,-22.116230010986328,-38.727439880371094,16.611209869384766
last,V443,1b,(e) Non-Passivizable,An hour was lasted by the film,The film lasted an hour,-22.116222381591797,-38.72744369506836,16.611221313476562
"take (i.e., carry on for a certiain length of time)",V444,2a,(e) Non-Passivizable,An hour was taken by the meal,The meal took an hour,-25.43267059326172,-35.50086212158203,10.068191528320312
"take (i.e., carry on for a certiain length of time)",V444,2b,(e) Non-Passivizable,An hour was taken by the meal,The meal took an hour,-25.43267059326172,-35.50086212158203,10.068191528320312
spew,V470,2a,(e) Non-Passivizable,Ash was spewed by the volcano,The volcano spewed ash,-26.98029136657715,-35.92157745361328,8.941286087036133
spew,V470,2b,(e) Non-Passivizable,Ash was spewed by the volcano,The volcano spewed ash,-26.98029136657715,-35.92157745361328,8.941286087036133
gush,V465,1a,(e) Non-Passivizable,Blood was gushed by the wound,The wound gushed blood,-33.41981506347656,-34.56975173950195,1.1499366760253906
gush,V465,1b,(e) Non-Passivizable,Blood was gushed by the wound,The wound gushed blood,-33.41981506347656,-34.56975173950195,1.1499366760253906
stream,V474,1a,(e) Non-Passivizable,Blood was streamed by the cut,The cut streamed blood,-33.30265808105469,-32.53579330444336,-0.7668647766113281
stream,V474,1b,(e) Non-Passivizable,Blood was streamed by the cut,The cut streamed blood,-33.30265808105469,-32.53579330444336,-0.7668647766113281
sweat,V475,2a,(e) Non-Passivizable,Blood was sweated by the workman,The workman sweated blood,-38.91267013549805,-43.82133865356445,4.908668518066406
sweat,V475,2b,(e) Non-Passivizable,Blood was sweated by the workman,The workman sweated blood,-38.91267013549805,-43.82133865356445,4.908668518066406
abandon,V286,2b,(a) Agent-Patient,Wendy was abandonned by Bob,Bob abandonned Wendy,-40.046783447265625,-48.069923400878906,8.023139953613281
accept,V401,2b,(d) Other Passivizable,The present was accepted by Bob,Bob accepted the present,-21.44696807861328,-35.87251663208008,14.425548553466797
accompany,V296,2b,(a) Agent-Patient,Wendy was accompanied by Bob,Bob accompanied Wendy,-25.622867584228516,-31.186622619628906,5.563755035400391
admire,V346,2b,(c) Experiencer-Theme,Wendy was admired by Bob,Bob admired Wendy,-27.465002059936523,-39.35858154296875,11.893579483032227
adore,V347,2a,(c) Experiencer-Theme,Wendy was adored by Bob,Bob adored Wendy,-30.193674087524414,-36.188575744628906,5.994901657104492
advise,V268,2b,(a) Agent-Patient,Wendy was advised by Bob,Bob advised Wendy,-24.867324829101562,-32.397117614746094,7.529792785644531
aggravate,V302,2a,(b) Theme-Experiencer,Wendy was aggravated by Bob,Bob aggravated Wendy,-35.44935989379883,-39.216434478759766,3.7670745849609375
agree with,V247,2a,(a) Agent-Patient,Wendy was agreed with by Bob,Bob agreed with Wendy,-24.87339210510254,-41.814414978027344,16.941022872924805
alter,V080,2b,(a) Agent-Patient,The plan was altered by Bob,Bob altered the plan,-25.17886734008789,-29.11408233642578,3.9352149963378906
amaze,V303,2b,(b) Theme-Experiencer,Wendy was amazed by Bob,Bob amazed Wendy,-29.843908309936523,-34.31699752807617,4.473089218139648
amuse,V304,2a,(b) Theme-Experiencer,Wendy was amused by Bob,Bob amused Wendy,-30.579795837402344,-33.43402862548828,2.8542327880859375
anger,V305,2b,(b) Theme-Experiencer,Wendy was angered by Bob,Bob angered Wendy,-30.785968780517578,-32.66225051879883,1.87628173828125
announce,V103,2a,(a) Agent-Patient,The date was announced by Bob,Bob announced the date,-19.08883285522461,-24.956735610961914,5.867902755737305
annoy,V306,2a,(b) Theme-Experiencer,Wendy was annoyed by Bob,Bob annoyed Wendy,-29.74517822265625,-32.3856201171875,2.64044189453125
appluad,V220,2a,(a) Agent-Patient,Wendy was appluaded by Bob,Bob appluaded Wendy,-39.91180419921875,-43.133277893066406,3.2214736938476562
appreciate,V370,2b,(c) Experiencer-Theme,Wendy was appreciated by Bob,Bob appreciated Wendy,-30.068279266357422,-34.55516052246094,4.486881256103516
argue with,V248,2b,(a) Agent-Patient,Wendy was argued with by Bob,Bob argued with Wendy,-26.627225875854492,-39.54774475097656,12.92051887512207
arrange,V001,2b,(a) Agent-Patient,The display was arranged by Bob,Bob arranged the display,-24.829736709594727,-33.94437026977539,9.114633560180664
ask,V088,2b,(a) Agent-Patient,The question was asked by Bob,Bob asked the question,-17.078975677490234,-22.392250061035156,5.313274383544922
assassinate,V228,2a,(a) Agent-Patient,Wendy was assassinated by Bob,Bob assassinated Wendy,-28.620216369628906,-34.77574157714844,6.155525207519531
assert,V412,2b,(d) Other Passivizable,The argument was asserted by Bob,Bob asserted the argument,-26.08151626586914,-31.66221809387207,5.58070182800293
astonish,V307,2b,(b) Theme-Experiencer,Wendy was astonished by Bob,Bob astonished Wendy,-30.495193481445312,-36.07487487792969,5.579681396484375
eat,V156,2b,(a) Agent-Patient,Wendy was eaten by Bob,Bob ate Wendy,-27.266660690307617,-35.24254608154297,7.975885391235352
avoid,V223,2b,(a) Agent-Patient,Wendy was avoided by Bob,Bob avoided Wendy,-30.573810577392578,-36.726043701171875,6.152233123779297
bake,V137,2b,(a) Agent-Patient,The bread was baked by Bob,Bob baked the bread,-23.64749526977539,-35.97184371948242,12.324348449707031
banish,V229,2a,(a) Agent-Patient,Wendy was banished by Bob,Bob banished Wendy,-31.00830078125,-35.51380920410156,4.5055084228515625
bark,V093,2a,(a) Agent-Patient,The reply was barked by Bob,Bob barked the reply,-28.14244842529297,-45.684513092041016,17.542064666748047
beat,V077,2a,(a) Agent-Patient,The batter was beaten by Bob,Bob beat the batter,-22.75961685180664,-35.17977523803711,12.420158386230469
begin,V147,2a,(a) Agent-Patient,The story was begun by Bob,Bob began the story,-19.774757385253906,-33.360595703125,13.585838317871094
believe,V371,2b,(c) Experiencer-Theme,Wendy was believed by Bob,Bob believed Wendy,-25.4284725189209,-34.91397476196289,9.485502243041992
bend,V135,2a,(a) Agent-Patient,The branch was bent by Bob,Bob bent the branch,-26.695356369018555,-42.96589660644531,16.270540237426758
bite,V198,2b,(a) Agent-Patient,Wendy was bitten by Bob,Bob bit Wendy,-27.434146881103516,-35.80824279785156,8.374095916748047
block,V043,2a,(a) Agent-Patient,The pipe was blocked by Bob,Bob blocked the pipe,-20.305374145507812,-37.494903564453125,17.189529418945312
boil,V138,2a,(a) Agent-Patient,The water was boiled by Bob,Bob boiled the water,-23.560867309570312,-33.702171325683594,10.141304016113281
borrow,V035,2b,(a) Agent-Patient,The game was borrowed by Bob,Bob borrowed the game,-23.81576919555664,-31.138900756835938,7.323131561279297
bother,V308,2b,(b) Theme-Experiencer,Wendy was bothered by Bob,Bob bothered Wendy,-29.8614501953125,-34.113826751708984,4.252376556396484
buy,V033,2b,(a) Agent-Patient,The book was bought by Bob,Bob bought the book,-19.371082305908203,-26.979990005493164,7.608907699584961
bounce,V028,2b,(a) Agent-Patient,The football was bounced by Bob,Bob bounced the football,-31.155555725097656,-42.30633544921875,11.150779724121094
break,V125,2b,(a) Agent-Patient,The plate was broken by Bob,Bob broke the plate,-22.59030532836914,-34.19001007080078,11.59970474243164
bring,V029,2a,(a) Agent-Patient,The food was brought by Bob,Bob brought the food,-20.716064453125,-31.142210006713867,10.426145553588867
build,V068,2a,(a) Agent-Patient,The castle was built by Bob,Bob built the castle,-25.509552001953125,-31.322790145874023,5.813238143920898
burn,V143,2b,(a) Agent-Patient,The toast was burnt by Bob,Bob burnt the toast,-31.50238800048828,-37.845001220703125,6.342613220214844
butter,V015,2a,(a) Agent-Patient,The toast was buttered by Bob,Bob buttered the toast,-31.808204650878906,-47.26148223876953,15.453277587890625
button,V049,2a,(a) Agent-Patient,The coat was buttoned by Bob,Bob buttoned the coat,-27.323867797851562,-46.652099609375,19.328231811523438
call,V262,2b,(a) Agent-Patient,Wendy was called by Bob,Bob called Wendy,-20.175762176513672,-30.824424743652344,10.648662567138672
calm,V309,2a,(b) Theme-Experiencer,Wendy was calmed by Bob,Bob calmed Wendy,-35.80063247680664,-39.75042724609375,3.9497947692871094
capture,V154,2a,(a) Agent-Patient,Wendy was captured by Bob,Bob captured Wendy,-27.471302032470703,-30.22333526611328,2.752033233642578
carry,V179,2a,(a) Agent-Patient,Wendy was carried by Bob,Bob carried Wendy,-28.82514190673828,-33.168067932128906,4.342926025390625
carve,V045,2a,(a) Agent-Patient,The wood was carved by Bob,Bob carved the wood,-26.595848083496094,-33.52056884765625,6.924720764160156
catch,V184,2a,(a) Agent-Patient,Wendy was caught by Bob,Bob caught Wendy,-27.209030151367188,-31.250961303710938,4.04193115234375
chant,V081,2a,(a) Agent-Patient,The prayer was chanted by Bob,Bob chanted the prayer,-27.001117706298828,-36.38475799560547,9.38364028930664
chase,V289,2a,(a) Agent-Patient,Wendy was chased by Bob,Bob chased Wendy,-27.07478141784668,-32.46011734008789,5.385335922241211
chat to,V265,2b,(a) Agent-Patient,Wendy was chatted to by Bob,Bob chatted to Wendy,-31.712682723999023,-44.737335205078125,13.024652481079102
cheer up,V310,2b,(b) Theme-Experiencer,Wendy was cheered up by Bob,Bob cheered up Wendy,-32.637962341308594,-40.4487419128418,7.810779571533203
chew,V109,2a,(a) Agent-Patient,The gum was chewed by Bob,Bob chewed the gum,-26.607627868652344,-40.59991455078125,13.992286682128906
chip,V126,2a,(a) Agent-Patient,The bowl was chipped by Bob,Bob chipped the bowl,-29.983488082885742,-42.369781494140625,12.386293411254883
chop,V046,2b,(a) Agent-Patient,The onion was chopped by Bob,Bob chopped the onion,-20.62457275390625,-42.5130615234375,21.88848876953125
choose,V185,2b,(a) Agent-Patient,Wendy was chosen by Bob,Bob chose Wendy,-29.524641036987305,-30.66114616394043,1.136505126953125
claw,V199,2a,(a) Agent-Patient,Wendy was clawed by Bob,Bob clawed Wendy,-34.20410919189453,-40.04962921142578,5.84552001953125
clean,V173,2a,(a) Agent-Patient,Wendy was cleaned by Bob,Bob cleaned Wendy,-32.379783630371094,-36.6971435546875,4.317359924316406
clear,V020,2b,(a) Agent-Patient,The room was cleared by Bob,Bob cleared the room,-18.93250274658203,-32.63153839111328,13.69903564453125
coil,V011,2b,(a) Agent-Patient,The leash was coiled by Bob,Bob coiled the leash,-31.031002044677734,-47.19935989379883,16.168357849121094
comfort,V311,2b,(b) Theme-Experiencer,Wendy was comforted by Bob,Bob comforted Wendy,-30.83648109436035,-36.23991012573242,5.40342903137207
commence,V148,2b,(a) Agent-Patient,The argument was commenced by Bob,Bob commenced the argument,-26.378313064575195,-36.326087951660156,9.947774887084961
complete,V153,2b,(a) Agent-Patient,The race was completed by Bob,Bob completed the race,-20.200361251831055,-28.755029678344727,8.554668426513672
compliment,V233,2b,(a) Agent-Patient,Wendy was complimented by Bob,Bob complimented Wendy,-29.51435089111328,-35.21271514892578,5.6983642578125
compose,V073,2a,(a) Agent-Patient,The song was composed by Bob,Bob composed the song,-25.88037109375,-26.215938568115234,0.3355674743652344
confirm,V413,2a,(d) Other Passivizable,The allegation was confirmed by Bob,Bob confirmed the allegation,-21.0789794921875,-30.753562927246094,9.674583435058594
congratulate,V234,2a,(a) Agent-Patient,Wendy was congratulated by Bob,Bob congratulated Wendy,-32.88179016113281,-37.4173698425293,4.535579681396484
consume,V118,2a,(a) Agent-Patient,The snack was consumed by Bob,Bob consumed the snack,-25.698631286621094,-39.67062759399414,13.971996307373047
continue,V149,2a,(a) Agent-Patient,The conversation was continued by Bob,Bob continued the conversation,-20.90445327758789,-29.82730484008789,8.9228515625
converse with,V266,2a,(a) Agent-Patient,Wendy was conversed with by Bob,Bob conversed with Wendy,-35.70241165161133,-53.282073974609375,17.579662322998047
cook,V139,2b,(a) Agent-Patient,The pizza was cooked by Bob,Bob cooked the pizza,-24.530200958251953,-35.92536163330078,11.395160675048828
cooperate with,V249,2a,(a) Agent-Patient,Wendy was cooperated with by Bob,Bob cooperated with Wendy,-28.72633934020996,-42.960052490234375,14.233713150024414
copy,V212,2b,(a) Agent-Patient,Wendy was copied by Bob,Bob copied Wendy,-28.696517944335938,-32.31842041015625,3.6219024658203125
court,V253,2a,(a) Agent-Patient,Wendy was courted by Bob,Bob courted Wendy,-30.038284301757812,-35.43031692504883,5.392032623291016
cover,V168,2a,(a) Agent-Patient,Wendy was covered by Bob,Bob covered Wendy,-27.072479248046875,-34.586692810058594,7.514213562011719
crack,V127,2b,(a) Agent-Patient,The mirror was cracked by Bob,Bob cracked the mirror,-24.49263572692871,-38.16581344604492,13.673177719116211
crease,V134,2b,(a) Agent-Patient,The T-shirt was creased by Bob,Bob creased the T-shirt,-38.24403381347656,-45.297767639160156,7.053733825683594
create,V410,2b,(d) Other Passivizable,The theory was created by Bob,Bob created the theory,-21.96221351623535,-26.355243682861328,4.393030166625977
criticize,V241,2b,(a) Agent-Patient,Wendy was criticized by Bob,Bob criticized Wendy,-26.456159591674805,-32.94601821899414,6.489858627319336
crush,V157,2a,(a) Agent-Patient,Wendy was crushed by Bob,Bob crushed Wendy,-29.24957275390625,-32.75961685180664,3.5100440979003906
cuddle,V254,2b,(a) Agent-Patient,Wendy was cuddled by Bob,Bob cuddled Wendy,-34.824913024902344,-42.93059539794922,8.105682373046875
cut,V210,2b,(a) Agent-Patient,Wendy was cut by Bob,Bob cut Wendy,-27.453697204589844,-33.6490592956543,6.195362091064453
dangle,V004,2a,(a) Agent-Patient,The string was dangled by Bob,Bob dangled the string,-26.736003875732422,-43.215782165527344,16.479778289794922
date,V255,2a,(a) Agent-Patient,Wendy was dated by Bob,Bob dated Wendy,-25.976613998413086,-37.649322509765625,11.672708511352539
dazzle,V312,2a,(b) Theme-Experiencer,Wendy was dazzled by Bob,Bob dazzled Wendy,-33.68678283691406,-40.27867126464844,6.591888427734375
decorate,V067,2b,(a) Agent-Patient,The hall was decorated by Bob,Bob decorated the hall,-22.85204315185547,-32.93424987792969,10.082206726074219
delete,V019,2a,(a) Agent-Patient,The file was deleted by Bob,Bob deleted the file,-22.504924774169922,-29.311220169067383,6.806295394897461
demolish,V120,2b,(a) Agent-Patient,The stadium was demolished by Bob,Bob demolished the stadium,-26.80069351196289,-36.088096618652344,9.287403106689453
demonstrate,V414,2b,(d) Other Passivizable,The reasoning was demonstrated by Bob,Bob demonstrated the reasoning,-26.890995025634766,-35.81816482543945,8.927169799804688
depress,V313,2b,(b) Theme-Experiencer,Wendy was depressed by Bob,Bob depressed Wendy,-30.468067169189453,-38.60086441040039,8.132797241210938
desert,V287,2a,(a) Agent-Patient,Wendy was deserted by Bob,Bob deserted Wendy,-30.894664764404297,-38.648719787597656,7.754055023193359
design,V074,2b,(a) Agent-Patient,The cover was designed by Bob,Bob designed the cover,-23.296810150146484,-28.45379638671875,5.156986236572266
despise,V383,2b,(c) Experiencer-Theme,Wendy was despised by Bob,Bob despised Wendy,-30.465862274169922,-41.78089904785156,11.31503677368164
destroy,V121,2a,(a) Agent-Patient,The city was destroyed by Bob,Bob destroyed the city,-18.54092788696289,-28.346609115600586,9.805681228637695
detect,V394,2a,(c) Experiencer-Theme,The sound was detected by Bob,Bob detected the sound,-21.64082145690918,-34.355308532714844,12.714487075805664
detest,V384,2a,(c) Experiencer-Theme,Wendy was detested by Bob,Bob detested Wendy,-32.810909271240234,-43.56855010986328,10.757640838623047
devour,V119,2b,(a) Agent-Patient,The starter was devoured by Bob,Bob devoured the starter,-30.962678909301758,-42.06635284423828,11.103673934936523
direct,V082,2b,(a) Agent-Patient,The video was directed by Bob,Bob directed the video,-23.273386001586914,-27.35034942626953,4.076963424682617
disagree with,V250,2b,(a) Agent-Patient,Wendy was disagreed with by Bob,Bob disagreed with Wendy,-28.685028076171875,-44.937076568603516,16.25204849243164
discover,V354,2b,(c) Experiencer-Theme,Wendy was discovered by Bob,Bob discovered Wendy,-23.479686737060547,-31.015029907226562,7.535343170166016
disgust,V314,2b,(b) Theme-Experiencer,Wendy was disgusted by Bob,Bob disgusted Wendy,-32.46524429321289,-35.167579650878906,2.7023353576660156
dislike,V385,2b,(c) Experiencer-Theme,Wendy was disliked by Bob,Bob disliked Wendy,-30.208906173706055,-38.46990966796875,8.261003494262695
dispatch,V275,2b,(a) Agent-Patient,Wendy was dispatched by Bob,Bob dispatched Wendy,-29.335311889648438,-33.57970428466797,4.244392395019531
distract,V315,2a,(b) Theme-Experiencer,Wendy was distracted by Bob,Bob distracted Wendy,-29.397676467895508,-33.702659606933594,4.304983139038086
distrust,V386,2a,(c) Experiencer-Theme,Wendy was distrusted by Bob,Bob distrusted Wendy,-33.490745544433594,-44.41411590576172,10.923370361328125
disturb,V316,2b,(b) Theme-Experiencer,Wendy was disturbed by Bob,Bob disturbed Wendy,-30.489604949951172,-34.42540740966797,3.935802459716797
divide,V056,2b,(a) Agent-Patient,The pudding was divided by Bob,Bob divided the pudding,-29.067764282226562,-40.23252487182617,11.16476058959961
divorce,V232,2a,(a) Agent-Patient,Wendy was divorced by Bob,Bob divorced Wendy,-27.612321853637695,-38.012176513671875,10.39985466003418
dodge,V224,2a,(a) Agent-Patient,Wendy was dodged by Bob,Bob dodged Wendy,-35.28853988647461,-41.02740478515625,5.738864898681641
drag,V180,2b,(a) Agent-Patient,Wendy was dragged by Bob,Bob dragged Wendy,-30.201644897460938,-35.33905029296875,5.1374053955078125
drink,V108,2a,(a) Agent-Patient,The tea was drunk by Bob,Bob drank the tea,-22.190534591674805,-36.86869812011719,14.678163528442383
dread,V387,2b,(c) Experiencer-Theme,Wendy was dreaded by Bob,Bob dreaded Wendy,-31.082683563232422,-39.57110595703125,8.488422393798828
dress,V273,2a,(a) Agent-Patient,Wendy was dressed by Bob,Bob dressed Wendy,-28.41533851623535,-36.67580032348633,8.260461807250977
draw,V063,2b,(a) Agent-Patient,The cat was drawn by Bob,Bob drew the cat,-22.750686645507812,-31.78921127319336,9.038524627685547
drop,V158,2a,(a) Agent-Patient,Wendy was dropped by Bob,Bob dropped Wendy,-26.01690673828125,-31.254676818847656,5.237770080566406
drive,V030,2b,(a) Agent-Patient,The car was driven by Bob,Bob drove the car,-18.111902236938477,-26.929332733154297,8.81743049621582
drown,V281,2b,(a) Agent-Patient,Wendy was drowned by Bob,Bob drowned Wendy,-29.54199981689453,-37.7256965637207,8.183696746826172
dump,V005,2b,(a) Agent-Patient,The waste was dumped by Bob,Bob dumped the waste,-20.829700469970703,-31.636232376098633,10.80653190612793
earn,V034,2a,(a) Agent-Patient,The bonus was earned by Bob,Bob earned the bonus,-22.474132537841797,-33.00627899169922,10.532146453857422
eliminate,V276,2a,(a) Agent-Patient,Wendy was eliminated by Bob,Bob eliminated Wendy,-28.709035873413086,-35.38348388671875,6.674448013305664
elude,V225,2b,(a) Agent-Patient,Wendy was eluded by Bob,Bob eluded Wendy,-31.562246322631836,-40.89768981933594,9.335443496704102
embarass,V317,2a,(b) Theme-Experiencer,Wendy was embarassed by Bob,Bob embarassed Wendy,-36.19227600097656,-43.595985412597656,7.403709411621094
embrace,V256,2a,(a) Agent-Patient,Wendy was embraced by Bob,Bob embraced Wendy,-28.2487850189209,-36.41133117675781,8.162546157836914
empty,V021,2a,(a) Agent-Patient,The glass was emptied by Bob,Bob emptied the glass,-22.29732894897461,-38.864898681640625,16.567569732666016
encourage,V318,2b,(b) Theme-Experiencer,Wendy was encouraged by Bob,Bob encouraged Wendy,-27.450111389160156,-32.3262939453125,4.876182556152344
end,V150,2b,(a) Agent-Patient,The discussion was ended by Bob,Bob ended the discussion,-19.42873191833496,-30.05545425415039,10.62672233581543
enrage,V319,2a,(b) Theme-Experiencer,Wendy was enraged by Bob,Bob enraged Wendy,-31.126583099365234,-34.74742126464844,3.620838165283203
entertain,V320,2b,(b) Theme-Experiencer,Wendy was entertained by Bob,Bob entertained Wendy,-30.771949768066406,-35.69915771484375,4.927207946777344
envy,V388,2b,(c) Experiencer-Theme,Wendy was envied by Bob,Bob envied Wendy,-32.11866760253906,-42.935699462890625,10.817031860351562
escort,V297,2a,(a) Agent-Patient,Wendy was escorted by Bob,Bob escorted Wendy,-31.558271408081055,-33.28862380981445,1.7303524017333984
examine,V355,2a,(c) Experiencer-Theme,Wendy was examined by Bob,Bob examined Wendy,-26.73992919921875,-33.21638107299805,6.476451873779297
excuse,V235,2b,(a) Agent-Patient,Wendy was excused by Bob,Bob excused Wendy,-32.3682746887207,-38.56098937988281,6.192714691162109
execute,V277,2b,(a) Agent-Patient,Wendy was executed by Bob,Bob executed Wendy,-29.266441345214844,-33.09710693359375,3.8306655883789062
expel,V172,2b,(a) Agent-Patient,Wendy was expelled by Bob,Bob expelled Wendy,-30.569364547729492,-36.83721160888672,6.267847061157227
explain,V415,2a,(d) Other Passivizable,The problem was explained by Bob,Bob explained the problem,-20.0333251953125,-25.0665283203125,5.033203125
exterminate,V122,2b,(a) Agent-Patient,The spider was exterminated by Bob,Bob exterminated the spider,-29.56621551513672,-42.586341857910156,13.020126342773438
fascinate,V321,2a,(b) Theme-Experiencer,Wendy was fascinated by Bob,Bob fascinated Wendy,-30.993927001953125,-32.2835693359375,1.289642333984375
fear,V389,2a,(c) Experiencer-Theme,Wendy was feared by Bob,Bob feared Wendy,-28.89221954345703,-37.17209243774414,8.27987289428711
feed,V271,2a,(a) Agent-Patient,Wendy was fed by Bob,Bob fed Wendy,-27.226055145263672,-35.08434295654297,7.858287811279297
feel,V396,2a,(c) Experiencer-Theme,The heat was felt by Bob,Bob felt the heat,-23.251163482666016,-33.93918228149414,10.688018798828125
fill,V013,2a,(a) Agent-Patient,The sink was filled by Bob,Bob filled the sink,-21.827808380126953,-36.793941497802734,14.966133117675781
film,V213,2a,(a) Agent-Patient,Wendy was filmed by Bob,Bob filmed Wendy,-28.441499710083008,-33.36911392211914,4.927614212036133
finish,V151,2a,(a) Agent-Patient,The hamburger was finished by Bob,Bob finished the hamburger,-30.03297233581543,-38.890602111816406,8.857629776000977
