Verb,Vno,Set,VtypeNEW,passive,active,active_score,passive_score,pass_drop
assert,V412,2b,(d) Other Passivizable,The argument was asserted by Bob,Bob asserted the argument,-22.05360984802246,-31.890457153320312,9.836847305297852
astonish,V307,2b,(b) Theme-Experiencer,Wendy was astonished by Bob,Bob astonished Wendy,-22.44539451599121,-25.546493530273438,3.1010990142822266
eat,V156,2b,(a) Agent-Patient,Wendy was eaten by Bob,Bob ate Wendy,-21.826095581054688,-25.00576400756836,3.179668426513672
avoid,V223,2b,(a) Agent-Patient,Wendy was avoided by Bob,Bob avoided Wendy,-21.768150329589844,-25.584260940551758,3.816110610961914
bake,V137,2b,(a) Agent-Patient,The bread was baked by Bob,Bob baked the bread,-22.887428283691406,-32.66981506347656,9.782386779785156
banish,V229,2a,(a) Agent-Patient,Wendy was banished by Bob,Bob banished Wendy,-22.40180015563965,-27.68887710571289,5.287076950073242
bark,V093,2a,(a) Agent-Patient,The reply was barked by Bob,Bob barked the reply,-22.157155990600586,-33.141876220703125,10.984720230102539
beat,V077,2a,(a) Agent-Patient,The batter was beaten by Bob,Bob beat the batter,-20.70771026611328,-29.725255966186523,9.017545700073242
begin,V147,2a,(a) Agent-Patient,The story was begun by Bob,Bob began the story,-18.712888717651367,-29.8179931640625,11.105104446411133
believe,V371,2b,(c) Experiencer-Theme,Wendy was believed by Bob,Bob believed Wendy,-21.565998077392578,-25.20634651184082,3.640348434448242
bend,V135,2a,(a) Agent-Patient,The branch was bent by Bob,Bob bent the branch,-21.591445922851562,-31.64320182800293,10.051755905151367
bite,V198,2b,(a) Agent-Patient,Wendy was bitten by Bob,Bob bit Wendy,-21.469074249267578,-24.83655548095703,3.367481231689453
block,V043,2a,(a) Agent-Patient,The pipe was blocked by Bob,Bob blocked the pipe,-20.488834381103516,-28.755287170410156,8.26645278930664
boil,V138,2a,(a) Agent-Patient,The water was boiled by Bob,Bob boiled the water,-21.652929306030273,-30.87640953063965,9.223480224609375
borrow,V035,2b,(a) Agent-Patient,The game was borrowed by Bob,Bob borrowed the game,-20.33734893798828,-30.69758415222168,10.360235214233398
bother,V308,2b,(b) Theme-Experiencer,Wendy was bothered by Bob,Bob bothered Wendy,-22.19200325012207,-25.273029327392578,3.081026077270508
buy,V033,2b,(a) Agent-Patient,The book was bought by Bob,Bob bought the book,-19.179386138916016,-27.583324432373047,8.403938293457031
bounce,V028,2b,(a) Agent-Patient,The football was bounced by Bob,Bob bounced the football,-22.61960792541504,-32.04805374145508,9.428445816040039
break,V125,2b,(a) Agent-Patient,The plate was broken by Bob,Bob broke the plate,-20.66995620727539,-29.885026931762695,9.215070724487305
bring,V029,2a,(a) Agent-Patient,The food was brought by Bob,Bob brought the food,-19.99301528930664,-27.970897674560547,7.977882385253906
build,V068,2a,(a) Agent-Patient,The castle was built by Bob,Bob built the castle,-19.68194580078125,-26.499128341674805,6.817182540893555
burn,V143,2b,(a) Agent-Patient,The toast was burnt by Bob,Bob burnt the toast,-22.952972412109375,-32.01213073730469,9.059158325195312
butter,V015,2a,(a) Agent-Patient,The toast was buttered by Bob,Bob buttered the toast,-24.587650299072266,-34.55553436279297,9.967884063720703
button,V049,2a,(a) Agent-Patient,The coat was buttoned by Bob,Bob buttoned the coat,-24.322446823120117,-33.66267776489258,9.340230941772461
call,V262,2b,(a) Agent-Patient,Wendy was called by Bob,Bob called Wendy,-20.706388473510742,-24.35977554321289,3.6533870697021484
calm,V309,2a,(b) Theme-Experiencer,Wendy was calmed by Bob,Bob calmed Wendy,-22.655147552490234,-28.769166946411133,6.114019393920898
capture,V154,2a,(a) Agent-Patient,Wendy was captured by Bob,Bob captured Wendy,-21.516626358032227,-23.673583984375,2.1569576263427734
carry,V179,2a,(a) Agent-Patient,Wendy was carried by Bob,Bob carried Wendy,-21.626867294311523,-24.53874397277832,2.911876678466797
carve,V045,2a,(a) Agent-Patient,The wood was carved by Bob,Bob carved the wood,-22.108898162841797,-29.0269832611084,6.918085098266602
catch,V184,2a,(a) Agent-Patient,Wendy was caught by Bob,Bob caught Wendy,-21.543254852294922,-24.2573299407959,2.7140750885009766
chant,V081,2a,(a) Agent-Patient,The prayer was chanted by Bob,Bob chanted the prayer,-23.097915649414062,-31.490175247192383,8.39225959777832
chase,V289,2a,(a) Agent-Patient,Wendy was chased by Bob,Bob chased Wendy,-22.214929580688477,-27.733478546142578,5.518548965454102
chat to,V265,2b,(a) Agent-Patient,Wendy was chatted to by Bob,Bob chatted to Wendy,-24.86289405822754,-31.034391403198242,6.171497344970703
cheer up,V310,2b,(b) Theme-Experiencer,Wendy was cheered up by Bob,Bob cheered up Wendy,-25.971921920776367,-31.074626922607422,5.102705001831055
chew,V109,2a,(a) Agent-Patient,The gum was chewed by Bob,Bob chewed the gum,-24.216529846191406,-34.16806411743164,9.951534271240234
chip,V126,2a,(a) Agent-Patient,The bowl was chipped by Bob,Bob chipped the bowl,-22.302776336669922,-33.0906867980957,10.787910461425781
chop,V046,2b,(a) Agent-Patient,The onion was chopped by Bob,Bob chopped the onion,-22.54767608642578,-33.3674430847168,10.819766998291016
choose,V185,2b,(a) Agent-Patient,Wendy was chosen by Bob,Bob chose Wendy,-21.644107818603516,-24.786252975463867,3.1421451568603516
claw,V199,2a,(a) Agent-Patient,Wendy was clawed by Bob,Bob clawed Wendy,-23.27116584777832,-29.38518524169922,6.114019393920898
clean,V173,2a,(a) Agent-Patient,Wendy was cleaned by Bob,Bob cleaned Wendy,-22.238990783691406,-27.256420135498047,5.017429351806641
clear,V020,2b,(a) Agent-Patient,The room was cleared by Bob,Bob cleared the room,-20.441211700439453,-28.428264617919922,7.987052917480469
coil,V011,2b,(a) Agent-Patient,The leash was coiled by Bob,Bob coiled the leash,-24.182018280029297,-32.43587875366211,8.253860473632812
comfort,V311,2b,(b) Theme-Experiencer,Wendy was comforted by Bob,Bob comforted Wendy,-22.468046188354492,-25.378908157348633,2.9108619689941406
commence,V148,2b,(a) Agent-Patient,The argument was commenced by Bob,Bob commenced the argument,-22.823150634765625,-32.196842193603516,9.37369155883789
complete,V153,2b,(a) Agent-Patient,The race was completed by Bob,Bob completed the race,-20.357418060302734,-27.79952621459961,7.442108154296875
compliment,V233,2b,(a) Agent-Patient,Wendy was complimented by Bob,Bob complimented Wendy,-22.455495834350586,-26.726219177246094,4.270723342895508
compose,V073,2a,(a) Agent-Patient,The song was composed by Bob,Bob composed the song,-20.943145751953125,-26.806251525878906,5.863105773925781
confirm,V413,2a,(d) Other Passivizable,The allegation was confirmed by Bob,Bob confirmed the allegation,-20.263662338256836,-29.396631240844727,9.13296890258789
congratulate,V234,2a,(a) Agent-Patient,Wendy was congratulated by Bob,Bob congratulated Wendy,-22.426654815673828,-27.54466438293457,5.118009567260742
consume,V118,2a,(a) Agent-Patient,The snack was consumed by Bob,Bob consumed the snack,-22.403690338134766,-30.01639747619629,7.612707138061523
continue,V149,2a,(a) Agent-Patient,The conversation was continued by Bob,Bob continued the conversation,-18.8845272064209,-30.58831787109375,11.703790664672852
converse with,V266,2a,(a) Agent-Patient,Wendy was conversed with by Bob,Bob conversed with Wendy,-26.221399307250977,-32.39199447631836,6.170595169067383
cook,V139,2b,(a) Agent-Patient,The pizza was cooked by Bob,Bob cooked the pizza,-22.08621597290039,-30.60950469970703,8.52328872680664
cooperate with,V249,2a,(a) Agent-Patient,Wendy was cooperated with by Bob,Bob cooperated with Wendy,-23.66724967956543,-29.837844848632812,6.170595169067383
copy,V212,2b,(a) Agent-Patient,Wendy was copied by Bob,Bob copied Wendy,-22.098373413085938,-25.039457321166992,2.9410839080810547
court,V253,2a,(a) Agent-Patient,Wendy was courted by Bob,Bob courted Wendy,-22.426654815673828,-26.725860595703125,4.299205780029297
cover,V168,2a,(a) Agent-Patient,Wendy was covered by Bob,Bob covered Wendy,-21.586313247680664,-24.103145599365234,2.5168323516845703
crack,V127,2b,(a) Agent-Patient,The mirror was cracked by Bob,Bob cracked the mirror,-20.078283309936523,-32.435115814208984,12.356832504272461
crease,V134,2b,(a) Agent-Patient,The T-shirt was creased by Bob,Bob creased the T-shirt,-26.21626853942871,-35.71007537841797,9.493806838989258
create,V410,2b,(d) Other Passivizable,The theory was created by Bob,Bob created the theory,-20.301713943481445,-26.91607666015625,6.614362716674805
criticize,V241,2b,(a) Agent-Patient,Wendy was criticized by Bob,Bob criticized Wendy,-21.740026473999023,-24.458051681518555,2.7180252075195312
crush,V157,2a,(a) Agent-Patient,Wendy was crushed by Bob,Bob crushed Wendy,-21.998746871948242,-24.33719253540039,2.3384456634521484
cuddle,V254,2b,(a) Agent-Patient,Wendy was cuddled by Bob,Bob cuddled Wendy,-23.282997131347656,-29.397014617919922,6.114017486572266
cut,V210,2b,(a) Agent-Patient,Wendy was cut by Bob,Bob cut Wendy,-21.335391998291016,-24.973512649536133,3.638120651245117
dangle,V004,2a,(a) Agent-Patient,The string was dangled by Bob,Bob dangled the string,-23.058597564697266,-33.343833923339844,10.285236358642578
date,V255,2a,(a) Agent-Patient,Wendy was dated by Bob,Bob dated Wendy,-21.78702735900879,-26.08407211303711,4.29704475402832
dazzle,V312,2a,(b) Theme-Experiencer,Wendy was dazzled by Bob,Bob dazzled Wendy,-22.85800552368164,-25.423093795776367,2.5650882720947266
decorate,V067,2b,(a) Agent-Patient,The hall was decorated by Bob,Bob decorated the hall,-21.824459075927734,-31.378509521484375,9.55405044555664
delete,V019,2a,(a) Agent-Patient,The file was deleted by Bob,Bob deleted the file,-20.895036697387695,-29.523609161376953,8.628572463989258
demolish,V120,2b,(a) Agent-Patient,The stadium was demolished by Bob,Bob demolished the stadium,-21.217960357666016,-29.00412368774414,7.786163330078125
demonstrate,V414,2b,(d) Other Passivizable,The reasoning was demonstrated by Bob,Bob demonstrated the reasoning,-21.397415161132812,-29.237773895263672,7.840358734130859
depress,V313,2b,(b) Theme-Experiencer,Wendy was depressed by Bob,Bob depressed Wendy,-21.893535614013672,-27.182098388671875,5.288562774658203
desert,V287,2a,(a) Agent-Patient,Wendy was deserted by Bob,Bob deserted Wendy,-22.23157501220703,-26.835716247558594,4.6041412353515625
design,V074,2b,(a) Agent-Patient,The cover was designed by Bob,Bob designed the cover,-20.389249801635742,-28.15019989013672,7.760950088500977
despise,V383,2b,(c) Experiencer-Theme,Wendy was despised by Bob,Bob despised Wendy,-22.35345458984375,-25.925920486450195,3.5724658966064453
destroy,V121,2a,(a) Agent-Patient,The city was destroyed by Bob,Bob destroyed the city,-20.162065505981445,-27.073944091796875,6.91187858581543
detect,V394,2a,(c) Experiencer-Theme,The sound was detected by Bob,Bob detected the sound,-21.222009658813477,-29.016307830810547,7.79429817199707
detest,V384,2a,(c) Experiencer-Theme,Wendy was detested by Bob,Bob detested Wendy,-23.27116584777832,-29.38518524169922,6.114019393920898
devour,V119,2b,(a) Agent-Patient,The starter was devoured by Bob,Bob devoured the starter,-22.41320037841797,-31.31084442138672,8.89764404296875
direct,V082,2b,(a) Agent-Patient,The video was directed by Bob,Bob directed the video,-19.23807716369629,-27.12917709350586,7.89109992980957
disagree with,V250,2b,(a) Agent-Patient,Wendy was disagreed with by Bob,Bob disagreed with Wendy,-22.980648040771484,-29.1512451171875,6.170597076416016
discover,V354,2b,(c) Experiencer-Theme,Wendy was discovered by Bob,Bob discovered Wendy,-21.513986587524414,-24.099220275878906,2.585233688354492
disgust,V314,2b,(b) Theme-Experiencer,Wendy was disgusted by Bob,Bob disgusted Wendy,-22.369415283203125,-25.169416427612305,2.8000011444091797
dislike,V385,2b,(c) Experiencer-Theme,Wendy was disliked by Bob,Bob disliked Wendy,-22.522083282470703,-28.63610076904297,6.114017486572266
dispatch,V275,2b,(a) Agent-Patient,Wendy was dispatched by Bob,Bob dispatched Wendy,-22.307140350341797,-28.421157836914062,6.114017486572266
distract,V315,2a,(b) Theme-Experiencer,Wendy was distracted by Bob,Bob distracted Wendy,-22.122127532958984,-26.26702880859375,4.144901275634766
distrust,V386,2a,(c) Experiencer-Theme,Wendy was distrusted by Bob,Bob distrusted Wendy,-23.27116584777832,-29.38518524169922,6.114019393920898
disturb,V316,2b,(b) Theme-Experiencer,Wendy was disturbed by Bob,Bob disturbed Wendy,-22.13818359375,-25.87797737121582,3.7397937774658203
divide,V056,2b,(a) Agent-Patient,The pudding was divided by Bob,Bob divided the pudding,-21.698871612548828,-30.641727447509766,8.942855834960938
divorce,V232,2a,(a) Agent-Patient,Wendy was divorced by Bob,Bob divorced Wendy,-21.99397850036621,-27.136089324951172,5.142110824584961
dodge,V224,2a,(a) Agent-Patient,Wendy was dodged by Bob,Bob dodged Wendy,-22.543249130249023,-28.65726661682129,6.114017486572266
drag,V180,2b,(a) Agent-Patient,Wendy was dragged by Bob,Bob dragged Wendy,-22.003162384033203,-25.93891716003418,3.9357547760009766
drink,V108,2a,(a) Agent-Patient,The tea was drunk by Bob,Bob drank the tea,-21.08110237121582,-31.357513427734375,10.276411056518555
dread,V387,2b,(c) Experiencer-Theme,Wendy was dreaded by Bob,Bob dreaded Wendy,-22.470205307006836,-28.5842227935791,6.114017486572266
dress,V273,2a,(a) Agent-Patient,Wendy was dressed by Bob,Bob dressed Wendy,-21.969337463378906,-26.518062591552734,4.548725128173828
draw,V063,2b,(a) Agent-Patient,The cat was drawn by Bob,Bob drew the cat,-20.444171905517578,-29.24791145324707,8.803739547729492
drop,V158,2a,(a) Agent-Patient,Wendy was dropped by Bob,Bob dropped Wendy,-21.484634399414062,-24.680856704711914,3.1962223052978516
drive,V030,2b,(a) Agent-Patient,The car was driven by Bob,Bob drove the car,-18.30817413330078,-26.97715187072754,8.668977737426758
drown,V281,2b,(a) Agent-Patient,Wendy was drowned by Bob,Bob drowned Wendy,-22.13505744934082,-28.249074935913086,6.114017486572266
dump,V005,2b,(a) Agent-Patient,The waste was dumped by Bob,Bob dumped the waste,-22.154067993164062,-30.25447654724121,8.100408554077148
earn,V034,2a,(a) Agent-Patient,The bonus was earned by Bob,Bob earned the bonus,-20.831401824951172,-29.556438446044922,8.72503662109375
eliminate,V276,2a,(a) Agent-Patient,Wendy was eliminated by Bob,Bob eliminated Wendy,-21.95703125,-25.378408432006836,3.421377182006836
elude,V225,2b,(a) Agent-Patient,Wendy was eluded by Bob,Bob eluded Wendy,-22.437589645385742,-28.551607131958008,6.114017486572266
embarass,V317,2a,(b) Theme-Experiencer,Wendy was embarassed by Bob,Bob embarassed Wendy,-23.282997131347656,-29.397014617919922,6.114017486572266
embrace,V256,2a,(a) Agent-Patient,Wendy was embraced by Bob,Bob embraced Wendy,-21.94835662841797,-25.84056854248047,3.8922119140625
empty,V021,2a,(a) Agent-Patient,The glass was emptied by Bob,Bob emptied the glass,-20.862184524536133,-29.23529052734375,8.373106002807617
encourage,V318,2b,(b) Theme-Experiencer,Wendy was encouraged by Bob,Bob encouraged Wendy,-21.753765106201172,-25.038593292236328,3.2848281860351562
end,V150,2b,(a) Agent-Patient,The discussion was ended by Bob,Bob ended the discussion,-18.780479431152344,-31.4367733001709,12.656293869018555
enrage,V319,2a,(b) Theme-Experiencer,Wendy was enraged by Bob,Bob enraged Wendy,-22.303173065185547,-24.920568466186523,2.6173954010009766
entertain,V320,2b,(b) Theme-Experiencer,Wendy was entertained by Bob,Bob entertained Wendy,-22.239429473876953,-25.675830841064453,3.4364013671875
envy,V388,2b,(c) Experiencer-Theme,Wendy was envied by Bob,Bob envied Wendy,-22.931575775146484,-27.609012603759766,4.677436828613281
escort,V297,2a,(a) Agent-Patient,Wendy was escorted by Bob,Bob escorted Wendy,-22.275516510009766,-25.573009490966797,3.2974929809570312
examine,V355,2a,(c) Experiencer-Theme,Wendy was examined by Bob,Bob examined Wendy,-21.804088592529297,-25.407224655151367,3.6031360626220703
excuse,V235,2b,(a) Agent-Patient,Wendy was excused by Bob,Bob excused Wendy,-22.79212760925293,-28.906147003173828,6.114019393920898
execute,V277,2b,(a) Agent-Patient,Wendy was executed by Bob,Bob executed Wendy,-21.811199188232422,-24.49358558654785,2.6823863983154297
expel,V172,2b,(a) Agent-Patient,Wendy was expelled by Bob,Bob expelled Wendy,-22.039766311645508,-26.46376609802246,4.423999786376953
explain,V415,2a,(d) Other Passivizable,The problem was explained by Bob,Bob explained the problem,-20.38150405883789,-28.279359817504883,7.897855758666992
exterminate,V122,2b,(a) Agent-Patient,The spider was exterminated by Bob,Bob exterminated the spider,-24.21307945251465,-33.50627517700195,9.293195724487305
fascinate,V321,2a,(b) Theme-Experiencer,Wendy was fascinated by Bob,Bob fascinated Wendy,-22.712371826171875,-25.0447940826416,2.3324222564697266
fear,V389,2a,(c) Experiencer-Theme,Wendy was feared by Bob,Bob feared Wendy,-21.88508415222168,-27.22149658203125,5.33641242980957
feed,V271,2a,(a) Agent-Patient,Wendy was fed by Bob,Bob fed Wendy,-21.669910430908203,-26.76206398010254,5.092153549194336
feel,V396,2a,(c) Experiencer-Theme,The heat was felt by Bob,Bob felt the heat,-19.937833786010742,-30.09939956665039,10.161565780639648
fill,V013,2a,(a) Agent-Patient,The sink was filled by Bob,Bob filled the sink,-20.963605880737305,-30.54701805114746,9.583412170410156
film,V213,2a,(a) Agent-Patient,Wendy was filmed by Bob,Bob filmed Wendy,-21.900344848632812,-24.969573974609375,3.0692291259765625
finish,V151,2a,(a) Agent-Patient,The hamburger was finished by Bob,Bob finished the hamburger,-22.093971252441406,-31.133350372314453,9.039379119873047
