subject,object,verb,sentence,active,passive,affectedness,active_tokens,passive_tokens,tokens_active,tokens_passive,active_score,passive_score,pass_drop
The audience,the presentation,understood,The audience understood the presentation.,The audience understood the presentation.,The presentation was understood by the audience.,low,9,11,9,11,-26.767610549926758,-33.55147933959961,6.783868789672852
the residents,the impending storm,feared,The residents feared the impending storm.,The residents feared the impending storm.,The impending storm was feared by the residents.,low,9,11,9,11,-27.21206283569336,-36.86383056640625,9.65176773071289
the sculpture,a mythical creature,resembled,The sculpture resembled a mythical creature.,The sculpture resembled a mythical creature.,A mythical creature was resembled by the sculpture.,low,10,12,10,12,-32.590370178222656,-54.50457763671875,21.914207458496094
She,her hometown,missed,The woman missed her hometown.,The woman missed her hometown.,Her hometown was missed by the woman.,low,9,11,9,11,-29.38060760498047,-39.4863166809082,10.105709075927734
the child,the dark forest,feared,The child feared the dark forest.,The child feared the dark forest.,The dark forest was feared by the child.,low,8,10,8,10,-33.33564758300781,-41.86349868774414,8.527851104736328
the clouds,fluffy sheep in the sky,resembled,The clouds resembled fluffy sheep in the sky.,The clouds resembled fluffy sheep in the sky.,Fluffy sheep in the sky were resembled by the clouds.,low,10,13,10,13,-38.98027038574219,-65.49930572509766,26.51903533935547
The new model,the previous version,resembled,The new model resembled the previous version.,The new model resembled the previous version.,The previous version was resembled by the new model.,low,9,11,9,11,-30.562068939208984,-46.73588943481445,16.17382049560547
Alice,the presentation,dreaded,Alice dreaded the presentation.,Alice dreaded the presentation.,The presentation was dreaded by Alice.,low,8,10,8,10,-27.923038482666016,-39.83247756958008,11.909439086914062
The lecture,two hours,lasted,The lecture lasted two hours.,The lecture lasted two hours.,Two hours were lasted by the lecture.,low,7,9,7,9,-24.812114715576172,-42.59708786010742,17.78497314453125
The hiker,a rare bird,spotted,The hiker spotted a rare bird.,The hiker spotted a rare bird.,A rare bird was spotted by the hiker.,low,9,11,9,11,-34.38792037963867,-40.39500045776367,6.007080078125
the gardener,more seeds,needed,The gardener needed more seeds.,The gardener needed more seeds.,More seeds were needed by the gardener.,low,10,12,10,12,-33.842979431152344,-38.68744659423828,4.8444671630859375
the child,his pet,missed,The child missed his pet during vacation.,The child missed his pet during vacation.,His pet was missed by the child during vacation.,low,10,12,10,12,-43.72991943359375,-49.0544548034668,5.324535369873047
the teacher,"the student""s potential",knew,The teacher knew the student's potential.,The teacher knew the student's potential.,The student's potential was knew by the teacher.,low,13,15,13,15,-31.494598388671875,-51.82737350463867,20.332775115966797
the clock,midnight,struck,The clock struck midnight.,The clock struck midnight.,Midnight was struck by the clock.,low,7,10,7,10,-16.22539520263672,-40.83002471923828,24.604629516601562
the team,"their coach""s guidance",respected,The team respected their coach's guidance.,The team respected their coach's guidance.,Their coach's guidance was respected by the team.,low,9,11,9,11,-34.68529510498047,-45.2269172668457,10.541622161865234
the town,the river,bordered,The town bordered the river.,The town bordered the river.,The river was bordered by the town.,low,8,10,8,10,-26.117210388183594,-36.716121673583984,10.59891128540039
the tourist,the ancient architecture,noticed,The tourist noticed the ancient architecture.,The tourist noticed the ancient architecture.,The ancient architecture was noticed by the tourist.,low,11,13,11,13,-37.49286651611328,-38.983489990234375,1.4906234741210938
the sculpture,a famous painting,resembled,The sculpture resembled a famous painting.,The sculpture resembled a famous painting.,A famous painting was resembled by the sculpture.,low,9,11,9,11,-32.78245544433594,-50.885658264160156,18.10320281982422
the shirt,the man,fit,The shirt fit the man.,The shirt fit the man.,The man was fit by the shirt.,low,7,9,7,9,-24.404788970947266,-34.38142013549805,9.976631164550781
the room,a cozy ambiance,had,The room had a cozy ambiance.,The room had a cozy ambiance.,A cozy ambiance was had by the room.,low,9,11,9,11,-29.627424240112305,-57.44571304321289,27.818288803100586
the cat,the bird on the windowsill,noticed,The cat noticed the bird on the windowsill intently.,The cat noticed the bird on the windowsill intently.,The bird on the windowsill was noticed intently by the cat.,low,13,15,13,15,-48.85671615600586,-59.766719818115234,10.910003662109375
Rob,his wallet,missed,Rob missed his wallet.,Rob missed his wallet.,His wallet was missed by Rob.,low,6,8,6,8,-28.548051834106445,-39.083404541015625,10.53535270690918
The project,a detailed plan,lacked,The project lacked a detailed plan.,The project lacked a detailed plan.,A detailed plan was lacked by the project.,low,9,11,9,11,-27.413728713989258,-43.753929138183594,16.340200424194336
the renovation,significant money,cost,The renovation cost significant money.,The renovation cost significant money.,Significant money was cost by the renovation.,low,9,10,9,10,-32.78065872192383,-45.880401611328125,13.099742889404297
the neighbors,the band,heard,The neighbors heard the band rehearsing late at night.,The neighbors heard the band rehearsing late at night.,The band rehearsing late at night was heard by the neighbors.,low,13,15,13,15,-43.29450225830078,-51.929290771484375,8.634788513183594
The community,his dedication to volunteering,respected,The community respected his dedication to volunteering.,The community respected his dedication to volunteering.,His dedication to volunteering was respected by the community.,low,11,13,11,13,-38.51673889160156,-41.09885025024414,2.582111358642578
The building,renovations,underwent,The building underwent renovations last year.,The building underwent renovations last year.,Renovations were underwent last year by the building.,low,10,14,10,14,-26.081775665283203,-54.082401275634766,28.000625610351562
the box,the items,fit,The box fit the items perfectly inside.,The box fit the items perfectly inside.,The items were fit perfectly inside by the box.,low,9,11,9,11,-41.759796142578125,-52.64044189453125,10.880645751953125
The house,The old cemetery,abutted,The house abutted the old cemetery.,The house abutted the old cemetery.,The old cemetery abutted the house.,low,9,9,9,9,-32.15351104736328,-36.26040267944336,4.106891632080078
the new smartphone,nearly a thousand dollars,cost,The new smartphone cost nearly a thousand dollars.,The new smartphone cost nearly a thousand dollars.,Nearly a thousand dollars was cost by the new smartphone.,low,10,12,10,12,-36.548484802246094,-45.441688537597656,8.893203735351562
Travelers,The risks,knew,Travelers knew the risks involved.,Travelers knew the risks involved.,The risks involved were knew by the travelers.,low,8,10,8,10,-25.217838287353516,-50.39157485961914,25.173736572265625
the patient,the procedure,underwent,The patient underwent the procedure.,The patient underwent the procedure.,The procedure was underwent by the patient.,low,9,11,9,11,-24.95095443725586,-29.876230239868164,4.925275802612305
the team,the captain's judgment,trusted,The team trusted the captain's judgment.,The team trusted the captain's judgment.,The captain's judgment was trusted by the team.,low,11,13,11,13,-30.702661514282227,-41.753089904785156,11.05042839050293
the sailor,the lighthouse,saw,The sailor saw the lighthouse.,The sailor saw the lighthouse.,The lighthouse was saw by the sailor.,low,8,10,8,10,-33.19544219970703,-40.38551330566406,7.190071105957031
the jury,"the artist""s innovative approach",recognized,The jury recognized the artist's innovative approach in her work.,The jury recognized the artist's innovative approach in her work.,The artist's innovative approach in her work was recognized by the jury.,low,13,15,13,15,-50.93470001220703,-58.102996826171875,7.168296813964844
the new phone,several hundred dollars,cost,The new phone cost several hundred dollars.,The new phone cost several hundred dollars.,Several hundred dollars was cost by the new phone.,low,9,11,9,11,-29.919496536254883,-43.41147994995117,13.491983413696289
the community,the foundation's cause for the environment,believed,The community believed the foundation's cause for the environment.,The community believed the foundation's cause for the environment.,The foundation's cause for the environment was believed by the community.,low,13,15,13,15,-60.30280303955078,-61.49094009399414,1.1881370544433594
She,the flavor of the new coffee blend,liked,The barista liked the flavor of the new coffee blend.,The barista liked the flavor of the new coffee blend.,The flavour of the new coffee blend was liked by the barista.,low,14,16,14,16,-45.62046432495117,-55.24553680419922,9.625072479248047
the clouds,various animal shapes,resembled,The clouds resembled various animal shapes.,The clouds resembled various animal shapes.,Various animal shapes were resembled by the clouds.,low,8,10,8,10,-38.36943817138672,-48.27179718017578,9.902359008789062
the model,the original statue,resembled,The model resembled the original statue.,The model resembled the original statue.,The original statue was resembled by the model.,low,8,10,8,10,-35.92011260986328,-44.210479736328125,8.290367126464844
the birdwatcher,a rare species in the forest,spotted,The birdwatcher spotted a rare species in the forest.,The birdwatcher spotted a rare species in the forest.,A rare species was spotted in the forest by the birdwatcher.,low,13,15,13,15,-38.700538635253906,-50.57321548461914,11.872676849365234
the dress,her,fit,The dress fit the bride perfectly.,The dress fit the bride perfectly.,The bride was fit perfectly by the dress.,low,9,11,9,11,-38.08942413330078,-42.99702072143555,4.907596588134766
the sculpture,a majestic eagle in flight,resembled,The sculpture resembled a majestic eagle in flight.,The sculpture resembled a majestic eagle in flight.,A majestic eagle in flight was resembled by the sculpture.,low,10,12,10,12,-42.58794403076172,-67.18439483642578,24.596450805664062
the villagers,the wild animals,feared,The villagers feared the wild animals.,The villagers feared the wild animals.,The wild animals were feared by the villagers.,low,8,10,8,10,-29.175621032714844,-37.2624626159668,8.086841583251953
The table,more than anticipated,cost,The table cost more than anticipated at the auction.,The table cost more than anticipated at the auction.,More than anticipated was cost by the table at the auction.,low,14,16,14,16,-45.783485412597656,-62.126495361328125,16.34300994873047
the program,the new user,recognized,The program recognized the new user.,The program recognized the new user.,The new user was recognized by the program.,low,10,12,10,12,-33.352027893066406,-39.71349334716797,6.3614654541015625
the librarian,the location of every book in the vast collection,knew,The librarian knew the location of every book in the vast collection.,The librarian knew the location of every book in the vast collection.,The location of every book in the vast collection was knew by the librarian.,low,14,16,14,16,-50.94917297363281,-63.28633499145508,12.337162017822266
The dog,The sound of thunder,feared,The dog feared the sound of thunder.,The dog feared the sound of thunder.,The sound of thunder was feared by the dog.,low,9,11,9,11,-34.525421142578125,-41.25944519042969,6.7340240478515625
the children,the monster under the bed,feared,The children feared the monster under the bed.,The children feared the monster under the bed.,The monster under the bed was feared by the children.,low,11,13,11,13,-38.221771240234375,-46.389869689941406,8.168098449707031
The painting,a famous masterpiece,resembled,The painting resembled a famous masterpiece.,The painting resembled a famous masterpiece.,A famous masterpiece was resembled by the painting.,low,9,11,9,11,-32.01658248901367,-53.34244918823242,21.32586669921875
The patron,their conversation,overheard,She overheard their conversation.,The patron overheard their conversation.,Their conversation was overheard by the patron.,low,9,11,9,11,-31.153444290161133,-33.01215362548828,1.8587093353271484
the athlete,the qualification,missed,The athlete missed the qualifying score by a margin.,The athlete missed the qualifying score by a margin.,The qualifying score was missed by the athlete by a margin.,low,11,13,11,13,-43.71504592895508,-59.02508544921875,15.310039520263672
The team,their leader,trusted,The team trusted their leader.,The team trusted their leader.,Their leader was trusted by the team.,low,9,11,9,11,-26.940364837646484,-33.570350646972656,6.629985809326172
The meeting,an entire afternoon,lasted,The meeting lasted an entire afternoon.,The meeting lasted an entire afternoon.,An entire afternoon was lasted by the meeting.,low,9,11,9,11,-26.302013397216797,-46.74169921875,20.439685821533203
Her voice,the sweet sound of a violin,resembled,Her voice resembled the sweet sound of a violin.,Her voice resembled the sweet sound of a violin.,The sweet sound of a violin was resembled by her voice.,low,11,13,11,13,-38.38215255737305,-58.598724365234375,20.216571807861328
the mural,a vibrant tapestry,resembled,The mural resembled a vibrant tapestry.,The mural resembled a vibrant tapestry.,A vibrant tapestry was resembled by the mural.,low,10,12,10,12,-41.916656494140625,-60.25722122192383,18.340564727783203
the driver,the old song playing on the radio,recognized,The driver recognized the old song playing on the radio.,The driver recognized the old song playing on the radio.,The old song playing on the radio was recognized by the driver.,low,15,17,15,17,-38.07489776611328,-54.63587951660156,16.56098175048828
The campers,the shooting star,saw,The camper saw the shooting star.,The camper saw the shooting star.,The shooting star was saw by the camper.,low,10,12,10,12,-40.87202072143555,-50.31761169433594,9.44559097290039
the appointment,forty-five minutes,lasted,The appointment lasted forty-five minutes.,The appointment lasted forty-five minutes.,Forty-five minutes were lasted by the appointment.,low,9,11,9,11,-27.236835479736328,-44.03914260864258,16.80230712890625
the woman,snakes,feared,The woman feared snakes.,The woman feared snakes.,Snakes were feared by the woman.,low,6,9,6,9,-31.14986801147461,-39.108436584472656,7.958568572998047
the engine,repairs,needed,The engine needed repairs.,The engine needed repairs.,Repairs were needed by the engine.,low,6,9,6,9,-24.193023681640625,-34.383358001708984,10.19033432006836
the renovations,a pretty penny,cost,The renovations cost a pretty penny.,The renovations cost a pretty penny.,A pretty penny was cost by the renovations.,low,8,10,8,10,-26.366455078125,-52.178043365478516,25.811588287353516
The teacher,the lesson plan,prepared,The teacher prepared the lesson plan.,The teacher prepared the lesson plan.,The lesson plan was prepared by the teacher.,high,10,12,10,12,-25.648698806762695,-35.61857223510742,9.969873428344727
The soldier,the intruder,shot,The soldier shot the intruder during a midnight raid.,The soldier shot the intruder during a midnight raid.,The intruder was shot by the soldier during a midnight raid.,high,12,14,12,14,-38.68268585205078,-45.326324462890625,6.643638610839844
the criminal,the unmanned robot,stabbed,The criminal stabbed the unmanned robot.,The criminal stabbed the unmanned robot.,"The unmanned robot was stabbed by the criminal,.",high,10,13,10,13,-42.142330169677734,-59.12335968017578,16.981029510498047
The military officer,the deserter,executed,The military officer executed the deserter.,The military officer executed the deserter.,The deserter was executed by the military officer.,high,10,12,10,12,-37.08647155761719,-43.79214096069336,6.705669403076172
The villain,his opponent,knifed,The villain knifed his opponent in a theatrical duel.,The villain knifed his opponent in a theatrical duel.,His opponent was knifed by the villain in a theatrical duel.,high,13,15,13,15,-45.00118637084961,-51.489986419677734,6.488800048828125
The haunted house actor,The guests,frightened,The haunted house actor successfully frightened the guests.,The haunted house actor successfully frightened the guests.,The guests were frightened successfully by the haunted house actor.,high,11,13,11,13,-46.46413040161133,-62.57615661621094,16.11202621459961
The firefighter,the cleared fields,burned,The firefighter burned the cleared fields to prevent a larger forest fire.,The firefighter burned the cleared fields to prevent a larger forest fire.,The cleared fields were burned by the firefighter to prevent a larger forest fire.,high,17,19,17,19,-55.14007568359375,-64.49295806884766,9.352882385253906
The hunter,the wild boar,killed,The hunter killed the wild boar in the forest.,The hunter killed the wild boar in the forest.,The wild boar was killed by the hunter in the forest.,high,12,14,12,14,-33.44461441040039,-42.72876739501953,9.28415298461914
The pest control officer,the cockroaches,exterminated,The pest control officer exterminated the cockroaches in the infested kitchen.,The pest control officer exterminated the cockroaches in the infested kitchen.,The cockroaches in the infested kitchen were exterminated by the pest control officer.,high,15,17,15,17,-39.35881042480469,-59.60920715332031,20.250396728515625
The pest control team,all the insects in the house,exterminated,The pest control team exterminated all the insects in the house.,The pest control team exterminated all the insects in the house.,All the insects in the house were exterminated by the pest control team.,high,14,16,14,16,-33.78959655761719,-49.74802780151367,15.958431243896484
assassin,wealthy businessman,murdered,The assassin murdered the wealthy businessman in his secluded mansion.,The assassin murdered the wealthy businessman in his secluded mansion.,The wealthy businessman was murdered by the assassin in his secluded mansion.,high,13,15,13,15,-39.41152572631836,-51.521175384521484,12.109649658203125
The prisoner,His rival inmate,knifed,The prisoner knifed his rival inmate during lunch.,The prisoner knifed his rival inmate during lunch.,His rival inmate was knifed by the prisoner during lunch.,high,11,13,11,13,-48.138912200927734,-58.3910026550293,10.252090454101562
The athlete,the world record,broke,The athlete broke the world record in the event.,The athlete broke the world record in the event.,The world record in the event was broke by the athlete.,high,12,14,12,14,-31.724220275878906,-50.28058624267578,18.556365966796875
The campfire,the stack of wood,burned,The campfire burned the stack of wood.,The campfire burned the stack of wood.,The stack of wood was burned by the campfire.,high,10,12,10,12,-35.93598175048828,-43.579376220703125,7.643394470214844
The state,the criminal,executed,The state executed the criminal at dawn.,The state executed the criminal at dawn.,The criminal was executed by the state at dawn.,high,9,11,9,11,-29.32284927368164,-37.57872772216797,8.255878448486328
The construction worker,the concrete pillar,crushed,The construction worker crushed the concrete pillar.,The construction worker crushed the concrete pillar.,The concrete pillar was crushed by the construction worker.,high,9,11,9,11,-32.19420623779297,-45.05067443847656,12.856468200683594
The chef,The juicy steak,stabbed,The chef expertly stabbed the fork into the juicy steak.,The chef expertly stabbed the fork into the juicy steak.,The fork was stabbed expertly by the chef into the juicy steak.,high,13,15,13,15,-49.6070442199707,-77.782470703125,28.175426483154297
the storm,dozens of houses,wrecked,The storm wrecked dozens of houses along the coastline.,The storm wrecked dozens of houses along the coastline.,Dozens of houses along the coastline were wrecked by the storm.,high,13,15,13,15,-32.89030075073242,-33.94227600097656,1.0519752502441406
The mother,water,boiled,The mother boiled water for her child's bottle.,The mother boiled water for her child's bottle.,Water for her child's bottle was boiled by the mother.,high,11,13,11,13,-43.36559295654297,-60.17878723144531,16.813194274902344
The campers,the marshmallows,burned,The campers accidentally burned the marshmallows over the fire.,The campers accidentally burned the marshmallows over the fire.,The marshmallows were accidentally burned over the fire by the campers.,high,13,15,13,15,-44.916412353515625,-62.48217010498047,17.565757751464844
The criminal,the unsuspecting victim,knifed,The criminal knifed the unsuspecting victim in the alley.,The criminal knifed the unsuspecting victim in the alley.,The unsuspecting victim was knifed in the alley by the criminal.,high,11,13,11,13,-36.589622497558594,-43.789730072021484,7.200107574462891
The compactor,The metal cans,crushed,The compactor crushed the metal cans into cubes.,The compactor crushed the metal cans into cubes.,The metal cans were crushed into cubes by the compactor.,high,12,14,12,14,-41.77883529663086,-51.462989807128906,9.684154510498047
The thieves,the unsuspecting travelers,robbed,The thieves robbed the unsuspecting travelers at the desolate rest stop.,The thieves robbed the unsuspecting travelers at the desolate rest stop.,The unsuspecting travelers were robbed by thieves at the desolate rest stop.,high,15,16,15,16,-71.91390228271484,-81.6122817993164,9.698379516601562
The knight,The dragon,stabbed,The knight stabbed the dragon with his enchanted sword.,The knight stabbed the dragon with his enchanted sword.,The dragon was stabbed by the knight with his enchanted sword.,high,14,16,14,16,-44.534610748291016,-49.2489013671875,4.714290618896484
The mechanic,the old car,crushed,The mechanic crushed the old car with the hydraulic press.,The mechanic crushed the old car with the hydraulic press.,The old car was crushed by the mechanic with the hydraulic press.,high,12,14,12,14,-41.996482849121094,-49.629024505615234,7.632541656494141
The political faction,the citizens,terrorized,The political faction terrorized the citizens with threats of violence.,The political faction terrorized the citizens with threats of violence.,The citizens were terrorized with threats of violence by the political faction.,high,13,15,13,15,-49.169002532958984,-55.9272575378418,6.7582550048828125
The criminals,the bank,robbed,The criminals robbed the bank in broad daylight.,The criminals robbed the bank in broad daylight.,The bank was robbed by the criminals in broad daylight.,high,10,12,10,12,-26.833391189575195,-39.40191650390625,12.568525314331055
The villain,The investigator,drowned,The villain drowned the investigator by tying him to a heavy weight.,The villain drowned the investigator by tying him to a heavy weight.,The investigator was drowned by the villain by tying him to a heavy weight.,high,17,19,17,19,-56.97997283935547,-79.9768295288086,22.996856689453125
The construction company,the old building,demolished,The construction company demolished the old building.,The construction company demolished the old building.,The old building was demolished by the construction company.,high,10,12,10,12,-28.681201934814453,-33.1644172668457,4.48321533203125
The woman,The can,crushed,The woman crushed the can with ease.,The woman crushed the can with ease.,The can was crushed by the woman with ease.,high,9,11,9,11,-40.702606201171875,-51.83652877807617,11.133922576904297
The soldiers,the prisoner,executed,The soldiers executed the prisoner at dawn.,The soldiers executed the prisoner at dawn.,The prisoner was executed by the soldiers at dawn.,high,9,11,9,11,-22.27210235595703,-32.63959884643555,10.367496490478516
The attacker,the victim,stabbed,The attacker viciously stabbed the victim in the crowded marketplace.,The attacker viciously stabbed the victim in the crowded marketplace.,The victim was viciously stabbed by the attacker in the crowded marketplace.,high,17,19,17,19,-43.514137268066406,-47.12251663208008,3.608379364013672
the villain,the spy,strangled,The villain strangled the spy in the alley.,The villain strangled the spy in the alley.,The spy was strangled by the villain in the alley.,high,11,13,11,13,-32.50468063354492,-39.28032684326172,6.775646209716797
The government,the treacherous spy,executed,The government executed the treacherous spy who had betrayed the country.,The government executed the treacherous spy who had betrayed the country.,The treacherous spy who had betrayed the country was executed by the government.,high,18,20,18,20,-52.56538009643555,-59.74161911010742,7.176239013671875
The horse,the intruder,kicked,The horse kicked the intruder with all its might.,The horse kicked the intruder with all its might.,The intruder was kicked by the horse with all its might.,high,11,13,11,13,-44.641178131103516,-53.255672454833984,8.614494323730469
The novelist,his protagonist,murdered,The novelist murdered his protagonist in the latest chapter.,The novelist murdered his protagonist in the latest chapter.,His protagonist was murdered in the latest chapter by the novelist.,high,11,13,11,13,-51.75732421875,-60.323081970214844,8.565757751464844
The executioner,the traitor,executed,The executioner executed the traitor at dawn.,The executioner executed the traitor at dawn.,The traitor was executed by the executioner at dawn.,high,13,15,13,15,-32.228885650634766,-39.510311126708984,7.281425476074219
The gangster,the rival leader,shot,The gangster shot the rival leader.,The gangster shot the rival leader.,The rival leader was shot by the gangster.,high,10,12,10,12,-36.54621887207031,-39.29889678955078,2.7526779174804688
The pirate,the sail,knifed,The pirate knifed the sail to bring it down quickly during the skirmish.,The pirate knifed the sail to bring it down quickly during the skirmish.,The sail was knifed by the pirate to bring it down quickly during the skirmish.,high,19,21,19,21,-77.24974822998047,-77.55793762207031,0.30818939208984375
